bssid,frequency,rss,ssid,timeMillis,timestamp
00246c7def92,5240,-87,Welcome_1st_KAIST,1574385251822,1292271413020
00246c7def91,5240,-93,eduroam,1574385251822,1292271413012
00246c7def90,5240,-88,Welcome_KAIST,1574385251822,1292271413008
88366c27e788,2472,-84,CELT_STUDIO_2G,1574385251822,1292271413002
d8c7c8df01a2,2472,-92,Welcome_1st_KAIST,1574385251822,1292271412998
d8c7c8df01a1,2472,-92,Welcome_KAIST,1574385251822,1292271412994
106f3f25c30f,2462,-87,BUFFALO-25C30F,1574385251822,1292271412988
d88f767b6470,2462,-79,hkleeMac의 Wi-Fi 네트워크,1574385251822,1292271412983
88366c453c4c,2462,-67,Ip_2F2G,1574385251822,1292271412977
00246c7df1a2,2452,-77,Welcome_1st_KAIST,1574385251822,1292271412973
00246c7df1a0,2452,-78,Welcome_KAIST,1574385251822,1292271412970
00246c7df1a1,2452,-79,eduroam,1574385251822,1292271412966
88366cbf6b7e,2452,-84,hkKAIST,1574385251822,1292271412960
fe017c5753a2,2437,-92,DIRECT-a2-HP M254 LaserJet,1574385251822,1292271412955
000b819e957b,2437,-81,IROAD_V9_9E957B,1574385251822,1292271412948
00246c7def80,2432,-86,Welcome_KAIST,1574385251822,1292271412945
00246c7dee02,2432,-92,Welcome_1st_KAIST,1574385251822,1292271412939
00266618157c,2422,-87,DoDo,1574385251822,1292271412935
56137977bf42,2422,-88,DIRECT-42-HP visoft,1574385251822,1292271412931
00246c7df060,2412,-92,Welcome_KAIST,1574385251822,1292271412919
00246c7df782,2412,-93,Welcome_1st_KAIST,1574385251822,1292271412913
00246c7df781,2412,-94,eduroam,1574385251822,1292271412908
8625197a96af,2412,-88,DIRECT-0kC48x Series,1574385251822,1292271412903
702c1f749a3b,2412,-85,[air purifier] Samsung,1574385251822,1292271412898
24dec6ec66c2,2412,-93,Welcome_1st_KAIST,1574385251822,1292271412892
24dec6ec66c1,2412,-88,eduroam,1574385251822,1292271412887
24dec6ec66c0,2412,-93,Welcome_KAIST,1574385251822,1292271412879
00089f18601e,2412,-94,KAIST_VIP_1,1574385251822,1292271412859
909f33590f56,5745,-92,WebEng2-5G,1574385256083,1292275724991
88366c27e788,2472,-82,CELT_STUDIO_2G,1574385256083,1292275724986
d8c7c8df01a2,2472,-88,Welcome_1st_KAIST,1574385256083,1292275724979
f81edffa73d3,2462,-85,Drone-AP,1574385256083,1292275724976
106f3f25c30f,2462,-81,BUFFALO-25C30F,1574385256083,1292275724973
88366c453c4c,2462,-74,Ip_2F2G,1574385256083,1292275724971
d88f767b6470,2462,-93,hkleeMac의 Wi-Fi 네트워크,1574385256083,1292275724967
00246c7df1a2,2452,-80,Welcome_1st_KAIST,1574385256083,1292275724965
88366cbf6b7e,2452,-79,hkKAIST,1574385256083,1292275724963
001a1e7a86e2,2452,-95,Welcome_1st_KAIST,1574385256083,1292275724959
705dcc17336c,2452,-81,,1574385256083,1292275724955
000f00a9cea0,2437,-80,IROAD_T8S2_A9CEA0,1574385256083,1292275724952
000b819e957b,2437,-82,IROAD_V9_9E957B,1574385256083,1292275724948
705dcc35a730,2432,-91,iptime,1574385256083,1292275724944
00266618157c,2422,-92,DoDo,1574385256083,1292275724941
708bcd2f8328,2417,-86,RCV-Researcher_2.4G,1574385256083,1292275724937
5e969d67a5e8,2412,-87,chsuh's Guest Network,1574385256083,1292275724934
5c969d67a5e7,2412,-87,chsuh,1574385256083,1292275724931
00089f18601e,2412,-91,KAIST_VIP_1,1574385256083,1292275724926
702c1f749a3b,2412,-91,[air purifier] Samsung,1574385256083,1292275724914
00246c5b9d4a,5805,-95,Welcome_1st_KAIST,1574385260364,1292279980507
00246c5b9d48,5805,-94,Welcome_KAIST,1574385260364,1292279980502
64e59962aca0,5520,-93,CISS304_5G,1574385260364,1292279980496
88366c27e788,2472,-86,CELT_STUDIO_2G,1574385260364,1292279980491
d8c7c8df01a2,2472,-83,Welcome_1st_KAIST,1574385260364,1292279980487
d8c7c8df01a1,2472,-84,Welcome_KAIST,1574385260364,1292279980483
d8c7c8df01a0,2472,-83,eduroam,1574385260364,1292279980476
60334be2fc49,2462,-86,OfficeKuy01,1574385260364,1292279980011
88366c453c4c,2462,-66,Ip_2F2G,1574385260364,1292279980006
00246c7df1a2,2452,-82,Welcome_1st_KAIST,1574385260364,1292279980002
00246c7df1a1,2452,-82,eduroam,1574385260364,1292279979997
00246c7df1a0,2452,-82,Welcome_KAIST,1574385260364,1292279979993
705dcc17336c,2452,-82,,1574385260364,1292279979987
88366c9f75c8,2447,-88,,1574385260364,1292279979983
000b819e957b,2437,-81,IROAD_V9_9E957B,1574385260364,1292279979978
000f00a9cea0,2437,-91,IROAD_T8S2_A9CEA0,1574385260364,1292279979974
9e305badf451,2437,-87,DIRECT-51-HP M477 LaserJet,1574385260364,1292279979968
ea9eb42d8515,2437,-94,DIRECT-15-HP M377 LaserJet,1574385260364,1292279979963
965330290e90,2437,-86,DIRECT-90-HP M477 LaserJet,1574385260364,1292279979957
909f33ac9910,2417,-83,NMSL_N1_706,1574385260364,1292279979953
909f335a0f56,2417,-95,WebEng2,1574385260364,1292279979947
909f33f50050,2412,-92,mli,1574385260364,1292279979942
00089f18601e,2412,-91,KAIST_VIP_1,1574385260364,1292279979938
88366c833b96,2412,-92,space302,1574385260364,1292279979927
909f33590f56,5745,-92,WebEng2-5G,1574385260364,1292279979907
00246c7def72,5805,-88,Welcome_1st_KAIST,1574385264668,1292284288986
00246c7def71,5805,-88,eduroam,1574385264668,1292284288981
00246c7def70,5805,-87,Welcome_KAIST,1574385264668,1292284288975
909f33590f56,5745,-86,WebEng2-5G,1574385264668,1292284288970
64e59962aca0,5520,-94,CISS304_5G,1574385264668,1292284288966
d8c7c8df01b2,5240,-87,Welcome_1st_KAIST,1574385264668,1292284288960
d8c7c8df01b1,5240,-88,Welcome_KAIST,1574385264668,1292284288954
d8c7c8df01b0,5240,-87,eduroam,1574385264668,1292284288950
88366c27e788,2472,-82,CELT_STUDIO_2G,1574385264668,1292284288947
f81edffa73d3,2462,-86,Drone-AP,1574385264668,1292284288943
00226b81b8a9,2462,-91,winslab1,1574385264668,1292284288937
38d547089c30,2462,-84,KIXLAB_WIFI,1574385264668,1292284288933
d88f767b6470,2462,-78,hkleeMac의 Wi-Fi 네트워크,1574385264668,1292284288926
705dcc17336c,2452,-81,,1574385264668,1292284288923
106f3f29131a,2462,-93,Twosomeplace,1574385264668,1292284288918
64e59962aca4,2462,-87,CISS304,1574385264668,1292284288913
106f3f25c30f,2462,-91,BUFFALO-25C30F,1574385264668,1292284288909
00089fbf6b84,2462,-85,D2,1574385264668,1292284288901
00089f41e394,2447,-78,whitebear,1574385264668,1292284288896
88366cbf6b7e,2452,-81,hkKAIST,1574385264668,1292284288891
00246c7df1a2,2452,-84,Welcome_1st_KAIST,1574385264668,1292284288887
88366c9f75c8,2447,-88,,1574385264668,1292284288882
9e305badf451,2437,-82,DIRECT-51-HP M477 LaserJet,1574385264668,1292284288877
000f00a9cea0,2437,-85,IROAD_T8S2_A9CEA0,1574385264668,1292284288872
965330290e90,2437,-78,DIRECT-90-HP M477 LaserJet,1574385264668,1292284288867
000b819e957b,2437,-84,IROAD_V9_9E957B,1574385264668,1292284288863
705dcc35a730,2432,-93,iptime,1574385264668,1292284288860
00246c7def62,2432,-88,Welcome_1st_KAIST,1574385264668,1292284288855
00246c7def61,2432,-92,eduroam,1574385264668,1292284288848
00246c7def60,2432,-91,Welcome_KAIST,1574385264668,1292284288782
56137977bf42,2422,-85,DIRECT-42-HP visoft,1574385264668,1292284288777
909f33ac9910,2417,-93,NMSL_N1_706,1574385264668,1292284288774
909f335a0f56,2417,-93,WebEng2,1574385264668,1292284288767
ea9eb42c567b,2412,-88,DIRECT-7b-HP M477 LaserJet,1574385264668,1292284288757
00246c5b9d4a,5805,-95,Welcome_1st_KAIST,1574385264668,1292284288752
00246c5b9d48,5805,-94,Welcome_KAIST,1574385264668,1292284288732
00246c7def72,5805,-84,Welcome_1st_KAIST,1574385268986,1292288599751
00246c7def71,5805,-85,eduroam,1574385268986,1292288599748
00246c7def70,5805,-84,Welcome_KAIST,1574385268986,1292288599743
909f33590f56,5745,-82,WebEng2-5G,1574385268986,1292288599738
001a1e7a86f2,5240,-78,Welcome_1st_KAIST,1574385268986,1292288599732
001a1e7a86f1,5240,-77,eduroam,1574385268986,1292288599728
001a1e7a86f0,5240,-79,Welcome_KAIST,1574385268986,1292288599721
00246c7df071,5240,-94,eduroam,1574385268986,1292288599717
d8c7c8df01b2,5240,-92,Welcome_1st_KAIST,1574385268986,1292288599713
d8c7c8df01b1,5240,-91,Welcome_KAIST,1574385268986,1292288599709
d8c7c8df01b0,5240,-91,eduroam,1574385268986,1292288599704
048d3808492c,5200,-88,VML 5G,1574385268986,1292288599244
d8c7c8df01a2,2472,-86,Welcome_1st_KAIST,1574385268986,1292288599240
d8c7c8df01a1,2472,-83,Welcome_KAIST,1574385268986,1292288599238
d8c7c8df01a0,2472,-86,eduroam,1574385268986,1292288599234
88366c27e788,2472,-86,CELT_STUDIO_2G,1574385268986,1292288599228
88366cc03c1e,2467,-85,N1 102-2 2.4G,1574385268986,1292288599207
d88f767b6470,2462,-79,hkleeMac의 Wi-Fi 네트워크,1574385268986,1292288599203
38d547089c30,2462,-88,KIXLAB_WIFI,1574385268986,1292288599198
88366c453c4c,2462,-71,Ip_2F2G,1574385268986,1292288599195
001a1e7a86e2,2452,-86,Welcome_1st_KAIST,1574385268986,1292288599190
001a1e7a86e1,2452,-85,eduroam,1574385268986,1292288599185
001a1e7a86e0,2452,-87,Welcome_KAIST,1574385268986,1292288599179
909f33668b5e,2447,-84,siit_02,1574385268986,1292288599174
000b819e957b,2437,-77,IROAD_V9_9E957B,1574385268986,1292288599171
00089f41e394,2447,-85,whitebear,1574385268986,1292288599166
9e305badf451,2437,-85,DIRECT-51-HP M477 LaserJet,1574385268986,1292288599161
965330290e90,2437,-94,DIRECT-90-HP M477 LaserJet,1574385268986,1292288599153
909f33ac9910,2417,-84,NMSL_N1_706,1574385268986,1292288599149
24dec6ec66c2,2412,-82,Welcome_1st_KAIST,1574385268986,1292288599145
24dec6ec66c1,2412,-82,eduroam,1574385268986,1292288599140
8625190119fc,2412,-94,DIRECT-4BC48x Series,1574385268986,1292288599136
ea9eb42c567b,2412,-87,DIRECT-7b-HP M477 LaserJet,1574385268986,1292288599128
88366c41855c,2412,-82,iptime,1574385268986,1292288599112
00246c7def72,5805,-84,Welcome_1st_KAIST,1574385273285,1292292913051
00246c7def71,5805,-83,eduroam,1574385273285,1292292913048
00246c7def70,5805,-84,Welcome_KAIST,1574385273285,1292292913044
909f33590f56,5745,-83,WebEng2-5G,1574385273285,1292292913037
d8c7c8df01b1,5240,-80,Welcome_KAIST,1574385273285,1292292913032
00246c7df072,5240,-92,Welcome_1st_KAIST,1574385273285,1292292913028
00246c7df071,5240,-91,eduroam,1574385273285,1292292913025
d8c7c8df01b0,5240,-84,eduroam,1574385273285,1292292913021
00246c7e0172,5220,-86,Welcome_1st_KAIST,1574385273285,1292292913017
00246c7e0171,5220,-85,eduroam,1574385273285,1292292913013
00246c7e0170,5220,-84,Welcome_KAIST,1574385273285,1292292913004
048d3808492c,5200,-85,VML 5G,1574385273285,1292292912999
88366cb77be4,2472,-88,sar,1574385273285,1292292912992
88366c27e788,2472,-82,CELT_STUDIO_2G,1574385273285,1292292912987
00089fbf6b84,2462,-88,D2,1574385273285,1292292912982
88366c453c4c,2462,-67,Ip_2F2G,1574385273285,1292292912976
909f33668b5e,2447,-87,siit_02,1574385273285,1292292912971
00089f41e394,2447,-83,whitebear,1574385273285,1292292912966
909f3366b6c2,2437,-82,dongmyo,1574385273285,1292292912960
9e305badf451,2437,-92,DIRECT-51-HP M477 LaserJet,1574385273285,1292292912957
40b89a35db04,2437,-92,HP-Print-04-Color LaserJet Pro,1574385273285,1292292912951
000b819e957b,2437,-80,IROAD_V9_9E957B,1574385273285,1292292912947
00246c7dee02,2432,-86,Welcome_1st_KAIST,1574385273285,1292292912942
00246c7dee00,2432,-87,Welcome_KAIST,1574385273285,1292292912935
705dcc35a730,2432,-93,iptime,1574385273285,1292292912931
88366c57783a,2422,-96,Soft02,1574385273285,1292292912927
56137977bf42,2422,-95,DIRECT-42-HP visoft,1574385273285,1292292912924
00266618157c,2422,-96,DoDo,1574385273285,1292292912919
00246c7df781,2412,-93,eduroam,1574385273285,1292292912914
00246c7df780,2412,-94,Welcome_KAIST,1574385273285,1292292912909
24dec6ec66c2,2412,-82,Welcome_1st_KAIST,1574385273285,1292292912904
24dec6ec66c1,2412,-83,eduroam,1574385273285,1292292912900
24dec6ec66c0,2412,-82,Welcome_KAIST,1574385273285,1292292912881
00246c7def72,5805,-88,Welcome_1st_KAIST,1574385277551,1292297177643
00246c7def71,5805,-87,eduroam,1574385277551,1292297177639
00246c7def70,5805,-86,Welcome_KAIST,1574385277551,1292297177634
001a1e7a86f2,5240,-87,Welcome_1st_KAIST,1574385277551,1292297177629
001a1e7a86f1,5240,-86,eduroam,1574385277551,1292297177624
001a1e7a86f0,5240,-87,Welcome_KAIST,1574385277551,1292297177621
00246c7e0172,5220,-78,Welcome_1st_KAIST,1574385277551,1292297177617
00246c7e0171,5220,-77,eduroam,1574385277551,1292297177613
00246c7e0170,5220,-79,Welcome_KAIST,1574385277551,1292297177608
00246c78e7a2,2472,-86,Welcome_1st_KAIST,1574385277551,1292297177601
00246c78e7a1,2472,-86,eduroam,1574385277551,1292297177597
00246c78e7a0,2472,-86,Welcome_KAIST,1574385277551,1292297177587
106f3f25c30f,2462,-91,BUFFALO-25C30F,1574385277551,1292297177582
00226b81b8a9,2462,-91,winslab1,1574385277551,1292297177576
88366c453c4c,2462,-76,Ip_2F2G,1574385277551,1292297177572
88366cc1e042,2457,-92,mclab01,1574385277551,1292297177566
88366cbf6b7e,2452,-85,hkKAIST,1574385277551,1292297177559
00089f41e394,2447,-77,whitebear,1574385277551,1292297177556
9e305badf451,2437,-80,DIRECT-51-HP M477 LaserJet,1574385277551,1292297177551
000b819e957b,2437,-81,IROAD_V9_9E957B,1574385277551,1292297177547
000f003e59d9,2437,-87,IROAD_T8S2_3E59D9,1574385277551,1292297177540
00246c7dee02,2432,-93,Welcome_1st_KAIST,1574385277551,1292297177537
00246c7dee00,2432,-96,Welcome_KAIST,1574385277551,1292297177532
88366c272a10,2422,-94,DILAB-516-2.4Ghz,1574385277551,1292297177525
909f33d139c2,2417,-93,,1574385277551,1292297177517
88366c41855c,2412,-92,iptime,1574385277551,1292297177508
909f33590f56,5745,-83,WebEng2-5G,1574385277551,1292297177489
00246c7def72,5805,-75,Welcome_1st_KAIST,1574385281844,1292301452722
00246c7def71,5805,-75,eduroam,1574385281844,1292301452719
00246c7def70,5805,-76,Welcome_KAIST,1574385281844,1292301452713
909f3365b6c2,5785,-79,,1574385281844,1292301452708
d8c7c8df01b2,5240,-86,Welcome_1st_KAIST,1574385281844,1292301452700
d8c7c8df01b0,5240,-87,eduroam,1574385281844,1292301452338
00246c7a8ec2,2472,-82,Welcome_1st_KAIST,1574385281844,1292301452332
00246c7a8ec1,2472,-81,Welcome_KAIST,1574385281844,1292301452327
00246c7a8ec0,2472,-80,eduroam,1574385281844,1292301452323
048d38084930,2472,-86,VML 2G,1574385281844,1292301452319
00246c7dff80,2472,-94,Welcome_KAIST,1574385281844,1292301452311
88366cc03c1e,2467,-84,N1 102-2 2.4G,1574385281844,1292301452308
00089f705496,2462,-86,Crestron_Hall,1574385281844,1292301452299
88366c453c4c,2462,-81,Ip_2F2G,1574385281844,1292301452296
106f3f29131a,2462,-85,Twosomeplace,1574385281844,1292301452288
705dcc0590c6,2457,-85,teamwork_room,1574385281844,1292301452284
88366cbf6b7e,2452,-91,hkKAIST,1574385281844,1292301452279
705dcc17336c,2452,-81,,1574385281844,1292301452272
000b819e957b,2437,-71,IROAD_V9_9E957B,1574385281844,1292301452266
00089f41e394,2447,-83,whitebear,1574385281844,1292301452263
00246c7def62,2432,-75,Welcome_1st_KAIST,1574385281844,1292301452253
d85de21b4806,2437,-94,HP-Print-06-LaserJet Pro M201dw,1574385281844,1292301452249
9e305badf451,2437,-84,DIRECT-51-HP M477 LaserJet,1574385281844,1292301452242
00246c7def61,2432,-76,eduroam,1574385281844,1292301452236
9c1c12d165e1,2412,-91,eduroam,1574385281844,1292301452230
24dec6ec56a1,2412,-91,eduroam,1574385281844,1292301452226
00246c7dfd22,2412,-86,Welcome_1st_KAIST,1574385281844,1292301452220
00246c7dfd21,2412,-85,eduroam,1574385281844,1292301452214
00246c7dfd20,2412,-85,Welcome_KAIST,1574385281844,1292301452191
708bcd2f832c,5805,-79,RCV-Researcher_5G,1574385286112,1292305757342
00246c7dee12,5805,-87,Welcome_1st_KAIST,1574385286112,1292305757338
00246c7dee11,5805,-87,eduroam,1574385286112,1292305757333
00246c7dee10,5805,-86,Welcome_KAIST,1574385286112,1292305757330
00246c7df632,5785,-74,Welcome_1st_KAIST,1574385286112,1292305757325
00246c7df631,5785,-74,eduroam,1574385286112,1292305757322
00246c7df630,5785,-72,Welcome_KAIST,1574385286112,1292305757319
909f3365b6c2,5785,-88,,1574385286112,1292305757315
