,timeMillis,timeNanos,x,y,z
0,1573436369776,4702461437894915,3.2644,5.6415,7.3271
1,1573436369797,4702461457894915,-1.0196,3.1367,9.2353
2,1573436369818,4702461477894915,-0.99869996,3.1450999,9.2347
3,1573436369839,4702461497910540,-0.9917,3.1495,9.234
4,1573436369858,4702461517894915,-0.9497,3.1529,9.2372
5,1573436369877,4702461537894915,-0.95419997,3.1502,9.2376995
6,1573436369897,4702461557894915,-0.9666,3.1606998,9.2328
7,1573436369918,4702461577894915,-1.0057,3.1903,9.2184
8,1573436369937,4702461597894915,-1.0148,3.2078,9.2114
9,1573436369958,4702461617894915,-1.0193,3.2196999,9.206699
10,1573436369977,4702461637894915,-1.0236,3.2252998,9.2043
11,1573436369998,4702461657894915,-1.0303,3.2236,9.2041
12,1573436370017,4702461677894915,-1.0381,3.2096,9.208099
13,1573436370042,4702461697893353,-1.0399,3.1976,9.2121
14,1573436370057,4702461717894915,-1.0397,3.1922998,9.214
15,1573436370078,4702461737894915,-1.0411,3.1915,9.2141
16,1573436370097,4702461757910540,-1.043,3.1954,9.2125
17,1573436370117,4702461777894915,-1.0440999,3.2013,9.2104
18,1573436370137,4702461797894915,-1.0473,3.2087,9.207399
19,1573436370158,4702461817894915,-1.0541999,3.215,9.2044
20,1573436370177,4702461837894915,-1.0634,3.2159,9.2031
21,1573436370198,4702461857894915,-1.0691998999999999,3.2124999,9.2036
22,1573436370218,4702461877894915,-1.0734999,3.2064998,9.2052
23,1573436370238,4702461897894915,-1.0747,3.1991,9.2076
24,1573436370258,4702461917894915,-1.0741,3.1912,9.2104
25,1573436370278,4702461937894915,-1.0737,3.1859,9.212299
26,1573436370297,4702461957894915,-1.0745,3.1769,9.2153
27,1573436370318,4702461977894915,-1.0722,3.1799,9.214499
28,1573436370337,4702461997894915,-1.0679,3.1833,9.2139
29,1573436370358,4702462017894915,-1.0670998999999999,3.1855998,9.2132
30,1573436370377,4702462037894915,-1.0672,3.1866,9.2128
31,1573436370398,4702462057894915,-1.0705,3.1859999,9.2126
32,1573436370417,4702462077894915,-1.0723,3.1850998,9.2127
33,1573436370438,4702462097894915,-1.0720999,3.1829998,9.2135
34,1573436370457,4702462117894915,-1.0727,3.1813,9.214
35,1573436370478,4702462137894915,-1.072,3.1769998,9.2156
36,1573436370509,4702462157894915,-1.0727,3.1743,9.2164
37,1573436370517,4702462177894915,-1.0755,3.1746,9.216000000000001
38,1573436370539,4702462197894915,-1.0778999,3.1766999,9.215
39,1573436370558,4702462217894915,-1.0787,3.1796,9.2139
40,1573436370577,4702462237894915,-1.0792,3.1838999,9.212299
41,1573436370597,4702462257894915,-1.0813999,3.1876,9.2108
42,1573436370617,4702462277894915,-1.0842999,3.1876,9.2105
43,1573436370638,4702462297894915,-1.0879999,3.1826,9.2118
44,1573436370657,4702462317894915,-1.0907999,3.1764997999999998,9.2135
45,1573436370678,4702462337893353,-1.0919,3.1724,9.2148
46,1573436370698,4702462357893353,-1.0899,3.1699998,9.215899
47,1573436370719,4702462377894915,-1.0881,3.1675,9.2169
48,1573436370737,4702462397894915,-1.0886999,3.1643999,9.217899000000001
49,1573436370757,4702462417894915,-1.0898,3.1606998,9.2191
50,1573436370777,4702462437894915,-1.0916,3.1562997999999998,9.2204
51,1573436370800,4702462457894915,-1.0952,3.1489999999999996,9.2225
52,1573436370818,4702462477894915,-1.1096,3.1397,9.2239
53,1573436370838,4702462497894915,-1.1142,3.1290998,9.2269
54,1573436370857,4702462517894915,-1.1136999,3.1174,9.231
55,1573436370878,4702462537894915,-1.1192,3.1085,9.2333
56,1573436370897,4702462557894915,-1.1291,3.0979,9.2355995
57,1573436370917,4702462577894915,-1.143,3.0799,9.2399
58,1573436370946,4702462597894915,-1.1537,3.0597,9.245299000000001
59,1573436370958,4702462617894915,-1.1688,3.0403,9.2498
60,1573436370977,4702462637894915,-1.1905,3.0194,9.2539
61,1573436370997,4702462657894915,-1.208,2.9922,9.2605
62,1573436371017,4702462677894915,-1.2299,2.9621,9.2673
63,1573436371041,4702462697893353,-1.2396,2.9277,9.276899
64,1573436371059,4702462717894915,-1.2429,2.9057999,9.2834
65,1573436371077,4702462737894915,-1.2464,2.888,9.2884
66,1573436371097,4702462757894915,-1.2444998999999999,2.8760998,9.292399000000001
67,1573436371118,4702462777894915,-1.242,2.8665,9.2957
68,1573436371137,4702462797894915,-1.2421,2.8590999,9.2979
69,1573436371158,4702462817894915,-1.2418,2.8530998,9.2998
70,1573436371178,4702462837894915,-1.2413,2.8476999,9.301499
71,1573436371198,4702462857894915,-1.2407,2.8451998,9.3024
72,1573436371217,4702462877894915,-1.2394999,2.8439999,9.302899
73,1573436371238,4702462897893353,-1.237,2.8434,9.3034
74,1573436371257,4702462917894915,-1.2337999,2.8444998,9.3035
75,1573436371278,4702462937893353,-1.2322,2.8462,9.3032
76,1573436371297,4702462957894915,-1.232,2.8465,9.3032
77,1573436371317,4702462977893353,-1.2334,2.8453,9.3033
78,1573436371337,4702462997894915,-1.2351999,2.8437,9.303599
79,1573436371359,4702463017894915,-1.2343998999999999,2.8423,9.3041
80,1573436371378,4702463037894915,-1.2330999,2.8434,9.304
81,1573436371398,4702463057894915,-1.2336,2.8446999,9.3035
82,1573436371417,4702463077894915,-1.2306,2.8463,9.3034
83,1573436371438,4702463097894915,-1.2274,2.8486,9.3031
84,1573436371458,4702463117894915,-1.2278,2.8530998,9.3017
85,1573436371478,4702463137894915,-1.2299,2.8574998,9.300099000000001
86,1573436371498,4702463157894915,-1.2256,2.8606,9.2997
87,1573436371518,4702463177894915,-1.2164,2.8665,9.2991
88,1573436371540,4702463197893353,-1.2095,2.8815,9.2953
89,1573436371558,4702463217893353,-1.2054,2.8952,9.2916
90,1573436371577,4702463237894915,-1.2013999,2.9048998,9.2891
91,1573436371599,4702463257894915,-1.1998,2.9092,9.288
92,1573436371618,4702463277894915,-1.2009999999999998,2.9118,9.287
93,1573436371638,4702463297894915,-1.2055,2.9136,9.2858
94,1573436371658,4702463317894915,-1.2120999,2.9131,9.2851
95,1573436371678,4702463337894915,-1.2193999,2.9106998,9.2849
96,1573436371698,4702463357894915,-1.2241,2.9069998,9.2855
97,1573436371718,4702463377894915,-1.2277,2.9034998,9.286099
98,1573436371738,4702463397894915,-1.2293999,2.9023,9.2862
99,1573436371758,4702463417893353,-1.2309999999999999,2.9047,9.285299
100,1573436371778,4702463437894915,-1.2296,2.9097,9.283899
101,1573436371798,4702463457894915,-1.2261,2.9150999,9.2827
102,1573436371818,4702463477894915,-1.2257999,2.9208,9.2809
103,1573436371839,4702463497893353,-1.226,2.9252,9.2795
104,1573436371857,4702463517894915,-1.2263,2.9271998,9.2788
105,1573436371878,4702463537894915,-1.2284,2.9278,9.278399
106,1573436371898,4702463557894915,-1.2308999,2.9273999,9.2782
107,1573436371920,4702463577894915,-1.2324,2.9271,9.2781
108,1573436371940,4702463597894915,-1.2314999,2.9283,9.2778
109,1573436371957,4702463617894915,-1.2300999,2.9306,9.2773
110,1573436371978,4702463637893353,-1.2306,2.9329,9.2765
111,1573436371999,4702463657893353,-1.2312,2.9339999999999997,9.276
112,1573436372018,4702463677894915,-1.2307,2.9345,9.276
113,1573436372042,4702463697893353,-1.23,2.9345999,9.276
114,1573436372059,4702463717893353,-1.2204,2.9464,9.2734995
115,1573436372079,4702463737894915,-1.2227,2.9449,9.2737
116,1573436372098,4702463757894915,-1.2235,2.9424,9.2744
117,1573436372118,4702463777894915,-1.2246,2.9376,9.2758
118,1573436372138,4702463797894915,-1.2254,2.9334,9.276999
119,1573436372159,4702463817894915,-1.2261,2.9303,9.2779
120,1573436372178,4702463837894915,-1.2262,2.9278998,9.2786
121,1573436372199,4702463857894915,-1.2264,2.9259999,9.2792
122,1573436372219,4702463877894915,-1.2269,2.9243999,9.2796
123,1573436372240,4702463897894915,-1.2271999,2.9222999,9.2803
124,1573436372258,4702463917894915,-1.2271,2.9213,9.2806
125,1573436372278,4702463937894915,-1.2278,2.9206,9.2807
126,1573436372297,4702463957894915,-1.2284,2.9182,9.2814
127,1573436372319,4702463977894915,-1.227,2.9150999,9.282599000000001
128,1573436372337,4702463997894915,-1.2261,2.9143999,9.2829
129,1573436372359,4702464017893353,-1.226,2.9154,9.282599000000001
130,1573436372379,4702464037894915,-1.2255,2.9157999,9.282499000000001
131,1573436372399,4702464057894915,-1.2258999,2.9147,9.2828
132,1573436372418,4702464077894915,-1.2279,2.9127998,9.283199
133,1573436372439,4702464097894915,-1.2301999,2.9099,9.2837
134,1573436372458,4702464117893353,-1.2303,2.9074,9.2845
135,1573436372478,4702464137894915,-1.2294999,2.9071,9.284699
136,1573436372498,4702464157894915,-1.2297,2.9078,9.2845
137,1573436372518,4702464177893353,-1.2314,2.9068,9.284599
138,1573436372540,4702464197893353,-1.2313,2.9018,9.286099
139,1573436372559,4702464217894915,-1.2292,2.8982,9.287499
140,1573436372578,4702464237894915,-1.2271,2.8989999999999996,9.2876
141,1573436372599,4702464257894915,-1.2251999,2.9015,9.287
142,1573436372618,4702464277894915,-1.224,2.9009,9.287399
143,1573436372639,4702464297894915,-1.2241,2.8976998,9.2884
144,1573436372659,4702464317894915,-1.2249,2.8934999,9.289599
145,1573436372678,4702464337894915,-1.2248,2.8889,9.290999000000001
146,1573436372698,4702464357894915,-1.2225,2.8858,9.2923
147,1573436372718,4702464377894915,-1.2209999999999999,2.8851,9.2927
148,1573436372738,4702464397894915,-1.2200999,2.8853998,9.2927
149,1573436372758,4702464417894915,-1.2193999,2.8857,9.2927
150,1573436372777,4702464437894915,-1.2198,2.8846998,9.293
151,1573436372799,4702464457894915,-1.2206,2.8815,9.2939
152,1573436372818,4702464477893353,-1.2209999999999999,2.8787,9.2947
153,1573436372839,4702464497894915,-1.2198,2.8774998,9.295199
154,1573436372858,4702464517894915,-1.2192999,2.8779,9.295199
155,1573436372878,4702464537894915,-1.2208999,2.8785,9.2948
156,1573436372898,4702464557894915,-1.2235999,2.8766,9.295
157,1573436372920,4702464577893353,-1.2254,2.8713,9.2964
158,1573436372941,4702464597894915,-1.2268,2.8672,9.2975
159,1573436372958,4702464617894915,-1.2269,2.8646998,9.2983
160,1573436372977,4702464637893353,-1.2265999,2.8632,9.298699000000001
161,1573436372999,4702464657894915,-1.2272999,2.862,9.299
162,1573436373018,4702464677893353,-1.2264999,2.8604,9.2996
163,1573436373042,4702464697893353,-1.2264,2.8585,9.3001995
164,1573436373059,4702464717894915,-1.2267,2.8576999,9.3004
165,1573436373079,4702464737894915,-1.2271,2.8558,9.3008995
166,1573436373098,4702464757894915,-1.2274,2.8530998,9.3017
167,1573436373120,4702464777894915,-1.2285,2.8487,9.302899
168,1573436373138,4702464797894915,-1.2293,2.8443,9.3042
169,1573436373158,4702464817894915,-1.229,2.8397,9.3056
170,1573436373177,4702464837894915,-1.2279,2.8372,9.3064995
171,1573436373198,4702464857894915,-1.2276,2.8360000000000003,9.3069
172,1573436373218,4702464877894915,-1.2274,2.8351998,9.3071995
173,1573436373238,4702464897894915,-1.2282,2.8337,9.3076
174,1573436373258,4702464917894915,-1.2285,2.8321,9.308
175,1573436373279,4702464937894915,-1.2293999,2.8306,9.3083
176,1573436373320,4702464957894915,-1.2313,2.8289999999999997,9.308599000000001
177,1573436373320,4702464977894915,-1.2328,2.8258997999999997,9.309299000000001
178,1573436373337,4702464997894915,-1.2349,2.823,9.309899
179,1573436373358,4702465017894915,-1.2379999,2.8213,9.309999000000001
180,1573436373377,4702465037894915,-1.2425,2.8195,9.309999000000001
181,1573436373399,4702465057894915,-1.2458999,2.8163,9.3105
182,1573436373417,4702465077894915,-1.2487,2.8135998,9.3109
183,1573436373439,4702465097894915,-1.2488999,2.8119,9.311399
184,1573436373458,4702465117894915,-1.2518,2.8086,9.311999
185,1573436373479,4702465137894915,-1.2511,2.8114,9.311299
186,1573436373498,4702465157894915,-1.2514,2.8126,9.3109
187,1573436373520,4702465177894915,-1.2534,2.8097,9.3115
188,1573436373540,4702465197893353,-1.2558,2.8048,9.3126
189,1573436373558,4702465217894915,-1.2569,2.7995,9.314099
190,1573436373578,4702465237894915,-1.2573999,2.7953,9.3153
191,1573436373598,4702465257910540,-1.2569,2.7948,9.315499
192,1573436373617,4702465277894915,-1.2564,2.7962,9.3151
193,1573436373639,4702465297894915,-1.2570000000000001,2.7972999,9.3147
194,1573436373658,4702465317894915,-1.2587999,2.7956998,9.315
195,1573436373679,4702465337894915,-1.2579,2.7935,9.3157
196,1573436373699,4702465357894915,-1.2556,2.7949,9.315599
197,1573436373720,4702465377894915,-1.2545998999999999,2.8000998,9.314199
198,1573436373738,4702465397894915,-1.2551999,2.8037999,9.312999999999999
199,1573436373758,4702465417894915,-1.2565,2.8047,9.3126
200,1573436373779,4702465437894915,-1.2572,2.8039,9.312699
201,1573436373798,4702465457894915,-1.2581999,2.8034,9.312699
202,1573436373818,4702465477894915,-1.2587,2.8039,9.3125
203,1573436373838,4702465497894915,-1.2581999,2.8055,9.312099
204,1573436373857,4702465517894915,-1.2584,2.8076,9.311399
205,1573436373879,4702465537894915,-1.2595999,2.8077998,9.3112
206,1573436373899,4702465557894915,-1.2616,2.8072999,9.3111
207,1573436373920,4702465577894915,-1.2623,2.807,9.3111
208,1573436373960,4702465597894915,-1.2616999,2.8076,9.311
209,1573436373960,4702465617894915,-1.2609,2.8089999999999997,9.310699000000001
210,1573436373978,4702465637894915,-1.2597,2.8067,9.3115
211,1573436373998,4702465657893353,-1.2613,2.7865,9.3174
212,1573436374017,4702465677894915,-1.2638999,2.7498999,9.3279
213,1573436374042,4702465697893353,-1.2656,2.7057,9.3406
214,1573436374057,4702465717894915,-1.2651,2.6911,9.3449
215,1573436374078,4702465737894915,-1.2605,2.7057,9.3413
216,1573436374097,4702465757894915,-1.2559999,2.7479,9.329599
217,1573436374118,4702465777893353,-1.2569,2.7976,9.3146
218,1573436374137,4702465797894915,-1.26,2.8230999,9.3064995
219,1573436374158,4702465817894915,-1.2659999,2.8316998,9.3031
220,1573436374177,4702465837894915,-1.2715,2.8272,9.303699499999999
221,1573436374197,4702465857894915,-1.2731,2.8162,9.3068
222,1573436374217,4702465877894915,-1.2695999,2.8044,9.3109
223,1573436374238,4702465897894915,-1.2643,2.7949998,9.3144
224,1573436374257,4702465917894915,-1.2615,2.7882,9.3168
225,1573436374277,4702465937894915,-1.2605,2.7839,9.318299
226,1573436374297,4702465957894915,-1.2613,2.7862,9.3175
227,1573436374318,4702465977894915,-1.2633,2.7976,9.3138
228,1573436374337,4702465997894915,-1.2655,2.8149998,9.3082
229,1573436374357,4702466017894915,-1.2672,2.8300998,9.3034
230,1573436374377,4702466037894915,-1.2667999,2.8383,9.301
231,1573436374398,4702466057893353,-1.2639999,2.8388,9.3012
232,1573436374418,4702466077894915,-1.2627,2.8335,9.3029995
233,1573436374439,4702466097893353,-1.2621,2.8235,9.3061
234,1573436374457,4702466117893353,-1.2622,2.8141,9.309
235,1573436374478,4702466137894915,-1.2638999,2.806,9.3112
236,1573436374498,4702466157894915,-1.2656,2.8028,9.3119
237,1573436374517,4702466177893353,-1.2666998999999999,2.8048,9.3111
238,1573436374538,4702466197893353,-1.2672,2.8118,9.309
239,1573436374558,4702466217893353,-1.2670000000000001,2.8172998,9.3073
240,1573436374577,4702466237893353,-1.2674,2.8195,9.3066
241,1573436374598,4702466257893353,-1.2681,2.8177,9.307099000000001
242,1573436374618,4702466277894915,-1.2674999,2.8147,9.3081
243,1573436374640,4702466297894915,-1.2665,2.8123,9.3089
244,1573436374658,4702466317894915,-1.2662,2.8109999,9.309299000000001
245,1573436374678,4702466337894915,-1.2614,2.8086998,9.310699000000001
246,1573436374697,4702466357894915,-1.2621,2.81,9.3102
247,1573436374718,4702466377894915,-1.2634,2.8128998,9.309199000000001
248,1573436374737,4702466397894915,-1.2642,2.8170998,9.307799000000001
249,1573436374757,4702466417894915,-1.2637,2.8212,9.3066
250,1573436374777,4702466437893353,-1.2635,2.8230999,9.3061
251,1573436374798,4702466457894915,-1.2635,2.8257,9.3053
252,1573436374818,4702466477894915,-1.2635,2.825,9.3055
253,1573436374838,4702466497894915,-1.2638,2.8193998,9.307099000000001
254,1573436374858,4702466517893353,-1.2688999,2.7917,9.314799
255,1573436374879,4702466537894915,-1.2729,2.7516,9.3262
256,1573436374897,4702466557893353,-1.2724999,2.735,9.331099499999999
257,1573436374918,4702466577894915,-1.2687,2.7496,9.3273
258,1573436374939,4702466597894915,-1.2639999,2.7868,9.316899000000001
259,1573436374958,4702466617894915,-1.2627,2.8242,9.3057995
260,1573436374977,4702466637894915,-1.2657,2.8462,9.298699000000001
261,1573436374997,4702466657894915,-1.2721,2.8514,9.2963
262,1573436375017,4702466677893353,-1.2758,2.8451,9.2977
263,1573436375041,4702466697893353,-1.2760999,2.8309,9.302
264,1573436375057,4702466717894915,-1.2738,2.8209999,9.3053
265,1573436375078,4702466737893353,-1.2681999,2.81,9.3094
266,1573436375098,4702466757893353,-1.2631999,2.8035997999999998,9.311999
267,1573436375118,4702466777893353,-1.2616,2.8044,9.311999
268,1573436375137,4702466797893353,-1.2622,2.8116999,9.3097
269,1573436375158,4702466817893353,-1.2651,2.8237997999999997,9.3056
270,1573436375177,4702466837893353,-1.2673,2.8379,9.301
271,1573436375198,4702466857893353,-1.2674,2.8494,9.2975
272,1573436375217,4702466877894915,-1.2674999,2.8539999,9.2961
273,1573436375238,4702466897894915,-1.2688,2.85,9.2971
274,1573436375258,4702466917893353,-1.2696999,2.8383,9.3006
275,1573436375279,4702466937893353,-1.2714,2.8216999,9.3054
276,1573436375297,4702466957893353,-1.2727,2.8116,9.3083
277,1573436375318,4702466977894915,-1.2731999,2.8081,9.309299000000001
278,1573436375338,4702466997894915,-1.2741,2.8126,9.307799000000001
279,1573436375358,4702467017893353,-1.2761999,2.8205,9.305099499999999
280,1573436375377,4702467037894915,-1.2778,2.8258997999999997,9.3032
281,1573436375397,4702467057894915,-1.2785,2.8279,9.3026
282,1573436375417,4702467077894915,-1.2794,2.8281999,9.3022995
283,1573436375438,4702467097893353,-1.2806,2.8267,9.3026
284,1573436375457,4702467117894915,-1.2827,2.8214998,9.3039
285,1573436375478,4702467137894915,-1.2849,2.8148,9.3056
286,1573436375498,4702467157894915,-1.2866,2.8089999999999997,9.3071995
287,1573436375518,4702467177893353,-1.2896999,2.8042998,9.3081
288,1573436375539,4702467197893353,-1.2925,2.8002,9.309
289,1573436375557,4702467217894915,-1.2951,2.799,9.309
290,1573436375577,4702467237910540,-1.2971,2.8023,9.3077
291,1573436375599,4702467257893353,-1.2951,2.8005998,9.308499000000001
292,1573436375617,4702467277894915,-1.2946,2.7851,9.3132
293,1573436375638,4702467297894915,-1.296,2.7608,9.3203
294,1573436375658,4702467317893353,-1.2973,2.7426,9.325399
295,1573436375678,4702467337894915,-1.2973,2.7426,9.3255
296,1573436375697,4702467357910540,-1.2953,2.7658,9.3189
297,1573436375718,4702467377894915,-1.2933999,2.8016999,9.3084
298,1573436375738,4702467397894915,-1.2944,2.8300998,9.2997
299,1573436375758,4702467417893353,-1.2969998999999999,2.8414,9.295899
300,1573436375777,4702467437893353,-1.3007,2.8386998,9.2962
301,1573436375797,4702467457893353,-1.3051,2.8288,9.2986
302,1573436375818,4702467477893353,-1.3047,2.8167999,9.3022995
303,1573436375839,4702467497893353,-1.2988,2.8054,9.3066
304,1573436375857,4702467517893353,-1.2936,2.7972,9.3097
305,1573436375878,4702467537893353,-1.2903,2.7954,9.3108
306,1573436375897,4702467557894915,-1.2893,2.8003,9.3094
307,1573436375918,4702467577893353,-1.2895,2.8091,9.3067
308,1573436375939,4702467597894915,-1.2897999,2.8191,9.303699499999999
309,1573436375957,4702467617893353,-1.2893,2.8274,9.3012
310,1573436375977,4702467637893353,-1.2883999,2.8307,9.3003
311,1573436375998,4702467657894915,-1.2886,2.8281999,9.3011
312,1573436376017,4702467677894915,-1.2893,2.8199,9.3035
313,1573436376041,4702467697893353,-1.2866,2.807,9.307799000000001
314,1573436376057,4702467717894915,-1.2845,2.8005,9.309999000000001
315,1573436376078,4702467737894915,-1.2839999,2.7998,9.3103
316,1573436376114,4702467757894915,-1.2823,2.8048,9.309
317,1573436376117,4702467777894915,-1.2818999,2.8123,9.3068
318,1573436376137,4702467797894915,-1.2832999,2.8179998,9.3049
319,1573436376158,4702467817893353,-1.2846999,2.8061,9.3083
320,1573436376178,4702467837893353,-1.2861999,2.7816,9.3154
321,1573436376198,4702467857893353,-1.2863,2.7589998,9.3222
322,1573436376218,4702467877894915,-1.2843,2.7524,9.3244
323,1573436376238,4702467897894915,-1.2801,2.7647,9.3213
324,1573436376257,4702467917893353,-1.2761999,2.7893,9.3145
325,1573436376278,4702467937894915,-1.2784,2.8123999,9.3073
326,1573436376297,4702467957893353,-1.2829,2.825,9.3028
327,1573436376318,4702467977893353,-1.2851,2.8272998,9.3018
328,1573436376337,4702467997893353,-1.2845,2.8227,9.3033
329,1573436376358,4702468017893353,-1.2821,2.8155,9.3057995
330,1573436376379,4702468037893353,-1.2782999,2.8056997999999997,9.309299000000001
331,1573436376398,4702468057894915,-1.2743,2.7933,9.3136
332,1573436376418,4702468077893353,-1.2736,2.7812997999999998,9.3173
333,1573436376438,4702468097893353,-1.2763,2.7754998,9.3186
334,1573436376458,4702468117893353,-1.2774999,2.7786999,9.3175
335,1573436376479,4702468137893353,-1.2770000000000001,2.7897,9.3143
336,1573436376498,4702468157893353,-1.2756,2.8030999,9.3105
337,1573436376518,4702468177894915,-1.2745999,2.8133,9.3075
338,1573436376539,4702468197893353,-1.2734,2.8165998,9.3067
339,1573436376559,4702468217894915,-1.2732999,2.8130999,9.3077
340,1573436376578,4702468237893353,-1.275,2.7991998,9.3117
341,1573436376598,4702468257894915,-1.2802,2.7707,9.3195
342,1573436376617,4702468277894915,-1.2827,2.7461,9.3265
343,1573436376642,4702468297894915,-1.281,2.7459,9.3267
344,1573436376657,4702468317894915,-1.2782999,2.7668998,9.3209
345,1573436376679,4702468337894915,-1.2771,2.7914,9.3138
346,1573436376698,4702468357894915,-1.2796999,2.8079998,9.3084
347,1573436376718,4702468377893353,-1.2857,2.8135998,9.3059
348,1573436376738,4702468397894915,-1.2921,2.8088999,9.306399
349,1573436376759,4702468417893353,-1.2931,2.7981,9.3095
350,1573436376778,4702468437894915,-1.2872,2.7872,9.3136
