,timeMillis,timeNanos,x,y,z
0,1573436369776,4702461437894915,121.829994,-37.59,19.439999
1,1573436369797,4702461457894915,143.29,-18.75,-5.96
2,1573436369818,4702461477894915,143.64,-18.8,-5.8399997
3,1573436369839,4702461497910540,143.52,-18.83,-5.7999997
4,1573436369857,4702461517894915,142.91,-18.84,-5.5499997
5,1573436369877,4702461537894915,142.9,-18.83,-5.58
6,1573436369897,4702461557894915,143.15,-18.89,-5.65
7,1573436369917,4702461577894915,143.81,-19.08,-5.8799996
8,1573436369937,4702461597894915,144.0,-19.199999,-5.93
9,1573436369957,4702461617894915,144.11,-19.27,-5.96
10,1573436369977,4702461637894915,144.20999,-19.31,-5.99
11,1573436369998,4702461657894915,144.31999,-19.3,-6.0299997
12,1573436370017,4702461677894915,144.37,-19.21,-6.0699997
13,1573436370041,4702461697893353,144.41,-19.14,-6.08
14,1573436370057,4702461717894915,144.4,-19.1,-6.08
15,1573436370077,4702461737894915,144.37999,-19.1,-6.0899997
16,1573436370097,4702461757910540,144.39,-19.119999,-6.1
17,1573436370117,4702461777894915,144.44,-19.16,-6.1099997
18,1573436370137,4702461797894915,144.55,-19.21,-6.1299996
19,1573436370158,4702461817894915,144.7,-19.25,-6.17
20,1573436370177,4702461837894915,144.89,-19.26,-6.22
21,1573436370197,4702461857894915,145.01,-19.24,-6.25
22,1573436370217,4702461877894915,145.06999,-19.199999,-6.2799997
23,1573436370238,4702461897894915,145.11,-19.15,-6.29
24,1573436370257,4702461917894915,145.14,-19.109999,-6.2799997
25,1573436370277,4702461937894915,145.12999,-19.07,-6.2799997
26,1573436370297,4702461957894915,145.08,-19.02,-6.29
27,1573436370318,4702461977894915,145.06999,-19.029999,-6.27
28,1573436370337,4702461997894915,145.04,-19.05,-6.25
29,1573436370357,4702462017894915,145.0,-19.07,-6.24
30,1573436370377,4702462037894915,145.0,-19.07,-6.24
31,1573436370398,4702462057894915,145.02,-19.07,-6.2599998
32,1573436370417,4702462077894915,145.04,-19.07,-6.27
33,1573436370438,4702462097894915,145.0,-19.05,-6.27
34,1573436370457,4702462117894915,144.94,-19.039998999999998,-6.2799997
35,1573436370478,4702462137894915,144.89,-19.02,-6.27
36,1573436370509,4702462157894915,144.87,-19.0,-6.2799997
37,1573436370517,4702462177894915,144.86,-19.0,-6.29
38,1573436370539,4702462197894915,144.83,-19.02,-6.31
39,1573436370558,4702462217894915,144.81999,-19.029999,-6.31
40,1573436370577,4702462237894915,144.81,-19.06,-6.31
41,1573436370597,4702462257894915,144.83,-19.08,-6.33
42,1573436370617,4702462277894915,144.84999,-19.09,-6.3399997
43,1573436370638,4702462297894915,144.84999,-19.05,-6.3599997
44,1573436370657,4702462317894915,144.84999,-19.02,-6.3799996
45,1573436370677,4702462337893353,144.84999,-18.99,-6.39
46,1573436370697,4702462357893353,144.83,-18.98,-6.3799996
47,1573436370718,4702462377894915,144.8,-18.96,-6.37
48,1573436370737,4702462397894915,144.78,-18.939999,-6.37
49,1573436370757,4702462417894915,144.76,-18.92,-6.3799996
50,1573436370777,4702462437894915,144.76,-18.89,-6.39
51,1573436370799,4702462457894915,144.76,-18.85,-6.41
52,1573436370817,4702462477894915,144.73998999999998,-18.789998999999998,-6.49
53,1573436370837,4702462497894915,144.76,-18.73,-6.52
54,1573436370857,4702462517894915,144.75,-18.66,-6.52
55,1573436370878,4702462537894915,144.73998999999998,-18.6,-6.5499997
56,1573436370897,4702462557894915,144.70999,-18.539998999999998,-6.6099997
57,1573436370917,4702462577894915,144.7,-18.43,-6.69
58,1573436370946,4702462597894915,144.72,-18.31,-6.75
59,1573436370957,4702462617894915,144.70999,-18.19,-6.8399997
60,1573436370977,4702462637894915,144.68,-18.07,-6.97
61,1573436370997,4702462657894915,144.68,-17.9,-7.0699997
62,1573436371017,4702462677894915,144.66,-17.72,-7.2
63,1573436371041,4702462697893353,144.65,-17.51,-7.259999799999999
64,1573436371059,4702462717894915,144.65,-17.38,-7.2799997
65,1573436371077,4702462737894915,144.62,-17.27,-7.2999997
66,1573436371097,4702462757894915,144.59,-17.19,-7.29
67,1573436371118,4702462777894915,144.56,-17.13,-7.27
68,1573436371137,4702462797894915,144.55,-17.09,-7.27
69,1573436371158,4702462817894915,144.53,-17.05,-7.27
70,1573436371177,4702462837894915,144.53,-17.02,-7.27
71,1573436371198,4702462857894915,144.52,-17.0,-7.259999799999999
72,1573436371217,4702462877894915,144.51,-16.99,-7.259999799999999
73,1573436371237,4702462897893353,144.5,-16.99,-7.24
74,1573436371257,4702462917894915,144.48998999999998,-17.0,-7.22
75,1573436371278,4702462937893353,144.48,-17.01,-7.21
76,1573436371297,4702462957894915,144.47,-17.01,-7.21
77,1573436371317,4702462977893353,144.45999,-17.0,-7.22
78,1573436371337,4702462997894915,144.47,-16.99,-7.23
79,1573436371358,4702463017894915,144.48,-16.98,-7.23
80,1573436371378,4702463037894915,144.47,-16.99,-7.22
81,1573436371398,4702463057894915,144.45999,-17.0,-7.22
82,1573436371417,4702463077894915,144.45999,-17.01,-7.2
83,1573436371438,4702463097894915,144.45,-17.02,-7.19
84,1573436371458,4702463117894915,144.45,-17.05,-7.19
85,1573436371477,4702463137894915,144.45,-17.08,-7.2
86,1573436371497,4702463157894915,144.47,-17.09,-7.17
87,1573436371518,4702463177894915,144.48,-17.13,-7.12
88,1573436371539,4702463197893353,144.45999,-17.22,-7.08
89,1573436371558,4702463217893353,144.43,-17.3,-7.06
90,1573436371577,4702463237894915,144.41,-17.359999,-7.0299997
91,1573436371598,4702463257894915,144.42,-17.39,-7.02
92,1573436371617,4702463277894915,144.43,-17.4,-7.0299997
93,1573436371638,4702463297894915,144.43,-17.42,-7.06
94,1573436371657,4702463317894915,144.43,-17.41,-7.1
95,1573436371678,4702463337894915,144.45,-17.4,-7.14
96,1573436371698,4702463357894915,144.45999,-17.38,-7.17
97,1573436371718,4702463377894915,144.47,-17.359999,-7.19
98,1573436371737,4702463397894915,144.45999,-17.35,-7.2
99,1573436371758,4702463417893353,144.45999,-17.369999,-7.21
100,1573436371777,4702463437894915,144.45999,-17.4,-7.2
101,1573436371797,4702463457894915,144.45,-17.43,-7.18
102,1573436371818,4702463477894915,144.45,-17.46,-7.18
103,1573436371839,4702463497893353,144.45,-17.49,-7.18
104,1573436371857,4702463517894915,144.47,-17.5,-7.18
105,1573436371878,4702463537894915,144.48,-17.51,-7.19
106,1573436371898,4702463557894915,144.48998999999998,-17.51,-7.21
107,1573436371919,4702463577894915,144.48998999999998,-17.5,-7.21
108,1573436371940,4702463597894915,144.48,-17.51,-7.21
109,1573436371957,4702463617894915,144.47,-17.529999,-7.2
110,1573436371977,4702463637893353,144.45999,-17.539998999999998,-7.2
111,1573436371998,4702463657893353,144.47,-17.55,-7.21
112,1573436372018,4702463677894915,144.47,-17.55,-7.2
113,1573436372041,4702463697893353,144.48,-17.55,-7.2
114,1573436372058,4702463717893353,144.45999,-17.619999,-7.14
115,1573436372078,4702463737894915,144.45999,-17.609999,-7.16
116,1573436372098,4702463757894915,144.47,-17.6,-7.16
117,1573436372118,4702463777894915,144.48,-17.57,-7.17
118,1573436372137,4702463797894915,144.48,-17.539998999999998,-7.17
119,1573436372158,4702463817894915,144.48,-17.52,-7.18
120,1573436372177,4702463837894915,144.48998999999998,-17.51,-7.18
121,1573436372198,4702463857894915,144.5,-17.5,-7.18
122,1573436372219,4702463877894915,144.5,-17.49,-7.18
123,1573436372239,4702463897894915,144.5,-17.47,-7.18
124,1573436372257,4702463917894915,144.5,-17.47,-7.18
125,1573436372278,4702463937894915,144.48998999999998,-17.46,-7.19
126,1573436372297,4702463957894915,144.5,-17.449999,-7.19
127,1573436372319,4702463977894915,144.51,-17.43,-7.18
128,1573436372337,4702463997894915,144.51,-17.43,-7.18
129,1573436372358,4702464017893353,144.5,-17.43,-7.18
130,1573436372379,4702464037894915,144.48998999999998,-17.43,-7.17
131,1573436372399,4702464057894915,144.48998999999998,-17.43,-7.18
132,1573436372417,4702464077894915,144.48998999999998,-17.42,-7.19
133,1573436372438,4702464097894915,144.48998999999998,-17.4,-7.2
134,1573436372457,4702464117893353,144.5,-17.38,-7.2
135,1573436372478,4702464137894915,144.5,-17.38,-7.2
136,1573436372497,4702464157894915,144.48998999999998,-17.39,-7.2
137,1573436372518,4702464177893353,144.48998999999998,-17.38,-7.21
138,1573436372539,4702464197893353,144.5,-17.35,-7.21
139,1573436372559,4702464217894915,144.51,-17.33,-7.2
140,1573436372577,4702464237894915,144.51,-17.33,-7.18
141,1573436372598,4702464257894915,144.48998999999998,-17.35,-7.17
142,1573436372618,4702464277894915,144.48998999999998,-17.34,-7.17
143,1573436372639,4702464297894915,144.5,-17.32,-7.17
144,1573436372658,4702464317894915,144.5,-17.3,-7.17
145,1573436372678,4702464337894915,144.51,-17.27,-7.17
146,1573436372697,4702464357894915,144.51,-17.25,-7.16
147,1573436372718,4702464377894915,144.5,-17.24,-7.1499996
