,timeMillis,timeNanos,value
0,1573436369836,4702461503790540,1005.74854
1,1573436370036,4702461703773353,1005.7456
2,1573436370236,4702461903774915,1005.7451
3,1573436370437,4702462103774915,1005.7724599999999
4,1573436370636,4702462303774915,1005.7671
5,1573436370837,4702462503774915,1005.7724599999999
6,1573436371036,4702462703773353,1005.7461
7,1573436371236,4702462903773353,1005.7588
8,1573436371436,4702463103774915,1005.7705
9,1573436371636,4702463303774915,1005.7724599999999
10,1573436371837,4702463503773353,1005.7573
11,1573436372037,4702463703773353,1005.7593
12,1573436372237,4702463903774915,1005.75635
13,1573436372438,4702464103774915,1005.7656
14,1573436372638,4702464303774915,1005.7475599999999
15,1573436372837,4702464503774915,1005.74854
16,1573436373036,4702464703773353,1005.7471
17,1573436373237,4702464903774915,1005.76465
18,1573436373437,4702465103774915,1005.7471
19,1573436373638,4702465303774915,1005.7637
20,1573436373836,4702465503774915,1005.7373
21,1573436374036,4702465703773353,1005.7529
22,1573436374236,4702465903774915,1005.7461
23,1573436374437,4702466103773353,1005.75146
24,1573436374637,4702466303774915,1005.7348599999999
25,1573436374836,4702466503774915,1005.7412
26,1573436375036,4702466703773353,1005.7402300000001
27,1573436375237,4702466903774915,1005.7549
28,1573436375436,4702467103773353,1005.7456
29,1573436375637,4702467303774915,1005.7471
30,1573436375837,4702467503773353,1005.7422
31,1573436376037,4702467703773353,1005.7549
32,1573436376236,4702467903774915,1005.7822
33,1573436376436,4702468103773353,1005.74854
34,1573436376642,4702468303774915,1005.7637
35,1573436376836,4702468503773353,1005.7368
36,1573436377036,4702468703773353,1005.76074
37,1573436377236,4702468903774915,1005.7749
38,1573436377437,4702469103774915,1005.7656
39,1573436377636,4702469303774915,1005.7495
40,1573436377836,4702469503773353,1005.7671
41,1573436378037,4702469703773353,1005.75635
42,1573436378237,4702469903773353,1005.7597699999999
43,1573436378436,4702470103773353,1005.7554
44,1573436378636,4702470303774915,1005.73975
45,1573436378837,4702470503773353,1005.7524400000001
46,1573436379036,4702470703773353,1005.7534
47,1573436379236,4702470903773353,1005.7495
48,1573436379436,4702471103773353,1005.7612
49,1573436379636,4702471303774915,1005.7676
50,1573436379838,4702471503773353,1005.76416
51,1573436380037,4702471703773353,1005.7544
52,1573436380237,4702471903774915,1005.7573
53,1573436380436,4702472103774915,1005.7524400000001
54,1573436380638,4702472303773353,1005.75635
55,1573436380836,4702472503774915,1005.75635
56,1573436381036,4702472703773353,1005.7529
57,1573436381237,4702472903773353,1005.74414
58,1573436381436,4702473103773353,1005.7475599999999
59,1573436381637,4702473303773353,1005.73047
60,1573436381838,4702473503774915,1005.7529
61,1573436382037,4702473703773353,1005.7489999999999
62,1573436382236,4702473903774915,1005.74316
63,1573436382437,4702474103774915,1005.74854
64,1573436382638,4702474303773353,1005.7573
65,1573436382836,4702474503773353,1005.7510000000001
66,1573436383037,4702474703773353,1005.7597699999999
67,1573436383236,4702474903773353,1005.75635
68,1573436383436,4702475103773353,1005.7666
69,1573436383636,4702475303773353,1005.75684
70,1573436383838,4702475503774915,1005.7461
71,1573436384036,4702475703773353,1005.7495
72,1573436384236,4702475903774915,1005.7617
73,1573436384438,4702476103774915,1005.7529
74,1573436384637,4702476303773353,1005.75195
75,1573436384837,4702476503774915,1005.7495
76,1573436385037,4702476703774915,1005.7451
77,1573436385237,4702476903773353,1005.7489999999999
78,1573436385438,4702477103773353,1005.7495
79,1573436385638,4702477303773353,1005.7661
80,1573436385839,4702477503773353,1005.7554
81,1573436386037,4702477703773353,1005.7656
82,1573436386236,4702477903773353,1005.7534
83,1573436386436,4702478103774915,1005.76416
84,1573436386636,4702478303773353,1005.73975
85,1573436386837,4702478503773353,1005.7427
86,1573436387036,4702478703773353,1005.75195
87,1573436387236,4702478903773353,1005.76025
88,1573436387436,4702479103773353,1005.75146
89,1573436387637,4702479303774915,1005.7661
90,1573436387837,4702479503773353,1005.7656
91,1573436388037,4702479703773353,1005.7632
92,1573436388236,4702479903773353,1005.76074
93,1573436388436,4702480103773353,1005.7593
94,1573436388638,4702480303773353,1005.76807
95,1573436388837,4702480503773353,1005.7593
96,1573436389036,4702480703773353,1005.7622
97,1573436389237,4702480903773353,1005.76025
98,1573436389438,4702481103774915,1005.7524400000001
99,1573436389637,4702481303774915,1005.7573
100,1573436389838,4702481503774915,1005.75195
101,1573436390037,4702481703773353,1005.75635
102,1573436390236,4702481903774915,1005.7534
103,1573436390437,4702482103773353,1005.7573
104,1573436390636,4702482303774915,1005.7632
105,1573436390836,4702482503774915,1005.7554
106,1573436391036,4702482703773353,1005.7597699999999
107,1573436391236,4702482903773353,1005.7622
108,1573436391437,4702483103774915,1005.7705
109,1573436391638,4702483303774915,1005.76953
110,1573436391837,4702483503773353,1005.77
111,1573436392038,4702483703773353,1005.7534
112,1573436392237,4702483903774915,1005.76953
113,1573436392436,4702484103773353,1005.75146
114,1573436392636,4702484303773353,1005.76025
115,1573436392837,4702484503773353,1005.7451
116,1573436393036,4702484703773353,1005.7529
117,1573436393236,4702484903773353,1005.74854
118,1573436393437,4702485103773353,1005.7588
119,1573436393638,4702485303774915,1005.7593
