bssid,frequency,rss,ssid,timeMillis,timestamp
88366cd6329b,5805,-95,urbandesignlab_5g,1576420176606,137292393
d8c7c8df0bb2,5785,-95,Welcome_1st_KAIST,1576420176606,137292390
d8c7c8de3911,5765,-83,Welcome_KAIST,1576420176606,137292387
d8c7c8de3910,5765,-82,eduroam,1576420176606,137292382
d8c7c8de3912,5765,-83,Welcome_1st_KAIST,1576420176606,137292379
e8fcaff99fc6,5765,-77,GC-B107-5G-2,1576420176606,137292376
e8fcaff99fc5,2452,-86,GC-B107,1576420176606,137292371
8472071a2652,2437,-84,WINIX AEN331W,1576420176606,137292368
d8c7c8df0472,5240,-91,Welcome_1st_KAIST,1576420176606,137292365
d8c7c8df0471,5240,-93,Welcome_KAIST,1576420176606,137292363
d8c7c8df0470,5240,-86,eduroam,1576420176606,137292361
00246c710552,5240,-70,Welcome_1st_KAIST,1576420176606,137292359
00246c710551,5240,-70,eduroam,1576420176606,137292356
00246c710550,5240,-67,Welcome_KAIST,1576420176606,137292354
e8fcaff99fc4,5220,-81,GC-B107-5G-1,1576420176606,137292352
705dcc4b6166,2417,-97,iptime,1576420176606,137292347
286d97892b41,2412,-92,[air purifier] Samsung,1576420176606,137292344
00246c710542,2412,-81,Welcome_1st_KAIST,1576420176606,137292342
00246c710541,2412,-80,eduroam,1576420176606,137292338
d8c7c8df1112,5180,-91,Welcome_1st_KAIST,1576420176606,137292332
d8c7c8df1111,5180,-87,Welcome_KAIST,1576420176606,137292329
d8c7c8df1110,5180,-93,eduroam,1576420176606,137292322
00246c710540,2412,-81,Welcome_KAIST,1576420176606,137292304
88366cd63883,5805,-81,cbe pc room 5G-1,1576420176606,131727580
909f33bb2166,5745,-91,MASS_3101_5G,1576420176606,131727573
64e599ba264e,2472,-93,iptime,1576420176606,131727569
24dec6e33f42,2472,-93,Welcome_1st_KAIST,1576420176606,131727567
24dec6e33f41,2472,-93,eduroam,1576420176606,131727564
24dec6e33f40,2472,-93,Welcome_KAIST,1576420176606,131727560
9439e51394e3,2437,-88,HP-Print-e3-LaserJet 100,1576420176606,131727555
286d978830fe,2412,-95,[air purifier] Samsung,1576420176606,131727539
88366c7d4f54,2412,-83,SBML2.4G,1576420176606,131727536
8625199074f9,2412,-93,DIRECT-pWC48x Series,1576420176606,131727534
862519571c86,2412,-87,DIRECT-F3C48x Series,1576420176606,131727530
88366cd63882,5180,-87,cbe pc room 5G-2,1576420176606,131727513
88366cd6329b,5805,-92,urbandesignlab_5g,1576420180427,141095937
d8c7c8df0bb2,5785,-83,Welcome_1st_KAIST,1576420180427,141095935
d8c7c8df0bb1,5785,-83,Welcome_KAIST,1576420180427,141095931
d8c7c8df0bb0,5785,-82,eduroam,1576420180427,141095928
d8c7c8de3912,5765,-79,Welcome_1st_KAIST,1576420180427,141095924
d8c7c8de3911,5765,-77,Welcome_KAIST,1576420180427,141095922
d8c7c8de3910,5765,-77,eduroam,1576420180427,141095919
88366cd64313,5745,-81,Changlab_5G_1,1576420180427,141095916
d8c7c8df16e2,2472,-96,Welcome_1st_KAIST,1576420180427,141095914
d8c7c8df16e0,2472,-96,eduroam,1576420180427,141095911
d8c7c8df0ba2,2472,-99,Welcome_1st_KAIST,1576420180427,141095908
d8c7c8df0ba1,2472,-97,Welcome_KAIST,1576420180427,141095905
d8c7c8df0ba0,2472,-99,eduroam,1576420180427,141095902
d8c7c8df16e1,2472,-96,Welcome_KAIST,1576420180427,141095897
64e599710a1e,2462,-92,SCAIS,1576420180427,141095893
e8fcaff99fc5,2452,-87,GC-B107,1576420180427,141095891
8472071a2652,2437,-87,WINIX AEN331W,1576420180427,141095889
00246c710552,5240,-72,Welcome_1st_KAIST,1576420180427,141095887
00246c710551,5240,-74,eduroam,1576420180427,141095883
