altitude,givenTimeMillis,horizontalAccuracy,latitude,longitude,timeMillis,verticalAccuracy
0.0,1576422115983,114.3,36.366102,127.3615605,1576422118091,0.0
0.0,1576422154051,29.0,36.365964,127.361245,1576422154903,0.0
0.0,1576422195188,133.34427,36.365763,127.361242,1576422195329,0.0
0.0,1576422233853,53.507416,36.36535,127.36135949999999,1576422234663,0.0
0.0,1576422276050,155.12798,36.364900000000006,127.3611415,1576422277711,0.0
68.61742575228341,1576422321480,4.0,36.364859758390104,127.3613510661431,1576422321493,4.0
0.0,1576422475732,157.81073,36.3654245,127.36203,1576422476113,0.0
0.0,1576422515611,52.548702,36.365817,127.3617405,1576422516527,0.0
0.0,1576422553980,29.0,36.365622,127.361987,1576422557588,0.0
0.0,1576422595464,29.0,36.365724,127.361996,1576422600922,0.0
0.0,1576422607053,29.0,36.365724,127.361996,1576422608644,0.0
0.0,1576422636577,29.0,36.365672,127.361812,1576422637114,0.0
0.0,1576422674432,89.5,36.366047,127.3611835,1576422675615,0.0
0.0,1576422715656,29.0,36.36614,127.361018,1576422716530,0.0
0.0,1576422755004,51.808495,36.3661995,127.3612285,1576422755654,0.0
0.0,1576422794092,45.03669,36.366113999999996,127.3611655,1576422795598,0.0
4.9E-324,1576422831328,59.10717,36.36607,127.36118,1576422834884,0.0
4.9E-324,1576422878558,101.077705,36.3658,127.361895,1576422878568,0.0
