timeMillis,timeNanos,x,y,z
1576422113443,2074142982186,4.8115997,5.0875,6.8655
1576422113465,2074162980623,4.7886,5.1015,6.8711
1576422113483,2074182980623,4.7212,5.0994,6.9192
1576422113504,2074202980623,4.6128,5.0821,7.0045
1576422113525,2074222980623,4.496,5.0557,7.0989
1576422113545,2074242980623,4.3986,5.0185,7.1857996
1576422113565,2074262980623,4.3265,4.96,7.2697
1576422113585,2074282980623,4.273,4.8901,7.3483
1576422113605,2074302980623,4.2525,4.8273,7.4014997
1576422113624,2074322980623,4.2662997,4.7745,7.4277997
1576422113645,2074342980623,4.302,4.7255,7.4385
1576422113664,2074362980623,4.3456,4.6562,7.4568
1576422113683,2074382980623,4.3584,4.5659,7.5049996
1576422113703,2074402982186,4.3371,4.4662,7.5769997
1576422113723,2074422982186,4.3016,4.3335,7.6737
1576422113745,2074442980623,4.2465,4.1646,7.797
1576422113763,2074462980623,4.1626,3.987,7.9337997
1576422113784,2074482980623,4.1068997,3.8019,8.0528
1576422113804,2074502980623,4.0464997,3.6313,8.1614
1576422113825,2074522980623,3.9775999,3.5068,8.2493
1576422113844,2074542982186,3.8365,3.4269998,8.349
1576422113864,2074562980623,3.5813,3.3695,8.4847
1576422113885,2074582980623,3.2656,3.3418,8.6219
1576422113903,2074602980623,3.0044,3.3694,8.7057
1576422113924,2074622982186,2.9067,3.4531,8.7060995
1576422113944,2074642982186,2.9408,3.5749998,8.6452
1576422113963,2074662980623,2.9535,3.6864,8.594
1576422113985,2074682980623,2.8627,3.751,8.5967
1576422114003,2074702982186,2.6849,3.7619,8.6491995
1576422114025,2074722980623,2.4766,3.7301998,8.7247
1576422114046,2074742980623,2.3186998,3.6750998,8.7912
1576422114065,2074762982186,2.2343,3.6274,8.8328
1576422114085,2074782982186,2.2172,3.605,8.8463
1576422114105,2074802982186,2.215,3.6039,8.8473
1576422114124,2074822980623,2.1880999,3.6016998,8.854899
1576422114143,2074842980623,2.1317,3.5846999,8.8755
1576422114164,2074862980623,2.0588,3.5586,8.9032
1576422114184,2074882980623,1.979,3.5337,8.9311
1576422114204,2074902980623,1.9154999,3.5121999,8.9534
1576422114223,2074922980623,1.8895999,3.4966998,8.965
1576422114243,2074942980623,1.9004999,3.4775999,8.970099
1576422114263,2074962980623,1.9348999,3.4448,8.9754
1576422114283,2074982980623,1.953,3.4062998,8.986199
1576422114305,2075002980623,1.9379,3.3755999,9.000999
1576422114325,2075022980623,1.8749,3.3442,9.0261
1576422114345,2075042980623,1.8016,3.3174,9.0508995
1576422114363,2075062980623,1.7785,3.2963998,9.0631
1576422114385,2075082980623,1.8002,3.2754,9.0664
1576422114404,2075102980623,1.829,3.2482,9.0704
1576422114424,2075122980623,1.8247999,3.2082999,9.0855
1576422114445,2075142980623,1.7479,3.1404998,9.1242
1576422114464,2075162980623,1.5807999,3.033,9.1908
1576422114483,2075182980623,1.3887999,2.9055998,9.2627
1576422114504,2075202980623,1.3123,2.8134,9.302199
1576422114523,2075222980623,1.3815,2.7705998,9.3050995
1576422114545,2075242980623,1.4868,2.7594,9.2922
1576422114563,2075262980623,1.5867,2.7621999,9.274799
1576422114585,2075282980623,1.6544,2.7544,9.2653
1576422114605,2075302980623,1.658,2.6964,9.2817
1576422114626,2075322982186,1.6108999,2.5921,9.3196
1576422114645,2075342980623,1.5809,2.4881,9.353
1576422114665,2075362980623,1.6193,2.4405,9.359
1576422114685,2075382980623,1.6991999,2.4445,9.3438
1576422114703,2075402982186,1.7825999,2.4798,9.3189
1576422114724,2075422982186,1.8017,2.554,9.295199
1576422114743,2075442980623,1.8067,2.6183999,9.276199
1576422114765,2075462982186,1.7713,2.6741,9.2671995
1576422114785,2075482980623,1.7091,2.7254,9.2639
1576422114803,2075502980623,1.6741999,2.7747,9.2557
1576422114824,2075522980623,1.6394999,2.7962,9.2554
1576422114844,2075542980623,1.6067,2.7928998,9.2621
1576422114865,2075562982186,1.5813999,2.7709,9.2731
1576422114886,2075582980623,1.5722,2.7394,9.283999
1576422114905,2075602980623,1.5627999,2.6945999,9.298699
1576422114925,2075622980623,1.5655999,2.6376998,9.3145
1576422114944,2075642980623,1.5769999,2.5721,9.3309
1576422114964,2075662980623,1.5882,2.4979,9.349199
1576422114983,2075682982186,1.5958999,2.4283,9.3661995
1576422115003,2075702980623,1.599,2.3546,9.3845
1576422115024,2075722980623,1.5992999,2.2687,9.405499
1576422115044,2075742980623,1.599,2.1550999,9.4323
1576422115064,2075762980623,1.5943999,2.0074,9.4656
1576422115083,2075782980623,1.5921999,1.8889999,9.4903
1576422115105,2075802980623,1.5540999,1.8843,9.497499
1576422115124,2075822980623,1.5066999,2.05,9.470799
1576422115144,2075842980623,1.5386,2.365,9.3919
1576422115163,2075862980623,1.7026999,2.7403,9.2607
1576422115185,2075882980623,1.8644999,3.017,9.142799
1576422115229,2075902982186,1.9646,3.1364,9.0814
1576422115229,2075922982186,1.8982999,3.0874999,9.1122
1576422115244,2075942980623,1.7646999,2.9652,9.1795
1576422115264,2075962980623,1.5800999,2.8248,9.257
1576422115284,2075982980623,1.4044,2.7152,9.318
1576422115305,2076002980623,1.275,2.659,9.3527
1576422115323,2076022980623,1.1978999,2.6557999,9.3638
1576422115345,2076042980623,1.16,2.6759999,9.3628
1576422115363,2076062980623,1.1291,2.6894,9.3628
1576422115384,2076082980623,1.1103,2.6982,9.3625
1576422115404,2076102980623,1.1004,2.7166998,9.3583
1576422115425,2076122980623,1.1024,2.7382998,9.3518
1576422115444,2076142980623,1.1309,2.7704,9.3389
1576422115464,2076162980623,1.1901,2.8209999,9.3164
1576422115485,2076182980623,1.278,2.8962998,9.2816
1576422115504,2076202980623,1.4235,3.0042999,9.2259
1576422115525,2076222980623,1.5969,3.1208,9.1586
1576422115544,2076242980623,1.7565999,3.2078,9.0991
1576422115564,2076262980623,1.9108,3.2512,9.0525
1576422115585,2076282980623,2.0884,3.2531,9.0125
1576422115603,2076302980623,2.3056998,3.2161,8.9727
1576422115631,2076322980623,2.4716,3.1589,8.9488
