timeMillis,timeNanos,x,y,z
1576422113443,2074142982186,297.46,-36.53,29.38
1576422113463,2074162980623,297.24,-36.59,29.22
1576422113483,2074182980623,296.84,-36.38,28.769999
1576422113504,2074202980623,296.27,-35.96,28.05
1576422113523,2074222980623,295.62,-35.45,27.279999
1576422113543,2074242980623,295.02,-34.92,26.64
1576422113563,2074262980623,294.44998,-34.3,26.17
1576422113584,2074282980623,293.91998,-33.64,25.83
1576422113603,2074302980623,293.66,-33.11,25.689999
1576422113623,2074322980623,293.72998,-32.73,25.779999
1576422113643,2074342980623,294.05,-32.42,26.019999
1576422113663,2074362980623,294.32,-31.98,26.3
1576422113683,2074382980623,294.34,-31.31,26.38
1576422113703,2074402982186,294.19,-30.51,26.24
1576422113723,2074422982186,293.87,-29.449999,26.01
1576422113743,2074442980623,293.56,-28.099998,25.65
1576422113763,2074462980623,293.50998,-26.68,25.109999
1576422113784,2074482980623,293.58,-25.269999,24.75
1576422113803,2074502980623,293.6,-23.98,24.369999
1576422113823,2074522980623,293.74,-23.029999,23.92
1576422113843,2074542982186,293.91,-22.31,23.029999
1576422113864,2074562980623,293.85,-21.65,21.41
1576422113883,2074582980623,293.69998,-21.18,19.449999
1576422113903,2074602980623,293.83,-21.15,17.84
1576422113923,2074622982186,294.38,-21.63,17.24
1576422113944,2074642982186,295.11,-22.46,17.449999
1576422113963,2074662980623,295.68,-23.21,17.52
1576422113983,2074682980623,295.97,-23.57,16.97
1576422114003,2074702982186,295.94,-23.5,15.88
1576422114023,2074722980623,295.69,-23.14,14.63
1576422114043,2074742980623,295.47998,-22.68,13.67
1576422114063,2074762982186,295.46,-22.32,13.17
1576422114085,2074782982186,295.69998,-22.17,13.059999
1576422114103,2074802982186,296.07,-22.16,13.049999
1576422114123,2074822980623,296.41998,-22.13,12.889999
1576422114143,2074842980623,296.74,-21.99,12.55
1576422114163,2074862980623,296.97,-21.779999,12.11
1576422114183,2074882980623,297.08,-21.58,11.639999
1576422114203,2074902980623,297.07,-21.41,11.259999
1576422114223,2074922980623,297.03,-21.3,11.099999
1576422114242,2074942980623,297.0,-21.189999,11.17
1576422114263,2074962980623,297.0,-20.99,11.37
1576422114282,2074982980623,297.00998,-20.75,11.48
1576422114303,2075002980623,296.91,-20.55,11.389999
1576422114323,2075022980623,296.59,-20.32,11.0199995
1576422114343,2075042980623,296.19998,-20.119999,10.58
1576422114363,2075062980623,296.02,-19.98,10.44
1576422114383,2075082980623,296.13,-19.859999,10.57
1576422114403,2075102980623,296.37,-19.699999,10.74
1576422114423,2075122980623,296.69,-19.439999,10.719999
1576422114443,2075142980623,296.9,-18.99,10.26
1576422114463,2075162980623,296.71,-18.26,9.2699995
1576422114483,2075182980623,296.22998,-17.41,8.139999
1576422114503,2075202980623,295.97,-16.82,7.69
1576422114522,2075222980623,296.22998,-16.58,8.09
1576422114543,2075242980623,296.84,-16.529999,8.72
1576422114563,2075262980623,297.54,-16.58,9.309999
1576422114583,2075282980623,298.22998,-16.55,9.71
1576422114603,2075302980623,298.49,-16.19,9.73
1576422114626,2075322982186,298.25,-15.54,9.45
1576422114643,2075342980623,297.85,-14.889999,9.2699995
1576422114663,2075362980623,297.69998,-14.61,9.5
1576422114683,2075382980623,297.85,-14.66,9.969999
1576422114703,2075402982186,298.28,-14.9,10.469999
1576422114723,2075422982186,298.77,-15.36,10.58
1576422114743,2075442980623,299.12,-15.759999,10.61
1576422114764,2075462982186,299.31,-16.09,10.4
1576422114783,2075482980623,299.41,-16.39,10.03
1576422114803,2075502980623,299.58,-16.68,9.82
1576422114823,2075522980623,299.63998,-16.81,9.62
1576422114843,2075542980623,299.6,-16.779999,9.429999
1576422114863,2075562982186,299.5,-16.63,9.2699995
1576422114883,2075582980623,299.38998,-16.43,9.22
1576422114903,2075602980623,299.29,-16.16,9.17
1576422114923,2075622980623,299.19998,-15.809999,9.179999
1576422114943,2075642980623,299.16998,-15.41,9.25
1576422114963,2075662980623,299.22,-14.95,9.32
1576422114983,2075682982186,299.44,-14.53,9.36
1576422115003,2075702980623,299.79,-14.08,9.38
1576422115023,2075722980623,300.15,-13.559999,9.38
1576422115043,2075742980623,300.4,-12.87,9.38
1576422115063,2075762980623,300.68,-11.969999,9.349999
1576422115082,2075782980623,301.15,-11.25,9.34
1576422115103,2075802980623,301.78,-11.219999,9.11
1576422115123,2075822980623,302.50998,-12.21,8.83
1576422115143,2075842980623,303.33,-14.13,9.0199995
1576422115163,2075862980623,304.22998,-16.48,9.99
1576422115185,2075882980623,305.13,-18.26,10.96
1576422115229,2075902982186,306.09,-19.05,11.55
1576422115229,2075922982186,307.02,-18.71,11.16
1576422115243,2075942980623,308.00998,-17.9,10.36
1576422115263,2075962980623,308.88998,-16.97,9.2699995
1576422115283,2075982980623,309.72,-16.24,8.23
1576422115303,2076002980623,310.47,-15.87,7.47
1576422115323,2076022980623,311.13998,-15.83,7.0099998
1576422115343,2076042980623,311.63998,-15.95,6.79
1576422115363,2076062980623,311.91,-16.02,6.6099997
1576422115383,2076082980623,311.99,-16.07,6.5
1576422115403,2076102980623,311.91,-16.18,6.44
1576422115423,2076122980623,311.69998,-16.32,6.45
1576422115443,2076142980623,311.47998,-16.52,6.62
1576422115463,2076162980623,311.32,-16.84,6.97
1576422115483,2076182980623,311.18,-17.33,7.48
1576422115503,2076202980623,310.97,-18.029999,8.34
1576422115523,2076222980623,310.63998,-18.81,9.37
1576422115543,2076242980623,310.16998,-19.41,10.309999
1576422115563,2076262980623,309.63998,-19.75,11.23
1576422115584,2076282980623,309.28,-19.84,12.29
1576422115603,2076302980623,308.68,-19.71,13.59
1576422115631,2076322980623,307.9,-19.439999,14.589999
1576422115643,2076342980623,307.18,-19.41,15.0
1576422115663,2076362980623,306.50998,-19.869999,14.929999
1576422115683,2076382980623,305.85,-20.59,14.759999
1576422115703,2076402982186,304.86,-20.98,14.65
1576422115723,2076422980623,303.38,-20.9,14.66
1576422115743,2076442980623,301.9,-20.76,15.179999
1576422115763,2076462980623,300.85,-20.82,16.0
1576422115784,2076482982186,300.16,-21.039999,16.619999
1576422115803,2076502980623,299.44998,-21.26,16.84
1576422115823,2076522982186,298.38,-21.189999,16.609999
1576422115843,2076542982186,296.91,-20.76,16.25
1576422115864,2076562982186,295.27,-20.22,16.19
1576422115883,2076582982186,293.78,-19.6,16.369999
1576422115903,2076602982186,292.50998,-18.97,16.46
1576422115923,2076622982186,291.41998,-18.44,16.32
1576422115943,2076642980623,290.47,-17.94,16.1
1576422115963,2076662982186,289.66998,-17.41,15.7699995
1576422115983,2076682982186,288.99,-16.91,15.219999
1576422116003,2076702980623,288.36,-16.48,14.589999
1576422116023,2076722980623,287.75998,-16.16,13.98
1576422116043,2076742980623,287.3,-15.849999,13.179999
1576422116064,2076762980623,286.96,-15.4,12.059999
1576422116083,2076782982186,286.79,-14.86,11.17
1576422116103,2076802982186,286.97998,-14.559999,10.87
1576422116123,2076822980623,287.47,-14.839999,10.9
1576422116143,2076842980623,288.11,-15.92,10.889999
1576422116163,2076862980623,288.72998,-17.83,10.78
1576422116183,2076882980623,289.22,-20.279999,10.639999
1576422116203,2076902980623,289.19,-22.6,10.29
1576422116223,2076922980623,288.44,-24.039999,9.559999
1576422116243,2076942980623,287.37,-24.699999,8.76
1576422116264,2076962980623,286.38,-25.23,8.16
