bssid,frequency,rss,ssid,timeMillis,timestamp
8625190c6644,2472,-80,DIRECT-IiM267x 287x Series,1576422115185,2075859724
d8c7c8de3932,5805,-87,Welcome_1st_KAIST,1576422115185,2075859721
d8c7c8de3931,5805,-86,Welcome_KAIST,1576422115185,2075859717
d8c7c8de3930,5805,-85,eduroam,1576422115185,2075859714
909f33a803d4,5805,-83,5107_5G,1576422115185,2075859711
88366cd63883,5805,-70,cbe pc room 5G-1,1576422115185,2075859708
001a1e742292,5785,-84,Welcome_1st_KAIST,1576422115185,2075859705
001a1e742291,5785,-87,eduroam,1576422115185,2075859702
001a1e742290,5785,-86,Welcome_KAIST,1576422115185,2075859699
705dcc00c6b4,5745,-91,iptime5G,1576422115185,2075859697
88366c7d4f56,5745,-83,SBML5G,1576422115185,2075859693
24dec6e33e62,2472,-87,Welcome_1st_KAIST,1576422115185,2075859689
24dec6e33e61,2472,-85,eduroam,1576422115185,2075859687
24dec6ec6641,2472,-97,eduroam,1576422115185,2075859684
24dec6e33f42,2472,-93,Welcome_1st_KAIST,1576422115185,2075859681
d8c7c8de3922,2472,-91,Welcome_1st_KAIST,1576422115185,2075859678
d8c7c8de3921,2472,-91,Welcome_KAIST,1576422115185,2075859676
0026661f3890,2462,-94,KJD,1576422115185,2075859674
24dec6e33f41,2472,-92,eduroam,1576422115185,2075859670
24dec6e33f40,2472,-92,Welcome_KAIST,1576422115185,2075859668
d8c7c8df16e1,2472,-87,Welcome_KAIST,1576422115185,2075859666
24dec6e33e60,2472,-85,Welcome_KAIST,1576422115185,2075859661
d8c7c8df16e2,2472,-87,Welcome_1st_KAIST,1576422115185,2075859659
d8c7c8df16e0,2472,-86,eduroam,1576422115185,2075859653
64e599ba264e,2472,-76,iptime,1576422115185,2075859647
b85510df244a,2462,-79,Samsung_2.4G,1576422115185,2075859644
021599ea8ffe,2462,-85,DIRECT-BOC460 Series,1576422115185,2075859641
64e599edbdd2,2447,-78,KAISTCONCRETE,1576422115185,2075859638
00266632b4c4,2442,-88,lja,1576422115185,2075859635
d8c7c8df0471,5240,-83,Welcome_KAIST,1576422115185,2075859632
d8c7c8df0470,5240,-82,eduroam,1576422115185,2075859630
d8c7c8df0472,5240,-83,Welcome_1st_KAIST,1576422115185,2075859628
24dec6ec5ef2,5220,-59,Welcome_1st_KAIST,1576422115185,2075859626
24dec6ec5ef1,5220,-59,eduroam,1576422115185,2075859624
24dec6ec5ef0,5220,-60,Welcome_KAIST,1576422115185,2075859620
909f33bb2164,2417,-70,MASS_3101,1576422115185,2075859614
d8c7c8df21f2,5180,-87,Welcome_1st_KAIST,1576422115185,2075859612
d8c7c8df21f1,5180,-91,Welcome_KAIST,1576422115185,2075859610
6c198fcfbaca,5180,-84,procal5.0,1576422115185,2075859607
88366cd63882,5180,-69,cbe pc room 5G-2,1576422115185,2075859602
d8c7c8df1110,5180,-72,eduroam,1576422115185,2075859585
909f33a803d4,5805,-84,5107_5G,1576422118997,2079684751
88366cd63883,5805,-74,cbe pc room 5G-1,1576422118997,2079684749
001a1e742292,5785,-86,Welcome_1st_KAIST,1576422118997,2079684747
001a1e742291,5785,-84,eduroam,1576422118997,2079684745
001a1e742290,5785,-85,Welcome_KAIST,1576422118997,2079684743
88366c07a64e,5745,-88,Lense_5Ghz,1576422118997,2079684741
24dec6e33e72,5745,-87,Welcome_1st_KAIST,1576422118997,2079684738
24dec6e33e71,5745,-87,eduroam,1576422118997,2079684736
24dec6e33e70,5745,-86,Welcome_KAIST,1576422118997,2079684733
909f33bb2166,5745,-81,MASS_3101_5G,1576422118997,2079684729
88366c5842a0,5745,-70,MaturePolis Lab. 5G,1576422118997,2079684727
64e599ba264e,2472,-72,iptime,1576422118997,2079684725
d8c7c8de3922,2472,-83,Welcome_1st_KAIST,1576422118997,2079684723
d8c7c8de3921,2472,-84,Welcome_KAIST,1576422118997,2079684722
d8c7c8de3920,2472,-84,eduroam,1576422118997,2079684718
64e5995b627c,2472,-88,SWEET Lab,1576422118997,2079684716
24dec6e33e62,2472,-81,Welcome_1st_KAIST,1576422118997,2079684714
24dec6e33e61,2472,-83,eduroam,1576422118997,2079684712
24dec6e33e60,2472,-83,Welcome_KAIST,1576422118997,2079684710
24dec6e33f41,2472,-96,eduroam,1576422118997,2079684708
00089f942691,2472,-92,Sung Gap Im,1576422118997,2079684706
8625190c6644,2472,-82,DIRECT-IiM267x 287x Series,1576422118997,2079684704
64e599a088a0,2462,-81,iptime,1576422118997,2079684701
b85510df244a,2462,-73,Samsung_2.4G,1576422118997,2079684700
0026661f3890,2462,-71,KJD,1576422118997,2079684698
88366c5842a2,2457,-73,MaturePolis Lab.,1576422118997,2079684696
002666c4d564,2452,-80,iptime-MBELoffice,1576422118997,2079684693
64e599edbdd2,2447,-73,KAISTCONCRETE,1576422118997,2079684691
b252165200fe,2437,-79,DIRECT-fe-HP M280 LaserJet,1576422118997,2079684690
9439e51394e3,2437,-84,HP-Print-e3-LaserJet 100,1576422118997,2079684688
d8c7c8df0472,5240,-82,Welcome_1st_KAIST,1576422118997,2079684686
d8c7c8df0471,5240,-80,Welcome_KAIST,1576422118997,2079684684
d8c7c8df0470,5240,-81,eduroam,1576422118997,2079684680
d8c7c8df0052,5220,-88,Welcome_1st_KAIST,1576422118997,2079684677
d8c7c8df0051,5220,-87,Welcome_KAIST,1576422118997,2079684675
d8c7c8df0050,5220,-84,eduroam,1576422118997,2079684672
24dec6ec5ef2,5220,-65,Welcome_1st_KAIST,1576422118997,2079684671
24dec6ec5ef1,5220,-64,eduroam,1576422118997,2079684668
24dec6ec5ef0,5220,-62,Welcome_KAIST,1576422118997,2079684665
909f33bb2164,2417,-68,MASS_3101,1576422118997,2079684663
