timeMillis,timeNanos,x,y,z
1576422909169,2869863831623,-0.04738569,-0.33527774,-0.060981803
1576422909180,2869883833186,-0.021450097,-0.35960764,-0.055693455
1576422909200,2869903831623,-0.00286234,-0.33553955,-0.05284857
1576422909220,2869923831623,-0.012479104,-0.2867227,-0.050701816
1576422909242,2869943831623,0.020158553,-0.25291565,-0.078155845
1576422909260,2869963833186,0.101211645,-0.25747097,-0.10236356
1576422909280,2869983833186,0.23825489,-0.26087436,-0.13505358
1576422909299,2870003831623,0.37168533,-0.30782372,-0.18111281
1576422909320,2870023831623,0.4651128,-0.36966074,-0.20366247
1576422909340,2870043831623,0.54733527,-0.4165752,-0.10676179
1576422909360,2870063831623,0.65383524,-0.5200034,0.036617007
1576422909380,2870083831623,0.7917861,-0.6178815,0.11074114
1576422909399,2870103831623,0.90460414,-0.706614,0.01839577
1576422909420,2870123831623,0.81019926,-0.7017271,-0.23476423
1576422909440,2870143831623,0.43661156,-0.62852794,-0.85868454
1576422909460,2870163831623,-0.2968805,-0.47169268,-1.1928627
1576422909480,2870183831623,-1.2280312,0.011728613,-1.2722403
1576422909500,2870203831623,-1.7784207,0.3133564,-1.210857
1576422909520,2870223831623,-1.5737634,0.14179055,-0.8359429
1576422909540,2870243831623,-0.96307266,-0.5804092,-0.3207915
1576422909561,2870263831623,-0.5681745,-0.79997164,-0.18140952
1576422909579,2870283831623,-0.40608576,-0.5419247,-0.12117821
1576422909600,2870303831623,-0.3839026,-0.52681017,-0.09086184
1576422909620,2870323831623,-0.38943532,-0.4351804,-0.073635444
1576422909640,2870343831623,-0.4968429,-0.022671826,-0.19299851
1576422909660,2870363831623,-0.5114164,0.230558,-0.2083923
1576422909681,2870383831623,-0.3094294,0.37224382,-0.08206538
1576422909700,2870403831623,0.06768387,0.40542254,0.09377654
1576422909720,2870423831623,0.4341332,0.2610838,0.28464574
1576422909751,2870443831623,0.6080029,0.06934193,0.405248
1576422909765,2870463831623,0.49233994,0.027488936,0.36613518
1576422909780,2870483833186,0.19865337,-0.015254177,0.33929202
1576422909801,2870503831623,-0.14570008,-0.13304645,0.35430184
1576422909820,2870523831623,-0.38306487,-0.2592861,0.3623129
1576422909840,2870543833186,-0.3615275,-0.29656634,0.36227798
1576422909860,2870563833186,-0.29623473,-0.2916445,0.3665366
1576422909881,2870583831623,-0.27775168,-0.18476056,0.3576354
1576422909900,2870603831623,-0.19387117,-0.119834304,0.45821875
1576422909920,2870623831623,-0.13960889,-0.1566782,0.52480304
1576422909940,2870643831623,-0.17990854,-0.04696681,0.45228463
1576422909960,2870663831623,-0.14936528,0.13634512,0.38472292
1576422909980,2870683833186,2.6179937E-4,0.17418386,0.42563343
1576422909999,2870703831623,0.13749704,0.16453218,0.560495
1576422910020,2870723831623,0.2512576,0.20038125,0.4934395
1576422910040,2870743833186,0.27401668,0.09838421,0.4510629
1576422910060,2870763833186,0.12424999,0.0074176495,0.4389852
1576422910080,2870783831623,-0.113306776,0.11194542,0.47649235
1576422910100,2870803831623,-0.23022638,0.21895155,0.38123226
1576422910120,2870823833186,-0.19160224,0.08929104,0.38358846
1576422910140,2870843833186,-0.11946779,-0.041259583,0.47876126
1576422910160,2870863831623,-0.11559316,-0.14962707,0.51192254
1576422910180,2870883831623,-0.22945844,-0.03466224,0.4196644
1576422910200,2870903831623,-0.3363424,0.1492431,0.28501227
1576422910220,2870923831623,-0.3886499,0.23869123,0.21327923
1576422910239,2870943831623,-0.42737877,0.3540575,0.20186478
1576422910260,2870963831623,-0.44875905,0.43750167,0.2276782
1576422910279,2870983831623,-0.3568151,0.3437775,0.16086699
1576422910300,2871003831623,-0.16439256,0.121963605,0.010646508
1576422910320,2871023831623,0.07065093,-0.08571312,-0.13313371
1576422910340,2871043831623,0.27485445,0.18015288,-0.20816542
1576422910365,2871063833186,0.4044626,0.089273594,-0.2772281
1576422910380,2871083831623,0.4494921,-0.016353736,-0.39184386
1576422910400,2871103831623,0.34032175,-0.09499827,-0.44767696
1576422910419,2871123831623,0.15515977,-0.14470525,-0.48354346
1576422910440,2871143831623,0.040718533,-0.1940806,-0.5045398
1576422910460,2871163831623,0.09684832,-0.20781635,-0.53202873
1576422910479,2871183831623,0.234293,-0.24993114,-0.5660277
1576422910501,2871203831623,0.34110716,-0.25954792,-0.65695935
1576422910520,2871223831623,0.33915237,-0.20523326,-0.69673544
1576422910540,2871243831623,0.26199138,-0.16432275,-0.69624674
1576422910560,2871263831623,0.13690363,-0.014940019,-0.71799356
1576422910580,2871283831623,-0.017558012,0.31042427,-0.75042176
1576422910600,2871303831623,-0.019861847,0.47813293,-0.76605994
1576422910620,2871323831623,0.20053834,0.2960602,-0.7388153
1576422910640,2871343831623,0.39036033,-0.08337438,-0.7312755
1576422910660,2871363831623,0.42985713,-0.2818183,-0.83967793
1576422910680,2871383831623,0.28354618,-0.3204948,-0.8468861
1576422910700,2871403833186,0.0031415927,-0.19366173,-0.8705528
1576422910719,2871423831623,-0.2925172,0.0012217305,-0.8940798
1576422910740,2871443831623,-0.37116173,0.13252285,-0.94952893
1576422910763,2871463831623,-0.33985052,0.08471828,-1.0013827
1576422910781,2871483831623,-0.22608995,0.07590437,-0.99536127
1576422910805,2871503833186,-0.055571284,-0.027977629,-0.88884383
1576422910820,2871523831623,0.042167153,-0.1521229,-0.78524107
1576422910840,2871543831623,0.041992623,-0.19114846,-0.7172256
1576422910860,2871563831623,-0.028797932,-0.15304792,-0.6991789
1576422910880,2871583833186,-0.10471976,-0.10147344,-0.69717175
1576422910901,2871603833186,-0.18695967,-0.111491635,-0.67778116
1576422910920,2871623831623,-0.19146262,-0.12866567,-0.6545159
1576422910968,2871643831623,-0.12377875,-0.15629423,-0.61545545
