timeMillis,timeNanos,value
1576422909220,2869927440623,1022.9512
1576422909300,2870007440623,1022.9214
1576422909380,2870087440623,1022.9004
1576422909460,2870167440623,1022.9072
1576422909540,2870247440623,1022.9292
1576422909620,2870327440623,1022.91895
1576422909701,2870407440623,1022.91895
1576422909780,2870487442186,1022.92676
1576422909860,2870567442186,1022.95166
1576422909941,2870647440623,1022.94727
1576422910020,2870727440623,1022.93506
1576422910100,2870807440623,1022.9053
1576422910180,2870887440623,1022.875
1576422910261,2870967440623,1022.8662
1576422910340,2871047440623,1022.89307
1576422910421,2871127440623,1022.92285
1576422910501,2871207440623,1022.9531
1576422910581,2871287440623,1022.9536
1576422910660,2871367440623,1022.9487
1576422910740,2871447440623,1022.91846
1576422910820,2871527440623,1022.90234
1576422910901,2871607442186,1022.89844
1576422910980,2871687440623,1022.91455
1576422911060,2871767442186,1022.9424
1576422911140,2871847440623,1022.96533
1576422911220,2871927442186,1022.9844
1576422911300,2872007440623,1022.9673
1576422911380,2872087440623,1022.9375
1576422911460,2872167440623,1022.9072
1576422911540,2872247440623,1022.87744
1576422911620,2872327440623,1022.854
1576422911701,2872407440623,1022.8711
1576422911781,2872487440623,1022.9009
1576422911860,2872567442186,1022.93115
1576422911940,2872647440623,1022.9175
1576422912020,2872727440623,1022.8887
1576422912100,2872807442186,1022.8584
1576422912180,2872887440623,1022.87305
1576422912261,2872967442186,1022.89307
1576422912340,2873047440623,1022.92334
1576422912420,2873127440623,1022.9531
1576422912500,2873207440623,1022.9834
1576422912580,2873287440623,1023.00195
1576422912660,2873367440623,1022.9751
1576422912740,2873447440623,1022.95996
1576422912820,2873527440623,1022.9492
1576422912900,2873607440623,1022.96045
1576422912982,2873687440623,1022.9785
1576422913061,2873767442186,1022.9912
1576422913140,2873847442186,1023.021
1576422913222,2873927440623,1022.9966
1576422913300,2874007440623,1022.9663
1576422913380,2874087442186,1022.9365
1576422913460,2874167440623,1022.91895
1576422913540,2874247440623,1022.92285
1576422913620,2874327440623,1022.9409
1576422913701,2874407440623,1022.96436
1576422913783,2874487442186,1022.9927
1576422913860,2874567442186,1023.0
1576422913940,2874647440623,1023.0
1576422914020,2874727440623,1022.9702
1576422914100,2874807440623,1022.93994
1576422914181,2874887442186,1022.93066
1576422914260,2874967440623,1022.9409
1576422914340,2875047440623,1022.9546
1576422914420,2875127440623,1022.98096
1576422914501,2875207440623,1022.9756
1576422914580,2875287440623,1022.9453
1576422914660,2875367440623,1022.92285
1576422914767,2875447440623,1022.91797
1576422914820,2875527442186,1022.92676
1576422914900,2875607442186,1022.95703
1576422914980,2875687440623,1022.98535
1576422915060,2875767440623,1022.9995
1576422915140,2875847440623,1022.96924
1576422915220,2875927440623,1022.93945
1576422915301,2876007440623,1022.9092
1576422915382,2876087442186,1022.9282
1576422915460,2876167440623,1022.9575
1576422915540,2876247440623,1022.978
1576422915621,2876327440623,1022.9888
1576422915700,2876407440623,1022.9868
1576422915780,2876487440623,1022.96875
1576422915861,2876567442186,1022.94434
1576422915940,2876647440623,1022.9263
1576422916020,2876727440623,1022.917
