floor,timeMillis
-1,1576425579076
-5,1576425602645
-4,1576425608145
2,1576425684144
-3,1576425688901
-5,1576425767744
7,1576425772047
7,1576425933094
-3,1576425937797
-5,1576425972853
7,1576425979405
2,1576426087334
-3,1576426091755
-5,1576426143367
7,1576426150422
-4,1576426263098
-4,1576426319322
-4,1576426334863
-3,1576426340982
-5,1576426383016
-4,1576426387828
2,1576426430736
-3,1576426434713
-5,1576426477591
7,1576426481826
-4,1576426523820
-3,1576426529601
-5,1576426609453
-4,1576426614561
7,1576426702518
-3,1576426708411
-5,1576426799526
7,1576426804546
2,1576426976430
-3,1576426981949
-5,1576427019978
7,1576427025839
-3,1576427038484
-5,1576427085036
-4,1576427211190
-4,1576427244001
-4,1576427258152
-3,1576427262548
-5,1576427294098
-5,1576427298466
2,1576427333259
-3,1576427335289
-5,1576427361698
7,1576427366472
-4,1576427399832
-3,1576427404443
