calcAzimuth,gesture,stepLength,timeMillis
199.60037,0,0.65,1574732102270
226.51714,0,0.65,1574732103440
223.53658,0,0.325,1574732104150
206.08324,0,0.65,1574732105110
119.473755,0,0.325,1574732105990
89.1681,0,0.13,1574732108010
291.4139,0,0.13,1574732108650
279.2163,0,0.325,1574732109290
304.17456,0,0.65,1574732110040
282.69278,0,0.65,1574732110650
286.47458,0,0.65,1574732111400
280.19907,0,0.65,1574732112130
280.49045,0,0.65,1574732113030
212.97379,0,0.65,1574732113800
90.655624,0,0.65,1574732114410
256.72366,0,0.65,1574732115120
290.48047,0,0.65,1574732115790
264.791,0,0.65,1574732116370
16.328726,0,0.65,1574732116930
17.201351,0,0.65,1574732117500
19.671352,0,0.65,1574732118220
22.096811,0,0.65,1574732118900
64.66978,0,0.65,1574732119410
90.23015,0,0.65,1574732120510
39.511906,0,0.65,1574732122090
307.9994,0,0.65,1574732122850
279.72412,0,0.65,1574732123480
273.55112,0,0.65,1574732124120
284.32303,0,0.65,1574732124750
289.7012,0,0.65,1574732125300
289.41394,0,0.65,1574732125930
275.80112,0,0.65,1574732126550
242.41809,0,0.65,1574732127170
258.48343,0,0.65,1574732127790
251.70781,0,0.65,1574732128420
279.1593,0,0.65,1574732129100
242.48584,0,0.325,1574732129810
234.18863,0,0.13,1574732132080
18.11825,0,0.325,1574732133570
59.86779,0,0.65,1574732135000
183.76866,0,0.13,1574732136780
35.918556,0,0.13,1574732138500
207.53477,0,0.65,1574732139180
264.6069,0,0.325,1574732139890
196.35724,0,0.325,1574732140500
210.07214,0,0.65,1574732141140
202.57047,0,0.65,1574732141830
181.20717,0,0.65,1574732142540
187.85675,0,0.65,1574732143410
116.26073,0,0.325,1574732144120
110.21468,0,0.325,1574732144800
218.94427,0,0.65,1574732145480
64.58948,0,0.65,1574732146300
82.166504,0,0.65,1574732147010
70.40563,0,0.65,1574732147740
113.01251,0,0.65,1574732148490
91.709076,0,0.65,1574732149250
62.418407,0,0.65,1574732150010
75.264824,0,0.65,1574732150750
68.84161,0,0.65,1574732151510
93.29146,0,0.65,1574732152270
111.54772,0,0.65,1574732153050
110.10252,0,0.65,1574732153760
119.118744,0,0.65,1574732154520
97.78671,0,0.65,1574732155390
121.87973,0,0.325,1574732156210
45.104652,0,0.65,1574732156980
82.55441,0,0.325,1574732157790
22.06275,0,0.325,1574732158530
24.564327,0,0.325,1574732159370
278.9974,0,0.65,1574732160190
6.777202,0,0.65,1574732161030
286.0295,0,0.65,1574732161850
200.22801,0,0.65,1574732162620
209.52966,0,0.65,1574732163380
212.39423,0,0.65,1574732164260
216.20314,0,0.65,1574732165030
225.31992,0,0.65,1574732165880
230.92181,0,0.65,1574732166580
228.12086,0,0.65,1574732167370
232.72649,8,0.65,1574732168080
245.24626,8,0.65,1574732168820
264.0889,8,0.65,1574732169530
228.99774,8,0.65,1574732170430
36.991634,8,0.325,1574732172160
32.31617,8,0.65,1574732172690
49.988632,8,0.65,1574732173030
247.34512,8,0.65,1574732173470
122.02996,0,0.13,1574732176130
273.42633,0,0.13,1574732176680
9.14875,0,0.13,1574732177290
13.27693,0,0.13,1574732177790
259.99432,0,0.13,1574732180480
15.679959,0,0.13,1574732181300
245.11957,0,0.325,1574732182040
244.62479,0,0.65,1574732182660
239.38037,0,0.65,1574732183310
246.4028,0,0.65,1574732183980
238.09439,0,0.65,1574732184630
234.22763,0,0.65,1574732185230
254.11047,0,0.65,1574732185920
279.94717,0,0.65,1574732186510
273.95142,0,0.65,1574732187170
259.74207,0,0.65,1574732187760
249.58519,0,0.65,1574732188420
239.66064,0,0.65,1574732189010
239.3044,0,0.65,1574732189730
295.80078,0,0.65,1574732190310
274.22375,0,0.65,1574732190920
262.32095,0,0.65,1574732191620
250.86061,0,0.65,1574732192250
256.5908,0,0.65,1574732192920
263.46243,0,0.65,1574732193610
278.8755,0,0.65,1574732194250
295.59885,0,0.65,1574732194980
304.0625,0,0.65,1574732195660
288.79047,0,0.65,1574732196330
296.42648,0,0.65,1574732196960
270.5891,0,0.65,1574732197680
276.7882,0,0.65,1574732198340
268.74988,0,0.65,1574732199040
275.12415,0,0.65,1574732199690
277.4271,0,0.65,1574732200360
267.59366,0,0.65,1574732201000
256.26535,0,0.65,1574732201680
248.03345,0,0.65,1574732202310
249.94597,0,0.65,1574732202980
265.96756,0,0.65,1574732203600
254.72816,0,0.65,1574732204240
256.57767,0,0.65,1574732204870
270.03723,0,0.65,1574732205540
273.4087,0,0.65,1574732206170
226.98509,0,0.65,1574732206830
239.96216,0,0.65,1574732207470
237.35014,0,0.65,1574732208080
225.11974,0,0.65,1574732208680
230.87419,0,0.65,1574732209340
248.34813,0,0.65,1574732209960
248.90651,0,0.65,1574732210640
244.89375,0,0.65,1574732211260
245.23296,0,0.65,1574732211940
249.95784,0,0.65,1574732212570
244.57681,0,0.65,1574732213240
231.04823,0,0.65,1574732213910
227.91245,0,0.65,1574732214590
232.1292,0,0.65,1574732215310
289.1977,0,0.65,1574732215960
298.341,0,0.65,1574732216630
298.33148,0,0.65,1574732217250
298.33624,0,0.65,1574732217920
275.13776,0,0.65,1574732218570
292.2677,0,0.65,1574732219280
293.81235,0,0.65,1574732219900
294.8925,0,0.65,1574732220600
295.8707,0,0.65,1574732221250
293.9837,0,0.65,1574732221930
288.2775,0,0.65,1574732222590
290.87964,0,0.65,1574732223280
294.49182,0,0.65,1574732223920
288.54333,0,0.65,1574732224610
274.86365,0,0.65,1574732225180
272.70306,0,0.65,1574732225830
234.52165,0,0.65,1574732226410
278.0775,0,0.65,1574732227110
258.32043,0,0.65,1574732227720
256.7415,0,0.325,1574732228320
234.24202,0,0.65,1574732229010
246.17386,0,0.65,1574732229630
219.91742,0,0.65,1574732230290
219.43443,0,0.65,1574732230870
124.533325,0,0.65,1574732231560
200.91066,0,0.65,1574732232170
211.91982,0,0.65,1574732232830
209.4429,0,0.65,1574732233460
210.68135,0,0.65,1574732234080
190.15987,0,0.65,1574732234690
204.2097,0,0.65,1574732235370
209.07614,0,0.65,1574732236010
206.64291,0,0.65,1574732236650
192.12495,0,0.65,1574732237250
201.25377,0,0.65,1574732237910
198.66959,0,0.65,1574732238540
202.2712,0,0.65,1574732239190
200.04637,0,0.65,1574732239850
199.26291,0,0.65,1574732240520
198.93512,0,0.65,1574732241160
102.941734,0,0.65,1574732241800
105.766045,0,0.65,1574732242430
208.1998,0,0.65,1574732243090
182.9128,0,0.65,1574732243760
216.55692,0,0.65,1574732244400
201.43301,0,0.65,1574732245010
188.05801,0,0.65,1574732245670
193.56107,0,0.65,1574732246300
210.7082,0,0.65,1574732246980
210.97546,0,0.65,1574732247590
210.84184,0,0.65,1574732248210
219.3473,0,0.65,1574732248820
212.60898,0,0.65,1574732249500
134.9688,0,0.65,1574732250120
133.85904,0,0.65,1574732250770
219.94261,0,0.65,1574732251380
118.32132,0,0.65,1574732252040
195.20209,0,0.65,1574732252630
195.51135,0,0.65,1574732253270
188.78564,0,0.65,1574732253990
194.5309,0,0.65,1574732254620
195.86662,0,0.65,1574732255260
197.33995,0,0.65,1574732255890
205.32628,0,0.65,1574732256520
203.63713,0,0.65,1574732257150
193.56157,0,0.65,1574732257780
199.87628,0,0.65,1574732258400
208.81444,0,0.65,1574732259060
201.69139,0,0.65,1574732259680
197.91801,0,0.65,1574732260330
203.15439,0,0.65,1574732260990
207.23546,0,0.65,1574732261620
201.40016,0,0.65,1574732262310
199.82346,0,0.65,1574732262970
210.0303,0,0.65,1574732263660
213.58,0,0.65,1574732264340
205.58958,0,0.65,1574732265000
214.6064,0,0.65,1574732265720
210.09799,0,0.65,1574732266420
161.96446,0,0.65,1574732267090
201.78758,0,0.65,1574732267800
206.32582,0,0.65,1574732268640
184.66127,0,0.325,1574732269240
196.98668,0,0.325,1574732269870
95.287964,0,0.65,1574732270600
106.167534,0,0.65,1574732271240
45.17249,0,0.65,1574732271900
60.5409,0,0.65,1574732272590
67.947266,0,0.65,1574732273210
88.030334,0,0.65,1574732276000
121.07307,8,0.65,1574732276760
32.608753,8,0.65,1574732277530
47.220444,8,0.65,1574732278270
50.98945,8,0.65,1574732278930
54.388393,8,0.65,1574732279720
2.3837488,0,0.65,1574732280490
124.19339,0,0.325,1574732281190
217.9888,0,0.325,1574732282510
68.021286,0,0.325,1574732283790
85.596985,0,0.65,1574732284460
86.9288,0,0.65,1574732285140
74.69597,0,0.65,1574732285780
73.160324,0,0.65,1574732286490
88.72142,0,0.65,1574732287210
99.49869,0,0.65,1574732287940
94.68333,0,0.65,1574732288810
97.091,0,0.65,1574732289420
95.88717,0,0.65,1574732289890
89.26513,0,0.65,1574732290370
92.57615,0,0.65,1574732290940
108.787766,0,0.65,1574732291500
120.73702,0,0.65,1574732292120
118.739075,0,0.65,1574732292750
129.018,0,0.65,1574732293400
123.48858,0,0.65,1574732294090
116.22968,0,0.65,1574732294700
101.29598,0,0.65,1574732295390
130.5635,0,0.65,1574732296110
15.545066,0,0.65,1574732296730
224.1475,0,0.325,1574732297380
75.51328,0,0.325,1574732298110
68.81471,0,0.325,1574732298830
2.3450546,0,0.325,1574732299520
4.9844575,0,0.325,1574732300250
290.80743,0,0.65,1574732300880
25.232664,0,0.65,1574732301570
289.1562,0,0.65,1574732302320
13.452856,0,0.65,1574732303020
307.85547,0,0.65,1574732303680
7.0507555,0,0.65,1574732304290
289.331,0,0.65,1574732304960
296.35858,0,0.65,1574732305590
307.8459,0,0.65,1574732306460
301.3466,0,0.65,1574732307280
261.43967,0,0.65,1574732307890
298.1034,0,0.65,1574732308600
279.85547,0,0.65,1574732309270
282.2378,0,0.65,1574732309990
239.6641,0,0.65,1574732310660
264.7684,0,0.65,1574732311280
234.83313,0,0.65,1574732311940
220.42886,0,0.65,1574732314090
283.8675,0,0.65,1574732315450
31.330091,0,0.65,1574732316100
298.12103,0,0.65,1574732316770
294.55765,0,0.65,1574732319110
224.76848,0,0.65,1574732319880
249.01239,0,0.65,1574732320520
223.58202,0,0.65,1574732321130
208.80927,0,0.65,1574732321720
203.9947,0,0.65,1574732322380
187.46677,0,0.65,1574732322980
181.28008,0,0.65,1574732323620
192.45361,0,0.65,1574732324210
193.89322,0,0.65,1574732324840
182.5777,0,0.65,1574732325450
188.02528,0,0.65,1574732326070
191.08743,0,0.65,1574732326690
204.9916,0,0.65,1574732327340
212.538,0,0.65,1574732327980
208.7648,0,0.65,1574732328630
161.4886,0,0.65,1574732329240
206.88492,0,0.65,1574732329910
202.11256,0,0.65,1574732330510
191.56949,0,0.65,1574732331170
191.52629,0,0.65,1574732331790
155.19063,0,0.65,1574732332400
191.68604,0,0.65,1574732333020
162.28912,0,0.65,1574732333660
195.92055,0,0.65,1574732334280
179.10483,0,0.65,1574732334940
188.70825,0,0.65,1574732335600
183.90654,0,0.65,1574732336240
191.09872,0,0.65,1574732336890
161.91383,0,0.65,1574732337540
209.48515,0,0.65,1574732338170
185.6995,0,0.65,1574732338820
156.96867,0,0.65,1574732339400
193.06021,0,0.65,1574732340030
192.44722,0,0.65,1574732340640
202.13744,0,0.65,1574732341300
206.04105,0,0.65,1574732341940
206.41928,0,0.65,1574732342630
206.37733,0,0.65,1574732343280
159.05307,0,0.65,1574732343940
193.55722,0,0.65,1574732344570
176.30515,0,0.65,1574732345240
153.19177,0,0.65,1574732345880
156.14401,0,0.65,1574732346550
161.81549,0,0.65,1574732347170
207.02507,0,0.65,1574732347850
205.369,0,0.65,1574732348450
159.8399,0,0.65,1574732349100
156.64847,0,0.65,1574732349770
114.84117,0,0.65,1574732350420
135.74481,0,0.65,1574732351030
132.25252,0,0.65,1574732351680
158.58594,0,0.65,1574732352280
203.49173,0,0.65,1574732352970
201.17332,0,0.65,1574732353600
202.33252,0,0.65,1574732354270
206.18785,0,0.65,1574732354990
204.2602,0,0.65,1574732355690
203.46446,0,0.65,1574732356360
203.86232,0,0.65,1574732357040
157.95424,0,0.65,1574732357650
157.79681,0,0.65,1574732358350
213.72087,0,0.65,1574732358990
185.75885,0,0.65,1574732359700
198.23932,0,0.65,1574732360360
191.99908,0,0.65,1574732361010
209.86383,0,0.65,1574732361660
134.27512,0,0.65,1574732362320
162.01382,0,0.65,1574732363000
205.96967,0,0.65,1574732363640
203.45596,8,0.65,1574732364330
198.61632,8,0.65,1574732364980
209.22377,8,0.65,1574732365670
203.92004,8,0.65,1574732366320
195.22087,8,0.65,1574732367010
199.9067,8,0.65,1574732369710
183.61862,8,0.65,1574732370350
158.69739,8,0.65,1574732371070
203.13547,8,0.65,1574732371790
212.16368,8,0.65,1574732372480
133.08145,8,0.65,1574732375220
182.39824,8,0.65,1574732376000
215.02946,0,0.325,1574732376680
204.84796,0,0.65,1574732377320
188.03662,0,0.65,1574732378020
186.87364,0,0.65,1574732378690
189.41484,0,0.65,1574732379390
183.27406,0,0.65,1574732380480
186.34445,0,0.65,1574732381010
184.80925,0,0.65,1574732381530
184.32439,0,0.65,1574732382080
184.56682,0,0.65,1574732382610
129.01729,0,0.65,1574732383190
156.79205,0,0.65,1574732383800
134.63696,0,0.65,1574732384400
157.35356,0,0.65,1574732385020
262.21878,0,0.65,1574732385640
124.06028,0,0.65,1574732386210
127.72492,0,0.65,1574732386770
208.47452,0,0.65,1574732387350
183.3174,0,0.65,1574732388810
204.66608,0,0.325,1574732390260
216.00528,0,0.325,1574732390970
237.58932,0,0.65,1574732391610
257.18762,0,0.65,1574732392340
258.80536,0,0.65,1574732393040
253.57703,0,0.65,1574732393780
274.23593,0,0.65,1574732394480
289.058,0,0.65,1574732395140
307.99396,0,0.65,1574732395830
286.74542,0,0.65,1574732396500
290.56464,0,0.65,1574732397150
27.512762,0,0.65,1574732397810
311.385,0,0.65,1574732398490
311.00958,0,0.65,1574732399200
337.07413,0,0.65,1574732399820
324.04187,0,0.65,1574732400390
42.661377,0,0.65,1574732400960
36.70683,0,0.65,1574732401580
