floor,timeMillis
-1,1575247523826
-5,1575247541048
-4,1575247546630
7,1575247595642
-3,1575247600945
-5,1575247686148
-4,1575247693213
2,1575247726036
-3,1575247728570
-5,1575247797287
7,1575247803023
-4,1575247840839
-3,1575247845741
-5,1575247878738
-3,1575248003912
-5,1575248120896
7,1575248127072
-4,1575248262524
-3,1575248268368
-5,1575248351454
7,1575248356320
-4,1575248456034
-4,1575248484415
7,1575248748474
-3,1575248754547
-5,1575248835142
7,1575248926775
-3,1575248932979
-5,1575249071095
7,1575249078704
7,1575249188545
-3,1575249193916
-5,1575249274938
-3,1575249434531
-5,1575249465235
-4,1575249469730
2,1575249503314
-3,1575249505771
-5,1575249734023
2,1575249805225
-3,1575249809687
-5,1575249907386
-4,1575250082891
-3,1575250087995
-5,1575250117572
-4,1575250121519
2,1575250150751
-3,1575250153547
