timeMillis,timeNanos,value
1574385249666,1292269349722734,1024.0078
1574385249745,1292269429722734,1024.001
1574385249826,1292269509722734,1024.0117
1574385249905,1292269589722734,1024.0234
1574385249985,1292269669722734,1024.0068
1574385250065,1292269749722734,1024.0073
1574385250146,1292269829722734,1024.0151
1574385250225,1292269909722734,1024.0156
1574385250305,1292269989722734,1024.0107
1574385250385,1292270069722734,1024.0225
1574385250465,1292270149722734,1024.0083
1574385250545,1292270229722734,1024.0186
1574385250625,1292270309722734,1024.019
1574385250705,1292270389722734,1024.0103
1574385250796,1292270469722734,1024.0273
1574385250865,1292270549722734,1024.0483
1574385250946,1292270629722734,1024.0718
1574385251025,1292270709722734,1024.0664
1574385251106,1292270789722734,1024.044
1574385251185,1292270869722734,1024.0142
1574385251265,1292270949722734,1023.999
1574385251345,1292271029722734,1023.9883
1574385251425,1292271109722734,1024.0127
1574385251505,1292271189722734,1024.0269
1574385251585,1292271269722734,1024.0386
1574385251666,1292271349722734,1024.0308
1574385251746,1292271429722734,1024.0088
1574385251866,1292271509722734,1023.9907
1574385251909,1292271589722734,1023.9907
1574385251987,1292271669722734,1023.98193
1574385252066,1292271749722734,1023.99414
1574385252146,1292271829722734,1024.0024
1574385252226,1292271909722734,1024.019
1574385252309,1292271989722734,1024.0122
1574385252386,1292272069722734,1023.9824
1574385252466,1292272149722734,1023.9585
1574385252547,1292272229722734,1023.9551
1574385252627,1292272309722734,1023.95996
1574385252707,1292272389722734,1023.9785
1574385252797,1292272469722734,1023.99854
1574385252866,1292272549722734,1023.99854
1574385252946,1292272629722734,1023.9863
1574385253027,1292272709722734,1023.9619
1574385253106,1292272789722734,1023.95557
1574385253186,1292272869722734,1023.96045
1574385253265,1292272949722734,1023.95264
1574385253348,1292273029722734,1023.9468
1574385253426,1292273109722734,1023.97314
1574385253508,1292273189722734,1023.97314
1574385253586,1292273269722734,1023.9707
1574385253667,1292273349722734,1023.9492
1574385253746,1292273429722734,1023.9546
