calcAzimuth,gesture,stepLength,timeMillis
43.66643,0,0.65,1574352850660
290.9795,0,0.65,1574352851630
261.62146,0,0.65,1574352852230
258.2968,0,0.65,1574352852880
255.22035,0,0.65,1574352853600
245.57764,0,0.65,1574352854310
278.41318,0,0.65,1574352854900
289.515,0,0.65,1574352855470
282.44095,0,0.65,1574352856160
284.79413,0,0.65,1574352856740
284.17303,0,0.65,1574352857400
284.48358,0,0.65,1574352857980
284.3283,0,0.65,1574352858600
284.40594,0,0.65,1574352859200
269.70474,0,0.65,1574352859770
276.76096,0,0.65,1574352860360
273.23285,0,0.65,1574352861040
274.9969,0,0.65,1574352861660
264.33987,0,0.65,1574352862310
269.6684,0,0.65,1574352862890
308.83313,0,0.65,1574352863540
301.42557,0,0.65,1574352864110
281.4125,0,0.65,1574352864740
288.4368,0,0.65,1574352865350
284.92465,0,0.65,1574352865960
286.68073,0,0.65,1574352866560
285.8027,0,0.65,1574352867150
241.27827,0,0.65,1574352867820
212.76224,0,0.65,1574352868540
20.785957,0,0.65,1574352869250
118.538246,0,0.65,1574352869870
37.55406,0,0.65,1574352870510
301.4845,0,0.65,1574352871160
285.6445,0,0.65,1574352871770
266.76263,0,0.65,1574352872440
282.24762,0,0.65,1574352873060
283.18466,0,0.65,1574352875040
278.9959,0,0.65,1574352875660
282.13736,0,0.65,1574352876320
280.6295,0,0.65,1574352876930
270.04034,0,0.65,1574352877570
260.83435,0,0.65,1574352878190
270.30084,0,0.65,1574352878880
265.5676,0,0.65,1574352879440
220.1096,0,0.65,1574352880110
191.10587,0,0.65,1574352880730
288.47763,0,0.65,1574352881420
13.487284,0,0.65,1574352882100
286.24878,0,0.65,1574352882690
30.114838,0,0.325,1574352883970
89.14698,0,0.325,1574352884530
21.787876,0,0.65,1574352885160
89.26945,0,0.65,1574352885700
7.068963,0,0.65,1574352886320
92.65927,0,0.65,1574352886860
72.07492,0,0.65,1574352887470
61.595184,0,0.65,1574352888080
61.303074,0,0.65,1574352888680
104.76609,0,0.65,1574352889290
83.846146,0,0.65,1574352889900
88.846214,0,0.65,1574352890490
91.18172,0,0.65,1574352891120
90.01397,0,0.65,1574352891670
96.27074,0,0.65,1574352892260
93.14235,0,0.65,1574352892860
203.675,0,0.65,1574352893570
30.595114,0,0.65,1574352895290
94.2601,0,0.65,1574352895880
20.152609,0,0.65,1574352896490
88.43492,0,0.65,1574352897080
72.052185,0,0.65,1574352897710
129.18225,0,0.65,1574352898320
100.61722,0,0.65,1574352900520
190.85185,0,0.65,1574352901110
20.73621,0,0.65,1574352901670
103.862854,0,0.65,1574352902260
40.470078,0,0.65,1574352902870
64.20882,0,0.65,1574352903440
74.637115,0,0.65,1574352904040
131.99388,0,0.65,1574352904600
61.05103,0,0.65,1574352905200
82.696304,0,0.65,1574352905750
288.8614,0,0.65,1574352906320
50.628403,0,0.65,1574352906950
30.439276,0,0.65,1574352907530
23.334421,0,0.65,1574352908170
26.886848,0,0.65,1574352908730
25.110634,0,0.65,1574352909240
25.998741,0,0.65,1574352909870
25.554688,0,0.65,1574352910410
25.776714,0,0.65,1574352911010
25.6657,0,0.65,1574352911570
25.721209,0,0.65,1574352912190
42.342213,0,0.65,1574352912720
34.03171,0,0.65,1574352913340
38.186962,0,0.65,1574352913850
36.109337,0,0.65,1574352914440
7.012666,0,0.65,1574352914980
17.097998,0,0.65,1574352915580
312.6961,0,0.65,1574352916140
24.835188,0,0.65,1574352916780
52.036037,0,0.65,1574352917270
6.3131876,0,0.65,1574352917920
339.0549,0,0.65,1574352918410
44.756687,0,0.65,1574352919060
305.27118,0,0.65,1574352919590
19.12105,0,0.65,1574352920220
276.58435,0,0.65,1574352920720
43.227024,0,0.65,1574352921360
37.20053,0,0.65,1574352921910
37.15804,0,0.65,1574352922530
37.179283,0,0.65,1574352923100
37.168663,0,0.65,1574352923680
32.50498,0,0.65,1574352924230
34.83682,0,0.65,1574352924830
33.6709,0,0.65,1574352925380
