floor,timeMillis
-1,1574385249558
-5,1574385292404
2,1574385297110
7,1574385333303
8,1574385346916
-5,1574385390562
2,1574385394337
-4,1574385429546
-3,1574385432727
-5,1574385458658
-4,1574385462062
-4,1574385594852
-3,1574385618090
-5,1574385641243
-4,1574385656904
-4,1574385667277
-3,1574385697264
-5,1574385715841
7,1574385863209
8,1574385879875
6,1574385916437
7,1574385936837
2,1574385957901
-3,1574385963407
6,1574386011729
2,1574386025014
-4,1574386094068
-3,1574386097376
-5,1574386132332
-4,1574386135773
-4,1574386185032
-3,1574386188170
-5,1574386228784
2,1574386240778
2,1574386296386
-3,1574386302390
6,1574386311113
2,1574386323928
2,1574386347608
-3,1574386351625
6,1574386396452
2,1574386409274
-4,1574386533247
-4,1574386540509
-3,1574386554145
-5,1574386586652
7,1574386733023
8,1574386746293
-5,1574386762254
2,1574386767111
-4,1574386845371
-3,1574386848868
6,1574386886843
2,1574386899011
-4,1574387022539
-4,1574387058462
-3,1574387085489
-5,1574387103730
-3,1574387251272
-5,1574387277080
-3,1574387309449
-5,1574387332743
2,1574387561739
-3,1574387566663
6,1574387594794
2,1574387606882
2,1574387638407
-3,1574387642496
-5,1574387703674
-4,1574387706797
-4,1574387903857
-3,1574387925275
-5,1574387943422
-3,1574387985348
-5,1574388006321
-4,1574388102739
-3,1574388106815
-5,1574388174032
2,1574388177388
7,1574388199117
2,1574388216693
2,1574388236342
-3,1574388240769
-5,1574388258958
2,1574388262927
7,1574388283562
8,1574388296220
-5,1574388315427
2,1574388320450
2,1574388368419
-3,1574388372629
6,1574388413518
2,1574388425739
2,1574388458689
-3,1574388463516
-5,1574388496187
-4,1574388500095
-3,1574388588377
-5,1574388607125
-4,1574388622623
-4,1574388634040
