,bssid,frequency,rss,ssid,timeMillis,timestamp
0,d8c7c8def6b2,5805,-94,Welcome_1st_KAIST,1573436370488,4702462139140
1,d8c7c8def6b1,5805,-94,Welcome_KAIST,1573436370488,4702462139137
2,d8c7c8df22b2,5805,-87,Welcome_1st_KAIST,1573436370488,4702462139134
3,d8c7c8df22b1,5805,-86,eduroam,1573436370488,4702462139131
4,d8c7c8df22b0,5805,-86,Welcome_KAIST,1573436370488,4702462139126
5,d8c7c8df1682,2472,-83,Welcome_1st_KAIST,1573436370488,4702462139122
6,d8c7c8df1681,2472,-83,Welcome_KAIST,1573436370488,4702462139119
7,d8c7c8df1680,2472,-83,eduroam,1573436370488,4702462139117
8,6cf37ff1ade2,2472,-47,Welcome_1st_KAIST,1573436370488,4702462139114
9,6cf37ff1ade1,2472,-47,eduroam,1573436370488,4702462139111
10,6cf37ff1ade0,2472,-46,Welcome_KAIST,1573436370488,4702462139109
11,aa2bb9e47e40,2437,-60,AndroidHotspote4_7e_40,1573436370488,4702462139106
12,d8c7c8df1692,5240,-80,Welcome_1st_KAIST,1573436370488,4702462139104
13,d8c7c8df1691,5240,-79,Welcome_KAIST,1573436370488,4702462139101
14,d8c7c8df1690,5240,-80,eduroam,1573436370488,4702462139098
15,6cf37ff1adf2,5200,-44,Welcome_1st_KAIST,1573436370488,4702462139094
16,6cf37ff1adf1,5200,-43,eduroam,1573436370488,4702462139092
17,6cf37ff1adf0,5200,-44,Welcome_KAIST,1573436370488,4702462139086
18,d8c7c8def6a1,2412,-87,Welcome_KAIST,1573436370488,4702462139068
19,d8c7c8df1682,2472,-86,Welcome_1st_KAIST,1573436373288,4702464918775
20,d8c7c8def6b1,5805,-94,Welcome_KAIST,1573436373288,4702464918772
21,d8c7c8def6b0,5805,-93,eduroam,1573436373288,4702464918768
22,d8c7c8df22b2,5805,-91,Welcome_1st_KAIST,1573436373288,4702464918765
23,d8c7c8df22b1,5805,-93,eduroam,1573436373288,4702464918761
24,d8c7c8df22b0,5805,-92,Welcome_KAIST,1573436373288,4702464918757
25,909f33654b30,5745,-79,kse1222-5G,1573436373288,4702464918753
26,d8c7c8df1681,2472,-87,Welcome_KAIST,1573436373288,4702464918748
27,d8c7c8df1680,2472,-86,eduroam,1573436373288,4702464918745
28,6cf37ff1ade2,2472,-46,Welcome_1st_KAIST,1573436373288,4702464918741
29,6cf37ff1ade1,2472,-47,eduroam,1573436373288,4702464918738
30,6cf37ff1ade0,2472,-46,Welcome_KAIST,1573436373288,4702464918734
31,aa2bb9e47e40,2437,-52,AndroidHotspote4_7e_40,1573436373288,4702464918731
32,d8c7c8df1692,5240,-85,Welcome_1st_KAIST,1573436373288,4702464918728
33,d8c7c8df1691,5240,-82,Welcome_KAIST,1573436373288,4702464918724
34,d8c7c8df1690,5240,-79,eduroam,1573436373288,4702464918720
35,6cf37ff1adf2,5200,-42,Welcome_1st_KAIST,1573436373288,4702464918716
36,6cf37ff1adf1,5200,-44,eduroam,1573436373288,4702464918712
37,6cf37ff1adf0,5200,-44,Welcome_KAIST,1573436373288,4702464918708
38,d8c7c8def6a1,2412,-86,Welcome_KAIST,1573436373288,4702464918705
39,d8c7c8def6a0,2412,-85,eduroam,1573436373288,4702464918701
40,909f33664b30,2412,-86,kse1222,1573436373288,4702464918693
41,d8c7c8def6b2,5805,-94,Welcome_1st_KAIST,1573436373288,4702464918679
42,d8c7c8df22b2,5805,-87,Welcome_1st_KAIST,1573436376082,4702467734530
43,d8c7c8df22b1,5805,-91,eduroam,1573436376082,4702467734526
44,d8c7c8df22b0,5805,-91,Welcome_KAIST,1573436376082,4702467734522
45,d8c7c8df1682,2472,-84,Welcome_1st_KAIST,1573436376082,4702467734519
46,d8c7c8df1681,2472,-86,Welcome_KAIST,1573436376082,4702467734515
47,d8c7c8df1680,2472,-84,eduroam,1573436376082,4702467734512
48,6cf37ff1ade2,2472,-46,Welcome_1st_KAIST,1573436376082,4702467734509
49,6cf37ff1ade1,2472,-46,eduroam,1573436376082,4702467734505
50,6cf37ff1ade0,2472,-46,Welcome_KAIST,1573436376082,4702467734501
51,aa2bb9e47e40,2437,-55,AndroidHotspote4_7e_40,1573436376082,4702467734498
52,d8c7c8df1692,5240,-84,Welcome_1st_KAIST,1573436376082,4702467734495
53,d8c7c8df1690,5240,-84,eduroam,1573436376082,4702467734492
54,6cf37ff1adf2,5200,-44,Welcome_1st_KAIST,1573436376082,4702467734488
55,6cf37ff1adf1,5200,-44,eduroam,1573436376082,4702467734485
56,6cf37ff1adf0,5200,-47,Welcome_KAIST,1573436376082,4702467734481
57,d8c7c8def6b1,5805,-94,Welcome_KAIST,1573436376082,4702467734472
58,d8c7c8def6b0,5805,-93,eduroam,1573436376082,4702467734467
59,909f33654b30,5745,-79,kse1222-5G,1573436376082,4702467734460
60,d8c7c8df1691,5240,-82,Welcome_KAIST,1573436376082,4702467734453
61,d8c7c8def6a1,2412,-86,Welcome_KAIST,1573436376082,4702467734447
62,d8c7c8def6a0,2412,-85,eduroam,1573436376082,4702467734442
63,909f33664b30,2412,-86,kse1222,1573436376082,4702467734425
64,d8c7c8def6b2,5805,-95,Welcome_1st_KAIST,1573436378880,4702470529701
65,d8c7c8def6b1,5805,-94,Welcome_KAIST,1573436378880,4702470529698
66,d8c7c8def6b0,5805,-99,eduroam,1573436378880,4702470529695
67,d8c7c8df2371,5785,-92,Welcome_KAIST,1573436378880,4702470529692
68,d8c7c8df2372,5785,-93,Welcome_1st_KAIST,1573436378880,4702470529688
69,d8c7c8df2370,5785,-91,eduroam,1573436378880,4702470529683
70,d8c7c8df1680,2472,-86,eduroam,1573436378880,4702470529681
71,d8c7c8df1682,2472,-87,Welcome_1st_KAIST,1573436378880,4702470529678
72,d8c7c8df1681,2472,-88,Welcome_KAIST,1573436378880,4702470529674
73,6cf37ff1ade2,2472,-50,Welcome_1st_KAIST,1573436378880,4702470529671
74,6cf37ff1ade1,2472,-51,eduroam,1573436378880,4702470529669
75,6cf37ff1ade0,2472,-54,Welcome_KAIST,1573436378880,4702470529666
76,aa2bb9e47e40,2437,-51,AndroidHotspote4_7e_40,1573436378880,4702470529664
77,d8c7c8df1692,5240,-79,Welcome_1st_KAIST,1573436378880,4702470529661
78,d8c7c8df1691,5240,-82,Welcome_KAIST,1573436378880,4702470529658
79,d8c7c8df1690,5240,-81,eduroam,1573436378880,4702470529656
80,6cf37ff1adf2,5200,-44,Welcome_1st_KAIST,1573436378880,4702470529652
81,6cf37ff1adf1,5200,-44,eduroam,1573436378880,4702470529650
82,6cf37ff1adf0,5200,-46,Welcome_KAIST,1573436378880,4702470529646
83,909f33664b30,2412,-82,kse1222,1573436378880,4702470529642
84,d8c7c8df22b2,5805,-87,Welcome_1st_KAIST,1573436378880,4702470529640
85,d8c7c8df22b1,5805,-91,eduroam,1573436378880,4702470529637
86,d8c7c8df22b0,5805,-91,Welcome_KAIST,1573436378880,4702470529621
87,d8c7c8df1682,2472,-86,Welcome_1st_KAIST,1573436381703,4702473328359
88,d8c7c8df1681,2472,-87,Welcome_KAIST,1573436381703,4702473328355
89,d8c7c8df1680,2472,-87,eduroam,1573436381703,4702473328351
90,d8c7c8df22b1,5805,-88,eduroam,1573436381703,4702473328348
91,909f33654b30,5745,-83,kse1222-5G,1573436381703,4702473328343
92,6cf37ff1ade2,2472,-51,Welcome_1st_KAIST,1573436381703,4702473328338
93,6cf37ff1ade1,2472,-50,eduroam,1573436381703,4702473328334
94,6cf37ff1ade0,2472,-51,Welcome_KAIST,1573436381703,4702473328331
95,24dec6e33381,2452,-97,eduroam,1573436381703,4702473328326
96,aa2bb9e47e40,2437,-54,AndroidHotspote4_7e_40,1573436381703,4702473328322
97,d8c7c8df1692,5240,-79,Welcome_1st_KAIST,1573436381703,4702473328319
98,d8c7c8df1691,5240,-79,Welcome_KAIST,1573436381703,4702473328314
99,d8c7c8df1690,5240,-81,eduroam,1573436381703,4702473328311
100,6cf37ff1adf2,5200,-45,Welcome_1st_KAIST,1573436381703,4702473328305
101,6cf37ff1adf1,5200,-45,eduroam,1573436381703,4702473328297
102,6cf37ff1adf0,5200,-46,Welcome_KAIST,1573436381703,4702473328292
103,d8c7c8def6a0,2412,-92,eduroam,1573436381703,4702473328287
104,d8c7c8def6b2,5805,-95,Welcome_1st_KAIST,1573436381703,4702473328282
105,d8c7c8def6b1,5805,-94,Welcome_KAIST,1573436381703,4702473328276
106,d8c7c8def6b0,5805,-99,eduroam,1573436381703,4702473328270
107,d8c7c8df2371,5785,-92,Welcome_KAIST,1573436381703,4702473328265
108,d8c7c8df2372,5785,-93,Welcome_1st_KAIST,1573436381703,4702473328260
109,d8c7c8df2370,5785,-91,eduroam,1573436381703,4702473328253
110,909f33664b30,2412,-82,kse1222,1573436381703,4702473328232
111,d8c7c8df22b0,5805,-91,Welcome_KAIST,1573436384536,4702476158209
112,d8c7c8df22b2,5805,-91,Welcome_1st_KAIST,1573436384536,4702476158205
113,d8c7c8df22b1,5805,-91,eduroam,1573436384536,4702476158200
114,d8c7c8df2372,5785,-93,Welcome_1st_KAIST,1573436384536,4702476158196
115,d8c7c8df2370,5785,-94,eduroam,1573436384536,4702476158187
116,d8c7c8df1681,2472,-87,Welcome_KAIST,1573436384536,4702476158182
117,d8c7c8df1682,2472,-88,Welcome_1st_KAIST,1573436384536,4702476158179
118,d8c7c8df1680,2472,-87,eduroam,1573436384536,4702476158175
119,6cf37ff1ade2,2472,-47,Welcome_1st_KAIST,1573436384536,4702476158170
120,6cf37ff1ade1,2472,-47,eduroam,1573436384536,4702476158166
121,6cf37ff1ade0,2472,-47,Welcome_KAIST,1573436384536,4702476158162
122,88366cd3aa00,2457,-95,3202,1573436384536,4702476158158
123,aa2bb9e47e40,2437,-53,AndroidHotspote4_7e_40,1573436384536,4702476158155
124,d8c7c8df1692,5240,-79,Welcome_1st_KAIST,1573436384536,4702476158151
125,d8c7c8df1691,5240,-78,Welcome_KAIST,1573436384536,4702476158147
126,d8c7c8df1690,5240,-81,eduroam,1573436384536,4702476158143
127,6cf37ff1adf2,5200,-42,Welcome_1st_KAIST,1573436384536,4702476158138
128,d8c7c8def6a2,2412,-91,Welcome_1st_KAIST,1573436384536,4702476158133
129,6cf37ff1adf1,5200,-43,eduroam,1573436384536,4702476158130
130,6cf37ff1adf0,5200,-43,Welcome_KAIST,1573436384536,4702476158124
131,d8c7c8def6a1,2412,-86,Welcome_KAIST,1573436384536,4702476158121
132,909f33654b30,5745,-83,kse1222-5G,1573436384536,4702476158112
133,24dec6e33381,2452,-97,eduroam,1573436384536,4702476158099
134,d8c7c8def6a0,2412,-92,eduroam,1573436384536,4702476158077
135,6cf37ff1ade2,2472,-51,Welcome_1st_KAIST,1573436387323,4702478967090
136,6cf37ff1ade1,2472,-51,eduroam,1573436387323,4702478967087
137,6cf37ff1ade0,2472,-50,Welcome_KAIST,1573436387323,4702478967085
138,d8c7c8df22b2,5805,-91,Welcome_1st_KAIST,1573436387323,4702478967082
139,d8c7c8df22b0,5805,-88,Welcome_KAIST,1573436387323,4702478967075
140,909f33654b30,5745,-82,kse1222-5G,1573436387323,4702478967071
141,d8c7c8df1682,2472,-86,Welcome_1st_KAIST,1573436387323,4702478967069
142,d8c7c8df1680,2472,-87,eduroam,1573436387323,4702478967067
143,6cf37ff1adf0,5200,-46,Welcome_KAIST,1573436387323,4702478967063
144,aa2bb9e47e40,2437,-53,AndroidHotspote4_7e_40,1573436387323,4702478967061
145,d8c7c8df1692,5240,-78,Welcome_1st_KAIST,1573436387323,4702478967059
146,d8c7c8df1691,5240,-77,Welcome_KAIST,1573436387323,4702478967056
147,d8c7c8df1690,5240,-76,eduroam,1573436387323,4702478967054
148,d8c7c8def6a2,2412,-85,Welcome_1st_KAIST,1573436387323,4702478967051
149,d8c7c8df22b1,5805,-91,eduroam,1573436387323,4702478967049
150,d8c7c8df2372,5785,-93,Welcome_1st_KAIST,1573436387323,4702478967045
151,d8c7c8df2370,5785,-94,eduroam,1573436387323,4702478967042
152,d8c7c8df1681,2472,-87,Welcome_KAIST,1573436387323,4702478967035
153,88366cd3aa00,2457,-95,3202,1573436387323,4702478967032
154,6cf37ff1adf2,5200,-42,Welcome_1st_KAIST,1573436387323,4702478967029
155,6cf37ff1adf1,5200,-43,eduroam,1573436387323,4702478967026
156,d8c7c8def6a1,2412,-86,Welcome_KAIST,1573436387323,4702478967011
157,d8c7c8df22b2,5805,-87,Welcome_1st_KAIST,1573436390135,4702481759399
158,d8c7c8df22b1,5805,-91,eduroam,1573436390135,4702481759396
159,d8c7c8df22b0,5805,-88,Welcome_KAIST,1573436390135,4702481759391
160,d8c7c8df1682,2472,-88,Welcome_1st_KAIST,1573436390135,4702481759387
161,d8c7c8df1681,2472,-88,Welcome_KAIST,1573436390135,4702481759383
162,6cf37ff1ade2,2472,-50,Welcome_1st_KAIST,1573436390135,4702481759379
163,6cf37ff1ade1,2472,-52,eduroam,1573436390135,4702481759374
164,d8c7c8df1680,2472,-92,eduroam,1573436390135,4702481759371
165,6cf37ff1ade0,2472,-51,Welcome_KAIST,1573436390135,4702481759367
166,aa2bb9e47e40,2437,-56,AndroidHotspote4_7e_40,1573436390135,4702481759363
167,d8c7c8df1692,5240,-77,Welcome_1st_KAIST,1573436390135,4702481759359
168,d8c7c8df1691,5240,-77,Welcome_KAIST,1573436390135,4702481759355
169,d8c7c8df1690,5240,-77,eduroam,1573436390135,4702481759350
170,6cf37ff1adf2,5200,-47,Welcome_1st_KAIST,1573436390135,4702481759346
171,6cf37ff1adf1,5200,-46,eduroam,1573436390135,4702481759342
172,6cf37ff1adf0,5200,-44,Welcome_KAIST,1573436390135,4702481759336
173,909f33654b30,5745,-82,kse1222-5G,1573436390135,4702481759329
174,d8c7c8def6a2,2412,-85,Welcome_1st_KAIST,1573436390135,4702481759308
175,d8c7c8df1682,2472,-91,Welcome_1st_KAIST,1573436392973,4702484586810
176,6cf37ff1ade2,2472,-48,Welcome_1st_KAIST,1573436392973,4702484586807
177,6cf37ff1ade1,2472,-51,eduroam,1573436392973,4702484586803
178,6cf37ff1ade0,2472,-54,Welcome_KAIST,1573436392973,4702484586798
179,d8c7c8df22b2,5805,-88,Welcome_1st_KAIST,1573436392973,4702484586794
