timeMillis,timeNanos,value
1576422113460,2074167440623,1022.95166
1576422113540,2074247440623,1022.9219
1576422113620,2074327440623,1022.91455
1576422113700,2074407442186,1022.9248
1576422113780,2074487440623,1022.9326
1576422113860,2074567440623,1022.9624
1576422113940,2074647442186,1022.98975
1576422114020,2074727440623,1022.9668
1576422114100,2074807442186,1022.95264
1576422114180,2074887440623,1022.92676
1576422114260,2074967440623,1022.9287
1576422114340,2075047440623,1022.9502
1576422114420,2075127440623,1022.9712
1576422114500,2075207440623,1022.96826
1576422114580,2075287440623,1022.9487
1576422114660,2075367440623,1022.93164
1576422114740,2075447440623,1022.9292
1576422114820,2075527440623,1022.9595
1576422114900,2075607440623,1022.9824
1576422114980,2075687442186,1022.98584
1576422115061,2075767440623,1022.979
1576422115140,2075847440623,1022.9492
1576422115229,2075927442186,1022.91895
1576422115302,2076007440623,1022.88916
1576422115380,2076087440623,1022.8906
1576422115460,2076167440623,1022.9155
1576422115540,2076247440623,1022.9365
1576422115631,2076327440623,1022.9292
1576422115700,2076407442186,1022.93506
1576422115783,2076487442186,1022.9375
1576422115860,2076567442186,1022.9253
1576422115940,2076647440623,1022.9248
1576422116020,2076727440623,1022.9375
1576422116100,2076807442186,1022.9575
1576422116180,2076887440623,1022.9702
1576422116260,2076967440623,1022.9546
1576422116340,2077047440623,1022.93994
1576422116420,2077127440623,1022.9336
1576422116500,2077207440623,1022.9033
1576422116581,2077287440623,1022.91113
1576422116660,2077367440623,1022.9136
1576422116740,2077447440623,1022.9175
1576422116820,2077527440623,1022.9248
1576422116900,2077607440623,1022.9321
1576422116980,2077687442186,1022.9341
1576422117060,2077767442186,1022.9219
1576422117140,2077847440623,1022.9214
1576422117220,2077927440623,1022.89453
1576422117300,2078007440623,1022.9053
1576422117380,2078087440623,1022.9121
1576422117461,2078167440623,1022.916
1576422117540,2078247440623,1022.9292
1576422117652,2078327442186,1022.92773
1576422117700,2078407442186,1022.92725
1576422117794,2078487440623,1022.92236
1576422117861,2078567442186,1022.9038
1576422117940,2078647440623,1022.90576
1576422118020,2078727440623,1022.9038
1576422118100,2078807440623,1022.92334
1576422118180,2078887440623,1022.93945
1576422118260,2078967440623,1022.93994
1576422118340,2079047440623,1022.9346
1576422118420,2079127440623,1022.9214
1576422118500,2079207440623,1022.9053
1576422118580,2079287440623,1022.91895
1576422118660,2079367440623,1022.93555
1576422118740,2079447440623,1022.9424
1576422118820,2079527440623,1022.95166
1576422118900,2079607440623,1022.9385
1576422118980,2079687442186,1022.91797
1576422119062,2079767442186,1022.93066
1576422119142,2079847440623,1022.9248
1576422119220,2079927440623,1022.9199
1576422119300,2080007440623,1022.92725
1576422119380,2080087440623,1022.9536
1576422119460,2080167440623,1022.9536
1576422119540,2080247440623,1022.9326
1576422119647,2080327440623,1022.9214
1576422119700,2080407440623,1022.916
1576422119781,2080487442186,1022.92334
1576422119861,2080567442186,1022.9326
1576422119941,2080647440623,1022.9497
1576422120020,2080727442186,1022.9468
1576422120100,2080807440623,1022.9331
1576422120180,2080887440623,1022.9414
1576422120260,2080967440623,1022.92676
1576422120340,2081047440623,1022.9033
1576422120421,2081127440623,1022.9116
1576422120500,2081207440623,1022.9341
1576422120581,2081287440623,1022.9326
1576422120661,2081367440623,1022.9326
1576422120744,2081447440623,1022.937
1576422120822,2081527440623,1022.92773
1576422120901,2081607440623,1022.9258
1576422120980,2081687442186,1022.9326
1576422121060,2081767440623,1022.9502
1576422121140,2081847440623,1022.96436
1576422121220,2081927440623,1022.9746
1576422121300,2082007440623,1022.9492
1576422121380,2082087440623,1022.93994
1576422121460,2082167440623,1022.9165
1576422121540,2082247440623,1022.9126
1576422121643,2082327442186,1022.9131
1576422121700,2082407442186,1022.9336
1576422121782,2082487440623,1022.9551
1576422121862,2082567440623,1022.9458
1576422121940,2082647440623,1022.9346
1576422122021,2082727440623,1022.91504
1576422122100,2082807442186,1022.9121
1576422122180,2082887440623,1022.916
1576422122260,2082967440623,1022.9282
1576422122340,2083047440623,1022.9492
1576422122421,2083127440623,1022.94775
1576422122500,2083207440623,1022.93115
1576422122580,2083287440623,1022.9263
1576422122660,2083367440623,1022.9209
1576422122740,2083447440623,1022.91406
1576422122820,2083527442186,1022.9209
1576422122911,2083607442186,1022.93506
1576422122980,2083687440623,1022.9585
1576422123060,2083767442186,1022.97314
1576422123140,2083847440623,1022.9663
1576422123220,2083927440623,1022.93604
1576422123300,2084007440623,1022.938
1576422123380,2084087440623,1022.93945
1576422123460,2084167440623,1022.9614
1576422123540,2084247440623,1022.9663
1576422123647,2084327440623,1022.9966
1576422123700,2084407442186,1022.9966
1576422123782,2084487440623,1022.9663
1576422123860,2084567440623,1022.93896
1576422123940,2084647442186,1022.9087
1576422124020,2084727440623,1022.8994
1576422124101,2084807442186,1022.9297
1576422124180,2084887440623,1022.9595
1576422124260,2084967440623,1022.98584
1576422124341,2085047440623,1022.95557
1576422124420,2085127440623,1022.9258
1576422124500,2085207440623,1022.9136
1576422124580,2085287440623,1022.93506
1576422124660,2085367440623,1022.9424
1576422124740,2085447440623,1022.9619
1576422124820,2085527440623,1022.9917
1576422124901,2085607440623,1022.98096
1576422124980,2085687440623,1022.9507
1576422125060,2085767442186,1022.9209
1576422125141,2085847440623,1022.8906
1576422125220,2085927440623,1022.90674
1576422125300,2086007440623,1022.937
1576422125380,2086087440623,1022.96533
1576422125460,2086167440623,1022.958
1576422125541,2086247440623,1022.9282
1576422125620,2086327440623,1022.90186
1576422125700,2086407442186,1022.9238
1576422125780,2086487440623,1022.95215
1576422125860,2086567440623,1022.95654
1576422125940,2086647440623,1022.9678
1576422126020,2086727440623,1022.9536
1576422126100,2086807440623,1022.96533
1576422126181,2086887440623,1022.93896
1576422126261,2086967440623,1022.9219
1576422126340,2087047440623,1022.9121
1576422126420,2087127440623,1022.9214
1576422126501,2087207440623,1022.95166
1576422126580,2087287440623,1022.97217
1576422126660,2087367442186,1022.95264
1576422126756,2087447442186,1022.94385
1576422126821,2087527442186,1022.9165
1576422126900,2087607440623,1022.91113
1576422126980,2087687440623,1022.9409
1576422127060,2087767440623,1022.9624
1576422127140,2087847440623,1022.9663
1576422127220,2087927440623,1022.9624
1576422127300,2088007440623,1022.9453
1576422127380,2088087440623,1022.92676
1576422127460,2088167440623,1022.92725
1576422127540,2088247440623,1022.91113
1576422127640,2088327440623,1022.91797
1576422127700,2088407440623,1022.94775
1576422127780,2088487442186,1022.978
1576422127861,2088567440623,1022.97363
1576422127940,2088647440623,1022.94336
1576422128020,2088727440623,1022.9136
1576422128100,2088807440623,1022.8994
1576422128180,2088887440623,1022.9243
1576422128260,2088967440623,1022.9409
1576422128340,2089047440623,1022.9707
1576422128420,2089127440623,1022.9824
1576422128500,2089207440623,1022.95215
1576422128581,2089287440623,1022.92236
1576422128661,2089367442186,1022.92676
1576422128740,2089447440623,1022.9282
1576422128820,2089527442186,1022.9385
1576422128900,2089607440623,1022.9531
1576422128980,2089687440623,1022.95605
1576422129061,2089767442186,1022.9497
1576422129140,2089847440623,1022.9287
1576422129220,2089927440623,1022.8989
1576422129300,2090007440623,1022.896
1576422129380,2090087440623,1022.9204
1576422129460,2090167440623,1022.93506
1576422129540,2090247440623,1022.9507
1576422129621,2090327440623,1022.9551
1576422129700,2090407442186,1022.9302
1576422129782,2090487440623,1022.9004
1576422129861,2090567442186,1022.9038
1576422129940,2090647440623,1022.91846
1576422130020,2090727440623,1022.937
1576422130100,2090807440623,1022.9448
1576422130180,2090887440623,1022.95557
1576422130261,2090967440623,1022.95557
1576422130340,2091047440623,1022.9253
1576422130420,2091127440623,1022.8955
1576422130500,2091207440623,1022.895
1576422130619,2091287442186,1022.9219
1576422130660,2091367442186,1022.917
1576422130740,2091447440623,1022.9458
1576422130820,2091527440623,1022.9707
1576422130900,2091607440623,1022.9707
1576422130980,2091687442186,1022.9404
1576422131061,2091767442186,1022.91064
1576422131140,2091847440623,1022.9033
1576422131220,2091927440623,1022.91406
1576422131301,2092007440623,1022.9082
1576422131380,2092087440623,1022.93506
1576422131460,2092167440623,1022.96045
1576422131540,2092247440623,1022.94434
1576422131620,2092327440623,1022.91455
1576422131700,2092407440623,1022.8862
1576422131782,2092487440623,1022.8618
1576422131861,2092567440623,1022.8594
1576422131940,2092647440623,1022.88525
1576422132020,2092727440623,1022.90576
1576422132101,2092807442186,1022.90674
1576422132180,2092887440623,1022.9038
1576422132261,2092967440623,1022.8843
1576422132340,2093047440623,1022.8594
1576422132421,2093127440623,1022.8457
1576422132500,2093207440623,1022.83936
1576422132580,2093287440623,1022.8364
1576422132660,2093367440623,1022.85547
1576422132740,2093447440623,1022.88525
1576422132820,2093527440623,1022.9087
