timeMillis,timeNanos,x,y,z
1576422909169,2869862980623,-0.9840935,4.722371,8.781826
1576422909178,2869872980623,-0.92196876,4.7168646,8.730859
1576422909180,2869882982186,-0.85880977,4.671844,8.923946
1576422909189,2869892980623,-0.7455831,4.599003,9.25246
1576422909199,2869902980623,-0.69081336,4.554624,8.247374
1576422909209,2869912982186,-0.58858097,4.4494133,9.713496
1576422909220,2869922980623,-0.48764142,4.3655205,9.878026
1576422909230,2869932982186,-0.44031283,4.3453903,8.200409
1576422909242,2869942980623,-0.4018524,4.2421327,10.119668
1576422909250,2869952982186,-0.36471352,4.159744,9.761132
1576422909260,2869962982186,-0.41933006,4.086653,8.688836
1576422909269,2869972980623,-0.28185502,4.0516596,10.263645
1576422909279,2869982982186,-0.10188765,4.0337224,10.046214
1576422909290,2869992980623,-0.028960263,4.056046,8.295641
1576422909299,2870002980623,0.114806764,4.134681,10.49415
1576422909309,2870012980623,0.07688261,4.0926867,9.118221
1576422909319,2870022980623,-0.15682021,3.8788078,8.805203
1576422909330,2870033007186,-0.33101276,3.658599,9.142404
1576422909339,2870042980623,-0.5466441,3.4194179,9.079378
1576422909349,2870052980623,-0.7119973,3.2059126,8.925986
1576422909359,2870062980623,-0.73922414,3.1288671,8.776157
1576422909369,2870072980623,-0.49991888,3.2744827,8.5736265
1576422909380,2870082980623,0.13506171,3.6152446,8.253503
1576422909389,2870092980623,0.37138858,3.6782217,7.987181
1576422909399,2870102980623,0.46747264,3.7120373,7.6288176
1576422909409,2870112980623,0.7577648,4.061926,7.3398275
1576422909420,2870122980623,1.5811499,4.8318725,7.061487
1576422909429,2870132980623,3.2314253,5.5724664,7.0310426
1576422909439,2870142980623,6.2982926,7.4382195,7.5448284
1576422909450,2870152980623,4.25102,6.4489546,7.4220734
1576422909460,2870162980623,2.6950188,6.2292914,8.149193
1576422909469,2870172980623,2.3496983,5.6477304,8.763143
1576422909479,2870182980623,1.0259346,4.4479957,9.730524
1576422909489,2870192980623,0.8568561,4.108297,10.752628
1576422909500,2870202980623,-0.18076222,3.3322785,11.782547
1576422909510,2870212980623,-1.1804755,2.640115,12.38261
1576422909520,2870222980623,-1.4004068,2.2128553,12.383856
1576422909529,2870232980623,-2.076453,2.158306,11.759112
1576422909540,2870242980623,-2.1803226,2.3654425,10.6628065
1576422909550,2870252980623,-1.0271987,3.1297197,9.543049
1576422909560,2870262980623,-0.6844065,4.0106616,8.688069
1576422909569,2870272980623,-0.7867155,4.239997,8.00192
1576422909579,2870282980623,-0.8506982,4.2546015,7.2797427
1576422909589,2870292980623,-0.7989738,4.2422953,7.0908403
1576422909600,2870302980623,-0.8390624,4.0833974,7.2298856
1576422909610,2870312980623,-0.79646474,3.8792293,7.491007
1576422909620,2870322980623,-0.5285057,3.6516938,7.629382
