calcAzimuth,gesture,stepLength,timeMillis
282.66913,0,0.65,1576390510000
206.5674,0,0.65,1576390510550
197.37512,0,0.65,1576390511190
218.65294,0,0.65,1576390511820
197.86905,0,0.65,1576390512520
221.57674,0,0.65,1576390513130
223.80847,0,0.65,1576390516380
257.32208,0,0.65,1576390517030
254.13332,0,0.65,1576390517840
279.22708,0,0.65,1576390518360
237.03117,0,0.65,1576390518920
263.66232,0,0.65,1576390519510
281.9318,0,0.65,1576390520150
274.3338,0,0.65,1576390520690
249.69212,0,0.65,1576390521480
294.8012,0,0.65,1576390522140
279.14124,0,0.65,1576390522870
258.0011,0,0.65,1576390523500
44.697647,0,0.65,1576390525900
25.748653,0,0.65,1576390527450
223.89677,0,0.65,1576390528180
224.91087,0,0.65,1576390529400
256.88107,0,0.65,1576390530120
243.85046,0,0.65,1576390531450
299.5141,0,0.65,1576390532150
282.10236,0,0.65,1576390532840
226.52438,0,0.65,1576390533500
308.20874,0,0.65,1576390534050
236.13959,0,0.65,1576390534700
310.07333,0,0.65,1576390535230
238.10919,0,0.65,1576390535880
267.0854,0,0.65,1576390536450
284.15448,0,0.65,1576390537090
275.61993,0,0.65,1576390537640
252.95084,0,0.65,1576390538310
267.14703,0,0.65,1576390538920
265.27356,0,0.65,1576390539620
286.56226,0,0.65,1576390540200
230.84918,0,0.65,1576390543280
208.05925,0,0.65,1576390545380
234.8385,0,0.65,1576390546060
239.7843,0,0.65,1576390546680
205.84921,7,0.65,1576390547490
251.30501,7,0.325,1576390548130
199.85075,7,0.325,1576390548790
31.712708,6,0.65,1576390560070
26.713737,6,0.65,1576390561160
10.02353,6,0.65,1576390563140
23.179663,0,0.325,1576390563570
120.14236,0,0.65,1576390564300
120.73161,0,0.65,1576390565090
105.89346,0,0.65,1576390565750
107.22671,0,0.65,1576390566460
103.79016,0,0.65,1576390567220
101.97403,0,0.65,1576390568830
102.882095,0,0.65,1576390571470
115.5546,0,0.65,1576390572190
73.42879,0,0.65,1576390573830
59.28739,0,0.325,1576390574570
46.73388,0,0.325,1576390575380
26.352684,0,0.325,1576390576200
15.617794,0,0.325,1576390576860
28.521158,0,0.325,1576390577600
282.34335,0,0.65,1576390578280
288.82806,0,0.65,1576390579050
270.04376,0,0.65,1576390579790
268.8182,0,0.65,1576390580530
286.50848,0,0.65,1576390581250
283.80624,0,0.65,1576390581860
267.53824,0,0.65,1576390582560
263.75253,0,0.65,1576390583150
259.77924,0,0.65,1576390583830
268.56,0,0.65,1576390584470
274.0256,0,0.65,1576390585090
270.94293,0,0.65,1576390585740
290.47482,0,0.65,1576390586370
20.189665,0,0.65,1576390587160
25.632837,0,0.65,1576390597250
243.16599,0,0.65,1576390597800
306.87177,0,0.325,1576390598420
286.84207,0,0.65,1576390599120
277.25153,0,0.65,1576390599730
260.73022,0,0.65,1576390600480
297.2072,0,0.65,1576390601070
284.09555,0,0.65,1576390601740
292.489,0,0.65,1576390602380
304.1739,0,0.65,1576390603080
282.89133,0,0.65,1576390603720
257.1237,0,0.65,1576390604390
264.2711,0,0.65,1576390605000
270.086,0,0.65,1576390605720
259.71558,0,0.65,1576390606340
250.41083,0,0.65,1576390606990
259.2106,0,0.65,1576390607580
266.488,0,0.65,1576390608250
278.75354,0,0.65,1576390608900
290.7503,0,0.65,1576390609560
285.4677,0,0.65,1576390610150
287.01752,0,0.65,1576390610850
295.41245,0,0.65,1576390611460
288.15308,0,0.65,1576390612140
291.78275,0,0.65,1576390612720
283.0546,0,0.65,1576390613350
288.01138,0,0.65,1576390613900
268.07706,0,0.65,1576390614550
267.95645,0,0.65,1576390615120
268.38626,0,0.65,1576390615740
268.60892,0,0.65,1576390616320
268.4976,0,0.65,1576390616910
294.84793,0,0.65,1576390617460
281.67276,0,0.65,1576390618070
294.594,0,0.65,1576390618640
265.81467,0,0.65,1576390619290
264.83862,0,0.65,1576390619850
229.15547,0,0.65,1576390620520
254.92268,0,0.65,1576390621080
259.1565,0,0.65,1576390621690
303.22885,0,0.65,1576390622290
281.19266,0,0.65,1576390622930
257.21866,0,0.65,1576390623520
269.83325,0,0.65,1576390624190
273.77783,0,0.65,1576390624780
280.14117,0,0.65,1576390625420
278.5227,0,0.65,1576390626020
259.86426,0,0.65,1576390626690
