bssid,frequency,rss,ssid,timeMillis,timestamp
d8c7c8de3932,5805,-81,Welcome_1st_KAIST,1576425580871,5541556044
d8c7c8de3931,5805,-82,Welcome_KAIST,1576425580871,5541556042
d8c7c8de3930,5805,-82,eduroam,1576425580871,5541556040
d8c7c8de3a32,5785,-88,Welcome_1st_KAIST,1576425580871,5541556037
d8c7c8de3a31,5785,-86,Welcome_KAIST,1576425580871,5541556034
d8c7c8de3a30,5785,-87,eduroam,1576425580871,5541556031
d8c7c8de3912,5765,-68,Welcome_1st_KAIST,1576425580871,5541556029
d8c7c8de3911,5765,-68,Welcome_KAIST,1576425580871,5541556026
d8c7c8de3910,5765,-67,eduroam,1576425580871,5541556023
00246c710542,2472,-75,Welcome_1st_KAIST,1576425580871,5541556020
d8c7c8df0ba0,2472,-97,eduroam,1576425580871,5541556017
00246c710541,2472,-75,eduroam,1576425580871,5541556014
00246c710540,2472,-74,Welcome_KAIST,1576425580871,5541556011
00246c710552,5240,-69,Welcome_1st_KAIST,1576425580871,5541556009
00246c710551,5240,-67,eduroam,1576425580871,5541556006
00246c710550,5240,-67,Welcome_KAIST,1576425580871,5541556004
e8fcaff99fc4,5220,-84,GC-B107-5G-1,1576425580871,5541556000
705dcc4b6166,2417,-81,iptime,1576425580871,5541555996
c412f569d0d4,2412,-87,IRAP_1,1576425580871,5541555985
d8c7c8de3932,5805,-75,Welcome_1st_KAIST,1576425584692,5545378942
d8c7c8de3931,5805,-77,Welcome_KAIST,1576425584692,5545378940
d8c7c8de3930,5805,-77,eduroam,1576425584692,5545378937
d8c7c8de3912,5765,-65,Welcome_1st_KAIST,1576425584692,5545378935
d8c7c8de3911,5765,-62,Welcome_KAIST,1576425584692,5545378932
d8c7c8de3910,5765,-63,eduroam,1576425584692,5545378927
88366cd64313,5745,-87,Changlab_5G_1,1576425584692,5545378923
88366c07a64e,5745,-87,Lense_5Ghz,1576425584692,5545378921
88366c6f1cd6,5745,-88,iptime5G,1576425584692,5545378918
d8c7c8defd22,2472,-94,Welcome_1st_KAIST,1576425584692,5545378916
d8c7c8defd21,2472,-94,Welcome_KAIST,1576425584692,5545378912
d8c7c8defd20,2472,-92,eduroam,1576425584692,5545378910
d8c7c8df0ba0,2472,-96,eduroam,1576425584692,5545378908
d8c7c8df20a2,2472,-92,Welcome_1st_KAIST,1576425584692,5545378906
64e599ba264e,2472,-94,iptime,1576425584692,5545378904
d8c7c8df20a1,2472,-93,Welcome_KAIST,1576425584692,5545378902
d8c7c8df20a0,2472,-91,eduroam,1576425584692,5545378900
00246c710542,2472,-69,Welcome_1st_KAIST,1576425584692,5545378898
00246c710541,2472,-70,eduroam,1576425584692,5545378895
00246c710540,2472,-69,Welcome_KAIST,1576425584692,5545378893
e8fcaff99fc5,2452,-85,GC-B107,1576425584692,5545378892
88366c23979c,2457,-91,STS5021,1576425584692,5545378890
6c7220116bbc,2437,-95,IRAP_2.4ghz,1576425584692,5545378883
8472071a2652,2437,-85,WINIX AEN331W,1576425584692,5545378880
00246c710552,5240,-64,Welcome_1st_KAIST,1576425584692,5545378878
00246c710551,5240,-64,eduroam,1576425584692,5545378875
00246c710550,5240,-63,Welcome_KAIST,1576425584692,5545378873
6c7220116bbe,5220,-93,IRAP_5ghz,1576425584692,5545378871
705dcc3dc6c8,2417,-70,iptime,1576425584692,5545378869
24dec6ec5ef2,5220,-87,Welcome_1st_KAIST,1576425584692,5545378867
24dec6ec5ef1,5220,-85,eduroam,1576425584692,5545378865
24dec6ec5ef0,5220,-85,Welcome_KAIST,1576425584692,5545378863
e8fcaff99fc4,5220,-81,GC-B107-5G-1,1576425584692,5545378860
8625199074f9,2412,-88,DIRECT-pWC48x Series,1576425584692,5545378855
d8c7c8de3a32,5785,-88,Welcome_1st_KAIST,1576425584692,5545378852
d8c7c8de3a31,5785,-86,Welcome_KAIST,1576425584692,5545378848
d8c7c8de3a30,5785,-87,eduroam,1576425584692,5545378838
e8fcaff99fc6,5765,-75,GC-B107-5G-2,1576425588532,5549210211
24dec6e33f42,2472,-95,Welcome_1st_KAIST,1576425588532,5549210209
24dec6e33f41,2472,-94,eduroam,1576425588532,5549210206
24dec6e33f40,2472,-94,Welcome_KAIST,1576425588532,5549210204
64e599ba264e,2472,-88,iptime,1576425588532,5549210202
00246c710542,2472,-69,Welcome_1st_KAIST,1576425588532,5549210199
00246c710540,2472,-70,Welcome_KAIST,1576425588532,5549210194
00246c710541,2472,-69,eduroam,1576425588532,5549210191
e8fcaff99fc5,2452,-80,GC-B107,1576425588532,5549210189
88366cd63298,2447,-86,urbandesignlab_2g,1576425588532,5549210186
6c7220116bbc,2437,-92,IRAP_2.4ghz,1576425588532,5549210184
8472071a2652,2437,-81,WINIX AEN331W,1576425588532,5549210182
021599cace93,2432,-97,DIRECT-X4C460 Series,1576425588532,5549210179
00246c710552,5240,-70,Welcome_1st_KAIST,1576425588532,5549210177
00246c710551,5240,-69,eduroam,1576425588532,5549210173
00246c710550,5240,-65,Welcome_KAIST,1576425588532,5549210171
24dec6ec5ef2,5220,-91,Welcome_1st_KAIST,1576425588532,5549210169
24dec6ec5ef1,5220,-91,eduroam,1576425588532,5549210167
24dec6ec5ef0,5220,-91,Welcome_KAIST,1576425588532,5549210164
e8fcaff99fc4,5220,-79,GC-B107-5G-1,1576425588532,5549210160
705dcc3e1366,2417,-86,iptime,1576425588532,5549210158
705dcc3dc6c8,2417,-82,iptime,1576425588532,5549210156
8625199c520a,2412,-91,DIRECT-hTC48x Series,1576425588532,5549210152
8625199074f9,2412,-87,DIRECT-pWC48x Series,1576425588532,5549210149
d8c7c8de3932,5805,-75,Welcome_1st_KAIST,1576425588532,5549210147
d8c7c8de3931,5805,-77,Welcome_KAIST,1576425588532,5549210145
d8c7c8de3930,5805,-77,eduroam,1576425588532,5549210142
d8c7c8de3912,5765,-65,Welcome_1st_KAIST,1576425588532,5549210140
d8c7c8de3911,5765,-62,Welcome_KAIST,1576425588532,5549210137
d8c7c8de3910,5765,-63,eduroam,1576425588532,5549210134
88366cd64313,5745,-87,Changlab_5G_1,1576425588532,5549210131
88366c07a64e,5745,-87,Lense_5Ghz,1576425588532,5549210128
88366c6f1cd6,5745,-88,iptime5G,1576425588532,5549210124
d8c7c8defd22,2472,-94,Welcome_1st_KAIST,1576425588532,5549210119
d8c7c8defd21,2472,-94,Welcome_KAIST,1576425588532,5549210116
d8c7c8defd20,2472,-92,eduroam,1576425588532,5549210115
d8c7c8df0ba0,2472,-96,eduroam,1576425588532,5549210112
d8c7c8df20a2,2472,-92,Welcome_1st_KAIST,1576425588532,5549210110
d8c7c8df20a1,2472,-93,Welcome_KAIST,1576425588532,5549210107
d8c7c8df20a0,2472,-91,eduroam,1576425588532,5549210095
88366cd63883,5805,-80,cbe pc room 5G-1,1576425592390,5553064828
d8c7c8df0bb2,5785,-83,Welcome_1st_KAIST,1576425592390,5553064825
d8c7c8df0bb1,5785,-85,Welcome_KAIST,1576425592390,5553064823
d8c7c8df0bb0,5785,-85,eduroam,1576425592390,5553064819
d8c7c8de3912,5765,-83,Welcome_1st_KAIST,1576425592390,5553064817
d8c7c8de3911,5765,-85,Welcome_KAIST,1576425592390,5553064814
d8c7c8de3910,5765,-83,eduroam,1576425592390,5553064811
e8fcaff99fc6,5765,-75,GC-B107-5G-2,1576425592390,5553064808
88366cd64313,5745,-78,Changlab_5G_1,1576425592390,5553064805
d8c7c8df0ba0,2472,-95,eduroam,1576425592390,5553064802
00246c710541,2472,-68,eduroam,1576425592390,5553064799
d8c7c8df0ba1,2472,-95,Welcome_KAIST,1576425592390,5553064796
64e599ba264e,2472,-92,iptime,1576425592390,5553064794
d8c7c8df20a2,2472,-96,Welcome_1st_KAIST,1576425592390,5553064792
d8c7c8df20a0,2472,-94,eduroam,1576425592390,5553064789
00246c710542,2472,-67,Welcome_1st_KAIST,1576425592390,5553064787
00246c710540,2472,-67,Welcome_KAIST,1576425592390,5553064785
64e599710a1e,2462,-82,SCAIS,1576425592390,5553064781
88366c612bfe,2452,-96,KAIST_security,1576425592390,5553064779
e8fcaff99fc5,2452,-80,GC-B107,1576425592390,5553064775
8472071a2652,2437,-83,WINIX AEN331W,1576425592390,5553064772
00089f2a054a,2437,-87,MMML,1576425592390,5553064769
00246c710552,5240,-71,Welcome_1st_KAIST,1576425592390,5553064767
00246c710551,5240,-69,eduroam,1576425592390,5553064764
00246c710550,5240,-69,Welcome_KAIST,1576425592390,5553064762
e8fcaff99fc4,5220,-73,GC-B107-5G-1,1576425592390,5553064760
d8c7c8df1a51,5220,-87,Welcome_KAIST,1576425592390,5553064757
24dec6ec5ee0,2412,-88,Welcome_KAIST,1576425592390,5553064755
d8c7c8df1112,5180,-87,Welcome_1st_KAIST,1576425592390,5553064752
d8c7c8df1111,5180,-85,Welcome_KAIST,1576425592390,5553064749
d8c7c8df1110,5180,-86,eduroam,1576425592390,5553064746
8625199074f9,2412,-92,DIRECT-pWC48x Series,1576425592390,5553064744
88366cd63882,5180,-86,cbe pc room 5G-2,1576425592390,5553064737
24dec6e33f42,2472,-95,Welcome_1st_KAIST,1576425592390,5553064734
24dec6e33f41,2472,-94,eduroam,1576425592390,5553064731
24dec6e33f40,2472,-94,Welcome_KAIST,1576425592390,5553064716
d8c7c8df0bb2,5785,-86,Welcome_1st_KAIST,1576425596233,5556907924
d8c7c8df0bb1,5785,-85,Welcome_KAIST,1576425596233,5556907922
d8c7c8df0bb0,5785,-84,eduroam,1576425596233,5556907919
e8fcaff99fc6,5765,-81,GC-B107-5G-2,1576425596233,5556907915
d8c7c8de3912,5765,-73,Welcome_1st_KAIST,1576425596233,5556907914
d8c7c8de3911,5765,-74,Welcome_KAIST,1576425596233,5556907910
d8c7c8de3910,5765,-75,eduroam,1576425596233,5556907907
88366cd64313,5745,-76,Changlab_5G_1,1576425596233,5556907903
d8c7c8de3922,2472,-95,Welcome_1st_KAIST,1576425596233,5556907899
d8c7c8df16e2,2472,-95,Welcome_1st_KAIST,1576425596233,5556907896
d8c7c8df16e0,2472,-94,eduroam,1576425596233,5556907891
d8c7c8df14a2,2472,-93,Welcome_1st_KAIST,1576425596233,5556907887
d8c7c8df14a1,2472,-95,Welcome_KAIST,1576425596233,5556907883
d8c7c8df0ba1,2472,-92,Welcome_KAIST,1576425596233,5556907881
d8c7c8df16e1,2472,-95,Welcome_KAIST,1576425596233,5556907876
64e599ba264e,2472,-92,iptime,1576425596233,5556907873
d8c7c8df0ba2,2472,-92,Welcome_1st_KAIST,1576425596233,5556907869
d8c7c8defb02,2472,-97,Welcome_1st_KAIST,1576425596233,5556907863
00246c710542,2472,-71,Welcome_1st_KAIST,1576425596233,5556907861
00246c710541,2472,-71,eduroam,1576425596233,5556907857
00246c710540,2472,-71,Welcome_KAIST,1576425596233,5556907854
64e599710a1e,2462,-92,SCAIS,1576425596233,5556907851
e8fcaff99fc5,2452,-75,GC-B107,1576425596233,5556907848
88366c57b83a,2447,-96,bsel5114,1576425596233,5556907845
f8e903c12278,2437,-92,irap container-2.4ghz,1576425596233,5556907842
00089f2a054a,2437,-87,MMML,1576425596233,5556907839
8472071a2652,2437,-84,WINIX AEN331W,1576425596233,5556907836
d8c7c8df1462,2432,-92,Welcome_1st_KAIST,1576425596233,5556907833
d8c7c8df1461,2432,-93,Welcome_KAIST,1576425596233,5556907829
d8c7c8df1460,2432,-92,eduroam,1576425596233,5556907825
00246c710552,5240,-61,Welcome_1st_KAIST,1576425596233,5556907822
00246c710551,5240,-60,eduroam,1576425596233,5556907819
00246c710550,5240,-56,Welcome_KAIST,1576425596233,5556907781
24dec6ec5ef2,5220,-85,Welcome_1st_KAIST,1576425596233,5556907779
24dec6ec5ef1,5220,-85,eduroam,1576425596233,5556907777
24dec6ec5ef0,5220,-84,Welcome_KAIST,1576425596233,5556907773
e8fcaff99fc4,5220,-79,GC-B107-5G-1,1576425596233,5556907770
705dcc4b6166,2417,-86,iptime,1576425596233,5556907768
909f33bb2164,2417,-94,MASS_3101,1576425596233,5556907764
705dcc3dc6c8,2417,-84,iptime,1576425596233,5556907761
c412f569d0d4,2412,-80,IRAP_1,1576425596233,5556907758
8625199074f9,2412,-88,DIRECT-pWC48x Series,1576425596233,5556907755
88366cd64312,5180,-88,Changlab_5G_2,1576425596233,5556907753
d8c7c8defb12,5180,-81,Welcome_1st_KAIST,1576425596233,5556907745
88366cd63883,5805,-80,cbe pc room 5G-1,1576425596233,5556907739
d8c7c8df0ba0,2472,-95,eduroam,1576425596233,5556907734
d8c7c8df20a2,2472,-96,Welcome_1st_KAIST,1576425596233,5556907730
d8c7c8df20a0,2472,-94,eduroam,1576425596233,5556907712
d8c7c8de3932,5805,-67,Welcome_1st_KAIST,1576425600063,5560739921
d8c7c8de3931,5805,-66,Welcome_KAIST,1576425600063,5560739919
d8c7c8de3930,5805,-68,eduroam,1576425600063,5560739916
