timeMillis,timeNanos,value
1574820267927,56180640170429,1023.30225
1574820268006,56180720170429,1023.3164
1574820268086,56180800170429,1023.312
1574820268166,56180880168866,1023.3135
1574820268246,56180960170429,1023.3237
1574820268327,56181040170429,1023.31494
1574820268407,56181120170429,1023.3179
1574820268486,56181200170429,1023.3252
1574820268566,56181280170429,1023.33203
1574820268646,56181360170429,1023.3291
1574820268726,56181440170429,1023.32666
1574820268806,56181520170429,1023.3301
1574820268886,56181600170429,1023.334
1574820268966,56181680170429,1023.3252
1574820269046,56181760170429,1023.32666
1574820269126,56181840170429,1023.3198
1574820269206,56181920170429,1023.33057
1574820269286,56182000170429,1023.3291
1574820269366,56182080170429,1023.333
1574820269446,56182160170429,1023.33936
1574820269526,56182240170429,1023.3325
1574820269606,56182320170429,1023.3291
1574820269689,56182400170429,1023.3423
1574820269766,56182480170429,1023.34717
1574820269846,56182560170429,1023.3467
1574820269926,56182640170429,1023.34424
1574820270006,56182720170429,1023.34717
1574820270086,56182800170429,1023.33936
1574820270166,56182880168866,1023.3379
1574820270246,56182960170429,1023.33105
1574820270326,56183040170429,1023.3374
1574820270407,56183120170429,1023.333
1574820270486,56183200170429,1023.3374
1574820270566,56183280170429,1023.3281
1574820270649,56183360170429,1023.3413
1574820270726,56183440170429,1023.34033
1574820270806,56183520170429,1023.3281
1574820270886,56183600170429,1023.3384
1574820270966,56183680168866,1023.3247
1574820271046,56183760168866,1023.3325
1574820271126,56183840168866,1023.3218
1574820271206,56183920168866,1023.32324
1574820271286,56184000168866,1023.32324
1574820271366,56184080168866,1023.3179
1574820271447,56184160168866,1023.3237
1574820271526,56184240168866,1023.3291
1574820271606,56184320168866,1023.32227
1574820271689,56184400168866,1023.3281
1574820271766,56184480170429,1023.3135
1574820271846,56184560168866,1023.3218
1574820271926,56184640168866,1023.3286
1574820272006,56184720168866,1023.3218
1574820272088,56184800170429,1023.3335
1574820272166,56184880168866,1023.33936
1574820272246,56184960168866,1023.333
1574820272326,56185040168866,1023.3281
1574820272406,56185120168866,1023.3408
1574820272486,56185200168866,1023.33594
1574820272566,56185280168866,1023.3364
1574820272646,56185360168866,1023.3345
1574820272726,56185440168866,1023.3257
1574820272806,56185520168866,1023.3301
1574820272886,56185600168866,1023.34326
1574820272966,56185680168866,1023.34424
