bssid,frequency,rss,ssid,timeMillis,timestamp
40b076c15e48,5805,-92,ASUS_40_5G_Gaming,1574820269661,56182345241
909f3365b6c2,5785,-78,,1574820269661,56182345238
00246c7a8ed2,5785,-88,Welcome_1st_KAIST,1574820269661,56182345236
00246c7a8ed1,5785,-91,Welcome_KAIST,1574820269661,56182345232
00246c7a8ed0,5785,-86,eduroam,1574820269661,56182345228
048d38084930,2472,-82,VML 2G,1574820269661,56182345225
00246c7a8ec2,2472,-86,Welcome_1st_KAIST,1574820269661,56182345223
00246c7a8ec1,2472,-87,Welcome_KAIST,1574820269661,56182345218
00246c7a8ec0,2472,-86,eduroam,1574820269661,56182345215
00246c7def61,2432,-91,eduroam,1574820269661,56182345211
9c1c12d16972,5240,-80,Welcome_1st_KAIST,1574820269661,56182345208
9c1c12d16971,5240,-80,eduroam,1574820269661,56182345205
9c1c12d16970,5240,-77,Welcome_KAIST,1574820269661,56182345201
00246c7def72,5220,-86,Welcome_1st_KAIST,1574820269661,56182345197
048d3808492c,5200,-79,VML 5G,1574820269661,56182345178
9c1c12d165e2,2412,-80,Welcome_1st_KAIST,1574820269661,56182345173
9c1c12d165f1,5180,-86,eduroam,1574820269661,56182345169
9c1c12d165e1,2412,-80,eduroam,1574820269661,56182345167
9c1c12d165e0,2412,-81,Welcome_KAIST,1574820269661,56182345162
d8c7c8df1152,5180,-87,Welcome_1st_KAIST,1574820269661,56182345158
d8c7c8df1151,5180,-87,Welcome_KAIST,1574820269661,56182345156
d8c7c8df1150,5180,-86,eduroam,1574820269661,56182345150
9c1c12d165f2,5180,-86,Welcome_1st_KAIST,1574820269661,56182345146
9c1c12d165f0,5180,-85,Welcome_KAIST,1574820269661,56182345132
88366cc1e040,5785,-86,mclab01_5G,1574820273462,56186150864
048d38084930,2472,-78,VML 2G,1574820273462,56186150862
001a1e7a86e2,2472,-96,Welcome_1st_KAIST,1574820273462,56186150860
001a1e7a86e0,2472,-97,Welcome_KAIST,1574820273462,56186150857
00246c7a8ec2,2472,-83,Welcome_1st_KAIST,1574820273462,56186150856
00246c7a8ec1,2472,-83,Welcome_KAIST,1574820273462,56186150853
00246c7a8ec0,2472,-82,eduroam,1574820273462,56186150852
40b076c15e40,2462,-87,ASUS_40_2G,1574820273462,56186150850
40b076587278,2457,-94,vcLab,1574820273462,56186150848
00246c7def60,2432,-86,Welcome_KAIST,1574820273462,56186150845
9c1c12d16972,5240,-73,Welcome_1st_KAIST,1574820273462,56186150843
9c1c12d16971,5240,-74,eduroam,1574820273462,56186150841
9c1c12d16970,5240,-72,Welcome_KAIST,1574820273462,56186150839
88366c24b9fc,2417,-87,sally,1574820273462,56186150838
d8c7c8df1312,5220,-80,Welcome_1st_KAIST,1574820273462,56186150836
d8c7c8df1311,5220,-79,Welcome_KAIST,1574820273462,56186150833
00246c7def70,5220,-85,Welcome_KAIST,1574820273462,56186150830
9c1c12d165e2,2412,-79,Welcome_1st_KAIST,1574820273462,56186150829
9c1c12d16960,2412,-87,Welcome_KAIST,1574820273462,56186150824
9c1c12d165e1,2412,-80,eduroam,1574820273462,56186150823
9c1c12d165e0,2412,-80,Welcome_KAIST,1574820273462,56186150819
9c1c12d165f2,5180,-87,Welcome_1st_KAIST,1574820273462,56186150818
9c1c12d165f1,5180,-86,eduroam,1574820273462,56186150815
9c1c12d165f0,5180,-85,Welcome_KAIST,1574820273462,56186150813
40b076c15e48,5805,-92,ASUS_40_5G_Gaming,1574820273462,56186150810
909f3365b6c2,5785,-78,,1574820273462,56186150806
00246c7a8ed2,5785,-88,Welcome_1st_KAIST,1574820273462,56186150804
00246c7a8ed1,5785,-91,Welcome_KAIST,1574820273462,56186150800
00246c7a8ed0,5785,-86,eduroam,1574820273462,56186150790
d8c7c8df1152,5180,-91,Welcome_1st_KAIST,1574820275550,56188229340
d8c7c8df1151,5180,-88,Welcome_KAIST,1574820275550,56188229338
d8c7c8df1150,5180,-92,eduroam,1574820275550,56188229336
9c1c12d165f2,5180,-84,Welcome_1st_KAIST,1574820275550,56188229333
9c1c12d165f1,5180,-82,eduroam,1574820275550,56188229330
9c1c12d165f0,5180,-83,Welcome_KAIST,1574820275550,56188229328
d8c7c8df1300,2472,-92,eduroam,1574820275550,56188229325
048d38084930,2472,-71,VML 2G,1574820275550,56188229323
d8c7c8df1301,2472,-93,Welcome_KAIST,1574820275550,56188229319
00246c7a8ec1,2472,-80,Welcome_KAIST,1574820275550,56188229317
001a1e7a86e1,2472,-91,eduroam,1574820275550,56188229313
00246c7a8ec2,2472,-80,Welcome_1st_KAIST,1574820275550,56188229311
00246c7a8ec0,2472,-80,eduroam,1574820275550,56188229306
9c1c12d16970,5240,-75,Welcome_KAIST,1574820275550,56188229304
32cda736edb1,2462,-77,DIRECT-9hC140x Series,1574820275550,56188229301
40b076c15e40,2462,-85,ASUS_40_2G,1574820275550,56188229298
40b076587278,2457,-83,vcLab,1574820275550,56188229295
ea7dba0d964d,2437,-82,SWKIM iPhone,1574820275550,56188229292
00246c7def62,2432,-77,Welcome_1st_KAIST,1574820275550,56188229290
00246c7def61,2432,-76,eduroam,1574820275550,56188229288
909f3366b6c2,2437,-91,dongmyo,1574820275550,56188229286
909f33bb7390,2422,-86,N22_602_2G,1574820275550,56188229283
88366c24b9fc,2417,-82,sally,1574820275550,56188229280
9c1c12d165e2,2412,-79,Welcome_1st_KAIST,1574820275550,56188229278
9c1c12d165e1,2412,-79,eduroam,1574820275550,56188229276
9c1c12d165e0,2412,-79,Welcome_KAIST,1574820275550,56188229274
909f331a877e,2412,-95,center_hub,1574820275550,56188229270
862519024b57,2412,-82,DIRECT-UuC486FW SY,1574820275550,56188229267
8625195e9a5c,2412,-83,DIRECT-GLC43x Series,1574820275550,56188229263
88366cc1e040,5785,-86,mclab01_5G,1574820275550,56188229258
001a1e7a86e2,2472,-96,Welcome_1st_KAIST,1574820275550,56188229255
001a1e7a86e0,2472,-97,Welcome_KAIST,1574820275550,56188229252
00246c7def60,2432,-86,Welcome_KAIST,1574820275550,56188229248
9c1c12d16972,5240,-73,Welcome_1st_KAIST,1574820275550,56188229242
9c1c12d16971,5240,-74,eduroam,1574820275550,56188229239
