floor,timeMillis
-1,1574820267837
-1,1574998691571
-5,1574998722115
-4,1574998809192
-3,1574998815941
-5,1574998894320
7,1574998899389
2,1574998974316
-3,1574998979934
-5,1574999080499
-4,1574999119785
-4,1574999184725
2,1574999276681
6,1574999338199
-4,1574999461418
-3,1574999468109
-5,1574999504884
7,1574999511193
2,1574999554242
-3,1574999558230
-5,1574999618219
7,1574999623398
-4,1574999668859
-3,1574999674946
-5,1574999714929
-4,1574999720875
2,1574999856936
-3,1574999861817
-5,1574999986130
7,1575000058290
-3,1575000065680
-5,1575000155435
7,1575000336038
-3,1575000342143
-5,1575000397893
7,1575000402816
-4,1575000536626
-3,1575000542207
-5,1575000650450
-4,1575000654630
2,1575000690078
-3,1575000694467
-5,1575000759810
7,1575000764230
-4,1575000803119
-3,1575000807927
-5,1575000842286
-4,1575000846903
-4,1575001008407
-4,1575001050089
