calcAzimuth,gesture,stepLength,timeMillis
46.917458,0,0.65,1575215124650
226.7321,0,0.65,1575215125450
207.44357,0,0.325,1575215127720
311.6222,0,0.325,1575215128560
217.95824,0,0.65,1575215129610
292.15344,0,0.65,1575215130250
207.3205,0,0.65,1575215130930
34.456684,0,0.65,1575215131710
226.25002,0,0.65,1575215132390
38.19043,0,0.65,1575215133050
209.31462,0,0.65,1575215133730
296.62775,0,0.325,1575215134390
308.95703,0,0.65,1575215135030
238.11475,0,0.325,1575215135580
213.63043,0,0.65,1575215136220
205.93292,0,0.65,1575215136930
227.50136,0,0.65,1575215137610
242.33394,0,0.65,1575215138320
269.29938,0,0.65,1575215138920
265.3059,0,0.65,1575215139550
216.32936,0,0.65,1575215140100
214.81622,0,0.65,1575215140720
222.39403,0,0.65,1575215141390
278.9233,0,0.65,1575215142000
287.10205,0,0.65,1575215142580
33.463917,0,0.65,1575215144410
314.17316,0,0.65,1575215145100
186.79152,0,0.65,1575215148740
307.21228,0,0.65,1575215149430
184.00426,0,0.65,1575215150040
255.57877,0,0.65,1575215150580
42.491436,0,0.65,1575215151140
257.3483,0,0.65,1575215151680
274.83078,0,0.65,1575215152250
271.65808,0,0.65,1575215152790
270.1269,0,0.65,1575215153400
264.7589,0,0.65,1575215153960
268.3968,0,0.65,1575215154530
239.53284,0,0.65,1575215155120
266.08377,0,0.65,1575215155710
269.7283,0,0.65,1575215156270
275.21594,0,0.65,1575215156860
242.70427,0,0.65,1575215157430
213.00993,0,0.65,1575215158030
282.26242,0,0.65,1575215158630
282.60645,0,0.65,1575215159210
259.08414,0,0.65,1575215159750
258.53046,0,0.65,1575215160350
258.8073,0,0.65,1575215161010
276.39496,0,0.65,1575215161610
249.26088,0,0.65,1575215162290
269.12354,0,0.65,1575215162880
39.317787,0,0.325,1575215164610
17.092846,0,0.325,1575215165220
244.72964,0,0.325,1575215166370
307.29874,0,0.325,1575215167990
278.83826,8,0.65,1575215172360
229.47714,8,0.65,1575215173410
201.64122,0,0.65,1575215174090
189.96754,0,0.325,1575215174930
5.051135,0,0.65,1575215176380
236.20532,0,0.65,1575215176890
252.57187,0,0.65,1575215178460
246.39786,0,0.325,1575215182180
131.75885,0,0.65,1575215182840
185.71509,0,0.65,1575215183390
263.50085,0,0.65,1575215183960
237.82002,0,0.65,1575215184520
111.40007,0,0.65,1575215185090
