timestamps,Freq. Max. Amp-x,Freq. Max. Amp-y,Freq. Max. Amp-z,Power Spec. Entropy-x,Power Spec. Entropy-y,Power Spec. Entropy-z,Weighted Avg. Amp-x,Weighted Avg. Amp-y,Weighted Avg. Amp-z,Weighted Avg. Energy-x,Weighted Avg. Energy-y,Weighted Avg. Energy-z,rss-2GHZ-MAX,rss-2GHZ-MEAN,rss-2GHZ-MIN,rss-2GHZ-STD,rss-5GHZ-MAX,rss-5GHZ-MEAN,rss-5GHZ-MIN,rss-5GHZ-STD,accuracy,satellites
1576422116185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.7413364328617528,0.49983818584849893,0.29366718012875087,3.06098906508066,2.466906019265247,2.847559908164591,1.057204046447472,0.9273391220161356,0.8556975404868997,-70.0,-86.15,-97.0,6.5975374193709575,-59.0,-79.57142857142857,-91.0,10.050214063446033,4.0,25.0
1576422116685.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.4801654552784377,0.28484602324517033,0.24762261562646917,2.5914375137779886,3.379872188114675,2.646750178650692,0.976234810194929,0.8585974436465715,0.8433106064094299,,,,,,,,,4.0,25.0
1576422117185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.6342983458808006,0.21356188719150437,0.13048855982953833,2.430788434844249,2.7082178251560816,2.924966204297722,1.042654345178398,0.8320716295905213,0.8196428522313453,,,,,,,,,4.0,25.0
1576422117685.0,3.1367810897398436,0.7841952724349609,0.7841952724349609,1.8335352837286936,0.12368088581690617,0.19298921996935658,5.621473685695842,3.0696596620959324,2.9760868362926782,2.862173493442512,0.8236715206635727,0.8296832327326978,,,,,,,,,4.0,25.0
1576422118185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.8217606032947403,0.3065645155308113,0.254690735705127,2.5578770458862756,2.786948689944854,3.1156765175729784,1.0990106783719142,0.8603652036422443,0.8442849438898067,,,,,,,,,4.0,25.0
1576422118685.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.6439014838554534,0.39744837150068457,0.32341174795799443,5.118457670385198,2.6407705062076507,2.77987176309396,1.2094231713887666,0.88975880370849,0.8630373428791192,,,,,,,,,4.0,25.0
1576422119185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.40151173236488796,0.293512863938219,0.313146578826846,2.378216577013603,3.1614509615286095,2.5047614390940818,0.9005917606043565,0.8623761937242073,0.8596430166095625,-68.0,-82.76923076923077,-97.0,7.642531257618031,-62.0,-81.07407407407408,-91.0,7.948565796213507,4.0,26.0
1576422119685.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.7968292912804719,0.2848195935482613,0.13901224764756973,2.3930477099004257,2.864424973929061,2.777987001988657,1.1876490773269535,0.8520708576872542,0.8228005343452058,-68.0,-82.76923076923077,-97.0,7.642531257618031,-62.0,-81.07407407407408,-91.0,7.948565796213507,4.0,26.0
1576422120185.0,1.5683905448699218,0.7841952724349609,0.7841952724349609,1.6560709675063283,0.18054711206549837,0.16234038650309898,5.261250552960616,2.493213591832375,3.145144239907572,2.517161869355235,0.8281875038837868,0.8328484552853601,,,,,,,,,4.0,26.0
1576422120685.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,1.0547176000938845,0.23634552746177884,0.24485792369090045,2.3518797444146884,3.0094334045551108,2.894437838253159,1.2770905102677468,0.8599152124647493,0.8408435562880222,,,,,,,,,4.0,26.0
1576422121185.0,1.5683905448699218,0.7841952724349609,0.7841952724349609,1.3758054012548526,0.28497438628363025,0.26351015439035713,4.385490499056265,3.10881469845596,2.946286745530208,2.1764425394450093,0.8581154160245112,0.845531103041435,,,,,,,,,4.0,26.0
1576422121685.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.6277152011880262,0.3007433137721271,0.2975550106616718,2.904390103454155,2.814927980970667,2.6625254285622733,1.0045831896705213,0.8565486149398375,0.8571525444736398,,,,,,,,,4.0,26.0
1576422122185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,1.027498904719013,0.2881574657000502,0.2207392857269598,2.8546830989771084,2.8005503848016757,2.6969167329042287,1.35477705731482,0.8523914171831697,0.8374278492678974,,,,,,,,,4.0,26.0
1576422122685.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,1.095775346911981,0.24814804251902706,0.12358119342943252,3.0916430264052726,2.479302357081456,2.978100923166871,1.3446276842921414,0.8413313419961745,0.8233206135373838,,,,,,,,,4.0,26.0
1576422123185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,1.4249312641436558,0.1862885082069361,0.20355702413420307,2.7471691178309987,2.629389566901749,2.9021569409322954,1.7922566675855274,0.8471178412440323,0.8359357358728324,-73.0,-86.85185185185185,-96.0,6.263969299530413,-57.0,-78.9,-88.0,9.54934552731233,4.0,26.0
1576422123685.0,1.5683905448699218,0.7841952724349609,0.7841952724349609,1.440005463648167,0.2457050754643396,0.30662911849028396,4.544267501735215,3.1140514774574255,2.9302113490695096,1.8873164311397834,0.8813505080582833,0.8625830736777699,-73.0,-86.85185185185185,-96.0,6.263969299530413,-57.0,-78.9,-88.0,9.54934552731233,4.0,26.0
1576422124185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,1.0884415707216375,0.2793914631304196,0.3245029875133602,2.5724157729843,3.11101970912127,2.9977106835528025,1.2875270706761983,0.8584843330053537,0.8667984642435771,,,,,,,,,4.0,26.0
1576422124685.0,2.352585817304883,0.7841952724349609,0.7841952724349609,1.3807620981887772,0.27659297309175745,0.3687427427901932,3.7680252497966924,2.9869810722705252,2.691744914157562,2.0290418928877547,0.8512809345955077,0.8792391105846639,,,,,,,,,4.0,26.0
1576422125185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.6274323001414369,0.29647213077783335,0.29083444843141887,1.9874725122439758,2.625813487076478,2.572033546305359,0.9997217853845732,0.8561671563112673,0.8541341344045922,,,,,,,,,4.0,26.0
1576422125685.0,2.352585817304883,0.7841952724349609,0.7841952724349609,1.6355237278941186,0.22170591334175943,0.2209215485449499,3.6848898230695815,2.9550427696217993,2.7250025318413806,2.2177776208883935,0.8362678310770831,0.8467381295463681,,,,,,,,,4.0,26.0
1576422126185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,1.4247268060903797,0.2989100994209224,0.17719689510485256,3.7456802321287053,2.2435745214856073,3.2413042504356775,1.9404800774989654,0.8555339484192468,0.8522931607518758,,,,,,,,,4.0,25.25
1576422126685.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.7953406336449192,0.2606456310328659,0.3521703699332136,2.230246235621551,3.2406301385739202,2.9714771748775655,1.182040075971129,0.887437739295592,0.8752933449787126,,,,,,,,,4.0,25.25
1576422127185.0,1.5683905448699218,0.7841952724349609,0.7841952724349609,1.2412234466768115,0.24016740238900952,0.4026105352988839,4.270642752801656,3.297564937977041,3.003926193497179,1.8841763933130131,0.8469655084254675,0.8916792592338612,-70.0,-85.95833333333333,-96.0,6.380172193775198,-60.0,-80.73076923076923,-94.0,10.743719783803904,4.0,25.0
1576422127685.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.6690664537933422,0.5719801828387795,0.3739236559913166,2.768484525228294,2.796867780386035,2.6622263553395276,1.0139498158116445,0.958819368615507,0.8799113411913109,-70.0,-85.95833333333333,-96.0,6.380172193775198,-60.0,-80.73076923076923,-94.0,10.743719783803904,4.0,25.0
1576422128185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,1.2606194550520387,0.41794534180476645,0.5196985995142996,4.543628735642892,2.623258569369201,2.5930764151227867,1.5805255945318248,0.8946296370118335,0.9431286420114456,,,,,,,,,4.0,25.0
1576422128685.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.6152326105295763,0.3329415187087882,0.36564226278876655,2.2344327739303664,2.722688029194869,2.7289994473368457,1.0082215678918522,0.8703334632816359,0.89278990622478,,,,,,,,,4.0,25.0
1576422129185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.889177092490174,0.2661200630481986,0.20407650556305404,2.7175599443441136,2.5296289453169356,2.9813880382326716,1.1896153243198246,0.8557448698519305,0.8592041104691912,,,,,,,,,4.0,25.0
1576422129685.0,1.5683905448699218,0.7841952724349609,0.7841952724349609,1.2912849694965047,0.26210350505779567,0.3575894434097088,3.7815557615745967,2.8660438515352715,2.9377987048435643,1.6521485278832047,0.8834760590947729,0.8881030508255829,,,,,,,,,4.0,25.0
1576422130185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.8411808913182233,0.4920359191861673,0.3818177231872419,2.1033989919866714,2.979475800935459,3.1535314511173786,1.1095511297656233,0.9429492659415781,0.8857991176441213,,,,,,,,,4.0,25.0
1576422130685.0,1.5683905448699218,0.7841952724349609,0.7841952724349609,1.1862797195347694,0.42031475188623757,0.48200162222681203,2.725536296662544,3.3514128392127787,2.514598511168212,1.555124398986589,0.9015015452026897,0.9197510366506756,-65.0,-87.38461538461539,-96.0,7.401023437943842,-60.0,-78.0909090909091,-94.0,9.63850748022125,4.0,25.0
1576422131185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,1.0750682541310612,0.487397608146123,0.3866387547684036,2.7061887969824516,2.1416574959729,2.559554760960322,1.330339253840907,0.92026640387117,0.8910783574629306,-65.0,-87.38461538461539,-96.0,7.401023437943842,-60.0,-78.0909090909091,-94.0,9.63850748022125,4.0,25.0
1576422131685.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,1.0789800101896942,0.4453404865766013,0.22500041987317962,4.323753549898045,2.6308222522915194,3.114140651320509,1.3255576038053163,0.9152182412447493,0.8615457516011028,,,,,,,,,4.0,25.0
1576422132185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.7267991577134095,0.33803850926972023,0.37903540316873724,2.246484837747611,3.327701709190521,3.072526569132822,1.0580901314725053,0.9299923979805307,0.8849135859270237,,,,,,,,,4.0,25.0
1576422132685.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,1.1228909153801379,0.38835332783034726,0.39495621655761415,5.045240976556295,3.291458100074495,2.3890225302136514,1.5245884220824915,0.892565324065837,0.8872865534667005,,,,,,,,,4.0,25.0
1576422133185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,1.1195577483845067,0.46369285924492465,0.44850841981714995,2.2728893791589995,2.7648608024822803,2.6488453584679847,1.338440882072316,0.9153391977577677,0.9178935985539175,,,,,,,,,4.0,25.0
1576422133685.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,1.0254344342869683,0.3347164838270184,0.26963047447072525,2.5462580891672717,2.484048302599735,2.861697577602592,1.3221804713283358,0.8688257731292942,0.8760001367143929,,,,,,,,,4.0,25.0
1576422134185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,1.2012608589352054,0.19692560486422042,0.24949914057307712,2.401534589892696,3.0509103003883644,3.2137075045507073,1.4446265482595897,0.8564453796787451,0.8497586136929798,,,,,,,,,4.0,25.0
1576422134685.0,2.352585817304883,0.7841952724349609,0.7841952724349609,1.438344785701998,0.26097792279501186,0.36762919755727846,5.306918266511278,3.335199931659399,2.68254402790862,1.9991101400616942,0.8581784852191529,0.8775696609660165,-58.0,-84.75,-97.0,10.662434056068061,-58.0,-81.53846153846153,-95.0,11.307692307692308,4.0,25.0
